SNP	gene	p.value	FDR	q.value
gCL01	GOS1	8.66018169350592e-08	0.00018325612866743602	0.00017453819632082
LEU2	GOS1	3.68873844331059e-07	0.000546029404625744	0.0005200534798727509
ILV6	GOS1	8.21434852598819e-07	0.0010150021393895699	0.00096671605997049
SLI15	SEC4	1.44887669973116e-06	0.00155735558004574	0.00148326845027176
YCL022C	GOS1	1.88988150989786e-06	0.00191804013606438	0.00182679437928728
NML013W	GOS1	1.96026858426614e-06	0.00197780436291356	0.0018837154789231399
RPB5	SEC4	3.1814235919695803e-06	0.0028838194790853197	0.00274662928904184
RTC2	SEC4	3.22138314705489e-06	0.00290889052995392	0.00277050765005652
BUD3	GOS1	3.29796087098322e-06	0.00295728259090422	0.00281659758492489
NBR034W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
NBR035W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
NML011W	GOS1	5.64424854039872e-06	0.004428717127339571	0.00421803246113389
URA5	GOS1	6.6187109684708e-06	0.00501646582730646	0.0047778205496855795
YML108W	GOS1	9.32942024698381e-06	0.00655127888971689	0.00623961888380238
MAK5	SEC4	9.69450143815881e-06	0.0067525022345986795	0.00643126955288885
gCR02	GOS1	1.03061071704873e-05	0.0070639472683319705	0.00672789840146358
NBR031C	SEC4	1.03245147519976e-05	0.00706654149416846	0.00673036921377225
YCL023C	GOS1	1.19389094527934e-05	0.00786684310422825	0.0074925985621067705
YBR144C	SEC4	1.64676670921748e-05	0.0100429039258429	0.00956513896580744
NCR015C	GOS1	2.8079711125539195e-05	0.0148215511593456	0.0141164545210031
gBR08	SEC4	2.8256055666244396e-05	0.0148731338886751	0.0141655833365245
IRA1	SEC4	3.35315277953789e-05	0.0168349360223055	0.0160340578504851
NGL3	GOS1	4.095865486724871e-05	0.0194148026545176	0.0184911940565638
NDI1	GOS1	4.1331424143811294e-05	0.0195230142938353	0.0185942578093821
GTR1	GOS1	5.5486433955791396e-05	0.0239488335897443	0.0228095302958576
gML01	GOS1	6.40430248120364e-05	0.0266040547162364	0.0253384362026929
gBR07	SEC4	7.43506055808e-05	0.0295058670382645	0.0281022023721041
NML013W	YKT6	8.86131012205186e-05	0.0335070702249139	0.03191305875322
YCL065W	SEC4	9.63750754276487e-05	0.0355884765893011	0.0338954476386149
FAR8	YKT6	0.000101814431959102	0.0369550639659568	0.0351970231852048
YBR139W	SEC4	0.000114176338920017	0.0399089693296143	0.0380104042056607
YBR137W	SEC4	0.00012204820274536299	0.0416614028603759	0.039679470281952005
AGP2	SEC4	0.000157572913287643	0.0495581351436249	0.0472005361233455
YBR138C	SEC4	0.000161517422578778	0.0504351609280502	0.0480358396935645
