SNP	gene	p.value	FDR	q.value
NML011W	UFD4	5.3304583087889e-08	0.000128458816639395	0.00012234772348833898
YML108W	UFD4	9.759754571483071e-08	0.00020200481602798898	0.00019239496378114598
NML013W	UFD4	1.11474521482045e-07	0.000225786391785496	0.00021504519309988702
URA5	UFD4	1.34073633828634e-07	0.000260407474834596	0.000248019268422788
gOL02	SSA1	1.92214013200513e-07	0.00033794171040369303	0.000321865014962061
REX4	SSA1	1.92214013200513e-07	0.00033794171040369303	0.000321865014962061
IRA2	SSA1	3.7829603874097295e-07	0.00055562906218721	0.000529196458763878
gML01	UFD4	1.57638287966511e-06	0.001670677069699	0.0015911989656236401
ILV6	CDC34	1.8244098161640098e-06	0.00187738621500209	0.00178807446248462
gCL01	CDC34	1.8714526244706798e-06	0.0019044451564027899	0.0018138461453242
gCL01	MMS2	2.1077247875025904e-06	0.0020854272198891897	0.00198621845918369
MDM10	SSA1	2.1752724702375e-06	0.00213858756583643	0.00203684984032708
NAL001C	SSA1	2.1752724702375e-06	0.00213858756583643	0.00203684984032708
SPO7	SSA1	2.21957944324225e-06	0.00216999507084275	0.00206676321520082
NDI1	UFD4	2.3396806821663397e-06	0.00226054379118685	0.0021530043163467396
NML013W	CDC34	2.4407534555076e-06	0.0023426440825905603	0.00223119890052362
gCL01	YNR068C	2.5008819237806097e-06	0.00238872382121783	0.00227508651577242
NGL3	UFD4	2.67027315633009e-06	0.00250821780524829	0.00238889588518081
NAL002C	SSA1	2.6926777350091703e-06	0.00252675349047197	0.00240654978352537
LEU2	MMS2	3.08226307669542e-06	0.00281824169520992	0.00268417119719215
ILV6	MMS2	3.10191880734284e-06	0.0028307410747339104	0.0026960759513365803
gCL01	UFD4	3.19058790196336e-06	0.00288935760989034	0.00275190395771855
YCL022C	MMS2	3.26815261885012e-06	0.0029398967590204303	0.0028000388386466603
LEU2	CDC34	3.56865941540059e-06	0.00314883093668406	0.00299903351775703
NML011W	CDC34	4.072710248507711e-06	0.00347368948825527	0.00330843777104413
GTR1	UFD4	4.81533313029512e-06	0.00395550030477542	0.00376732769464335
BUD3	CDC34	5.52656022952822e-06	0.00437094700047269	0.0041630105973747295
URA5	CDC34	5.74352694880034e-06	0.0044861474841093605	0.00427273071847212
gAR03	SSA1	6.2922578674179706e-06	0.0048348998954585295	0.00460489214347901
YAL004W	SSA1	6.7133087566658e-06	0.00507190744669486	0.00483062467863626
YAR002C	SSA1	7.0045282766093005e-06	0.00525832439342301	0.00500817332534272
YML108W	CDC34	7.0090444121560505e-06	0.00525962751872975	0.005009414457861829
LEU2	YNR068C	7.026943577700391e-06	0.00526887916481055	0.00501822598101079
YCL022C	CDC34	7.28789675050612e-06	0.00543010882213281	0.00517178555791051
YOL073C	RSP5	7.95173419564911e-06	0.00581929441180105	0.00554245665823709
MPD2	SSA1	8.91858202529505e-06	0.0063285568918749	0.0060274923040968
YCL022C	YNR068C	8.93007470750378e-06	0.0063319618514387395	0.00603073528159031
ILV6	YNR068C	9.60788267324527e-06	0.0067094621736482896	0.00639027701057966
AGP1	UFD4	1.1637925621753999e-05	0.007716899217400109	0.0073497878646058
LEU2	UFD4	1.19329170507627e-05	0.00786684310422825	0.0074925985621067705
YCL026C	UFD4	1.32252816040224e-05	0.00852153632693675	0.00811614646233756
BUD3	YNR068C	1.5542084979525303e-05	0.00961795771278099	0.00916040846047305
BUD3	MMS2	1.56507413256754e-05	0.00966622587982268	0.00920638039536239
NML011W	BUL1	1.6053441640483302e-05	0.009847427838048671	0.009378962143042709
NBR031C	UBC1	1.6754495405335e-05	0.0101817224659289	0.009697353575919991
gBR07	UBC1	1.8844666169760398e-05	0.0110954966243281	0.0105676573120695
YBR139W	UBC1	2.08039368756013e-05	0.0119790090158368	0.0114091389059587
YBR138C	UBC1	2.15777519975135e-05	0.0123137884252163	0.0117279920581197
UFO1	UFD4	2.46673137027534e-05	0.0135709688251424	0.0129253653795391
BUD3	UFD4	3.09912536937e-05	0.0158927668674145	0.015136709935741
IRA1	UBC1	3.1287463427892795e-05	0.0160099482151407	0.0152483166864855
ILV6	UFD4	3.14263852376115e-05	0.0160636549797655	0.015299468491863
YBR137W	UBC1	3.1790304321057e-05	0.0162146237196978	0.0154432552877547
NBR034W	UBC1	3.40826434954422e-05	0.0170302759464615	0.0162201049872415
NBR035W	UBC1	3.40826434954422e-05	0.0170302759464615	0.0162201049872415
gOL02	RSP5	3.45569075931835e-05	0.0172081665565358	0.0163895329155217
REX4	RSP5	3.45569075931835e-05	0.0172081665565358	0.0163895329155217
NGL3	CDC34	3.5589295367965005e-05	0.017560476803897	0.016725082921771998
IRA2	RSP5	3.6774290045900394e-05	0.0179810310165426	0.0171256303646545
RPB5	UBC1	3.6824781737737896e-05	0.0180010666207611	0.0171447128272599
NML009C	UFD4	3.7576256224156605e-05	0.0182364666408264	0.0173689143053487
gML01	CDC34	3.8019173010672496e-05	0.0183900907655124	0.0175152301629903
SLI15	UBC1	4.0361419448543e-05	0.0191990554574877	0.0182857104697135
YML096W	UFD4	4.1712966045916205e-05	0.0196346013723765	0.0187005364237068
NML013W	BUL1	4.37780596223854e-05	0.0202836520171489	0.0193187101769297
RTC2	UBC1	4.80032958249086e-05	0.0216818912332321	0.0206504318092419
YCL022C	UFD4	4.81533104406671e-05	0.0217203463405513	0.0206870575151302
YCL023C	YNR068C	5.5878696183577796e-05	0.0240906583216262	0.0229446080860321
YML108W	BUL1	6.00388274585026e-05	0.0253981931903487	0.0241899403937312
TAF13	UFD4	6.447662769864749e-05	0.0267079359341698	0.0254373755426296
URA5	BUL1	6.58397205052072e-05	0.0271181810536245	0.0258281043205413
YCL023C	UFD4	6.83951872288256e-05	0.0277581732515384	0.0264376505588884
MAK5	UBC1	6.924082605065821e-05	0.0279828936595454	0.0266516804796076
gBR08	UBC1	7.44240159419649e-05	0.0295288053503731	0.0281240494538426
MDY2	SSA1	8.10204687696463e-05	0.031436571563145	0.0299410586649412
MPD2	RSP5	8.364654933583441e-05	0.0321169643955144	0.0305890835829339
GTR1	BUL1	8.68461976996742e-05	0.0329839975829965	0.0314148699279464
CSH1	UBC1	8.88986837579098e-05	0.0335782635922563	0.0319808652818
SWC3	SSA1	9.008627534877471e-05	0.0338844101031045	0.0322724476708962
NML013W	MMS2	9.4484953502865e-05	0.0351029230052976	0.0334329929999334
NOL019C	SSA1	9.79273208719652e-05	0.0359711430734086	0.0342599097628245
NOL020W	SSA1	9.79273208719652e-05	0.0359711430734086	0.0342599097628245
NDI1	CDC34	0.00010098619062481	0.0367526676741051	0.0350042553690412
VPS9	UFD4	0.000106112594720125	0.0381072532561728	0.0362944000751173
TRM10	SSA1	0.000118232262019023	0.0408676413331836	0.0389234698891004
YOL106W	SSA1	0.000119093172087982	0.0410527054373904	0.0390997300512399
YOL099C	SSA1	0.000129242016655085	0.0433966200876182	0.0413321390754594
NGL3	SSA1	0.00012987263141293402	0.0435538621327009	0.0414819007403714
NDJ1	SSA1	0.000138509934235546	0.0453259563775439	0.0431696922235512
GTR1	CDC34	0.000140202491722121	0.0457149388166688	0.0435401698376917
AGP2	UBC1	0.0001512715143747	0.04821758493061001	0.0459237590902469
HAL9	SSA1	0.00015491418762841598	0.0489907184005971	0.0466601127519119
YPQ1	SSA1	0.000162141853475718	0.0505913871969848	0.0481846339052293
RFC4	SSA1	0.000168771836112437	0.0519912070864573	0.0495178610145167
AGP1	CDC34	0.00016898704858175	0.0520405560567546	0.0495648623362658
