SNP	gene	p.value	FDR	q.value
NLR028W	PCD1	8.36837895511966e-16	5.375702079716099e-12	4.88164005429674e-12
NLR032W	PCD1	2.94902424837518e-14	1.49579751434514e-10	1.3583239827774e-10
YLR162W	PCD1	5.0689078785167104e-14	2.47937801887538e-10	2.2515070342819603e-10
RFX1	PCD1	7.577047982336471e-14	3.6204181412278e-10	3.28767813942054e-10
IDP2	PCD1	7.80892595469737e-14	3.72526648233106e-10	3.38289023524846e-10
LEU2	CIT2	1.0427925127864501e-13	4.881318274902299e-10	4.4326933403631297e-10
DPH5	PCD1	1.59910720035072e-13	7.23029062793026e-10	6.56577983863544e-10
YCL022C	CIT2	1.7789823966889e-13	7.96022426147478e-10	7.22862781823877e-10
gCL01	CIT2	2.7000901494203e-13	1.1613116828455801e-09	1.05457957722261e-09
YCL023C	CIT2	3.02197157605365e-13	1.2895627212854e-09	1.17104351011342e-09
YLR169W	PCD1	3.10605760450753e-13	1.3234553285196199e-09	1.2018211660485199e-09
HXT14	PEX6	2.22803205980231e-12	8.104036171482908e-09	7.35922247727496e-09
PEX6	PEX6	2.76007465223792e-12	9.87721832843453e-09	8.96943764779211e-09
MNP1	NPY1	2.86160874752689e-12	1.02153174765794e-08	9.27646328266412e-09
DAL3	DAL7	3.32127782051423e-12	1.17105497999785e-08	1.06342740192237e-08
YLR140W	PCD1	3.51633274266548e-12	1.23473951581627e-08	1.12125891421237e-08
KRE1	PEX6	4.50951696690634e-12	1.55521368937137e-08	1.41227942442577e-08
MGA2	DAL7	6.7669159996248895e-12	2.2570235909841898e-08	2.04958842619176e-08
LYS1	DAL7	6.7669159996248895e-12	2.2570235909841898e-08	2.04958842619176e-08
VNX1	PEX6	9.152901461664722e-12	2.9749449034363102e-08	2.7015280952302302e-08
BUD3	CIT2	1.31231442793857e-11	4.13735422131081e-08	3.7571044276752696e-08
DAL4	DAL7	1.53506718085641e-11	4.78171589867721e-08	4.34224507108157e-08
ILV6	CIT2	2.02084716485545e-11	6.1571634208243e-08	5.59128000961205e-08
FIG4	PEX6	5.65207951664303e-11	1.56190327280392e-07	1.41835419158113e-07
INA22	DAL7	6.973877401101541e-11	1.8858470107288498e-07	1.7125253906064502e-07
YVH1	DAL7	8.349663328210691e-11	2.22571205670707e-07	2.0211546258021398e-07
AGP1	CIT2	1.4097519669766401e-10	3.5657773107532294e-07	3.23805915706452e-07
NNL035W	VPS1	1.86816730377407e-10	4.63135847820557e-07	4.20570647661508e-07
PFA3	PEX6	2.0434700298965e-10	5.02847076583665e-07	4.5663215591859396e-07
MDJ2	PEX6	6.899852401981149e-10	1.50929720970508e-06	1.37058296822947e-06
VHR1	FIS1	1.57918852094423e-09	3.20495346752974e-06	2.9103973745652002e-06
NLR076W	PCD1	1.9933241552211603e-09	3.95036268473292e-06	3.5872986309185304e-06
VTA1	PCD1	6.31745318430936e-09	1.1065721602291499e-05	1.0048709731752099e-05
YCL026C	CIT2	6.3411527404116195e-09	1.1098860673258699e-05	1.0078803106309698e-05
REX4	CTT1	6.3761706165678e-09	1.11457454349155e-05	1.01213788530766e-05
THS1	FIS1	9.137759222733479e-09	1.5350120210667803e-05	1.39393442098307e-05
RNR3	FIS1	9.137759222733479e-09	1.5350120210667803e-05	1.39393442098307e-05
EFM4	FIS1	9.9855770936277e-09	1.65794705000962e-05	1.5055709202652697e-05
PCL7	FIS1	1.24967910028553e-08	2.01286992767371e-05	1.82787407436468e-05
YIL060W	FIS1	1.51802830412778e-08	2.40139160372223e-05	2.1806880784958603e-05
MMF1	FIS1	1.53292040944769e-08	2.4208929627555202e-05	2.19839713564941e-05
YIL054W	FIS1	1.58266341303827e-08	2.4909087624879102e-05	2.26197802747318e-05
SAM1	PCD1	1.8367658878505303e-08	2.8437368057725203e-05	2.58237887611326e-05
gOL02	CTT1	2.17014936134556e-08	3.2942949841332104e-05	2.99152782403872e-05
IRA2	CTT1	2.6876675357358802e-08	3.97801838074746e-05	3.6124125883871505e-05
MLF3	VPS1	2.99540610577132e-08	4.36444811951707e-05	3.96332691789716e-05
YCL023C	AAT2	3.17638764378658e-08	4.60127148755474e-05	4.17838467631878e-05
YRB2	FIS1	3.2977130103934106e-08	4.73057850817844e-05	4.29580753975465e-05
AGP1	AAT2	3.7268414712041e-08	5.27235963515813e-05	4.7877954533158504e-05
RPT6	NPY1	4.8123764518577405e-08	6.59760281747366e-05	5.9912401577546707e-05
YGL052W	NPY1	5.1150154868811694e-08	6.9662496644827e-05	6.32600595905157e-05
MST27	NPY1	5.1150154868811694e-08	6.9662496644827e-05	6.32600595905157e-05
YGL046W	NPY1	5.1150154868811694e-08	6.9662496644827e-05	6.32600595905157e-05
SEC11	DAL7	7.15141749007136e-08	9.325982699407471e-05	8.46886416248539e-05
SNP1	FIS1	7.48561299311466e-08	9.711033020383191e-05	8.81852585167896e-05
YIL089W	FIS1	7.63582226739385e-08	9.87380591050601e-05	8.96633885329143e-05
YIL086C	FIS1	7.63582226739385e-08	9.87380591050601e-05	8.96633885329143e-05
NCR015C	CIT2	9.57164159549704e-08	0.000120389674860781	0.00010932507981454
YPS6	DAL7	1.03567926350441e-07	0.000128616863728599	0.00011679613645343798
YIR042C	DAL7	1.03567926350441e-07	0.000128616863728599	0.00011679613645343798
YIR043C	DAL7	1.03567926350441e-07	0.000128616863728599	0.00011679613645343798
YIR020C	DAL7	1.22434182433802e-07	0.000148563905000091	0.000134909914745402
RIM8	NPY1	1.23522401079479e-07	0.000149762956646345	0.000135998765737649
gIL03	FIS1	1.45615182538177e-07	0.000173354368097503	0.000157421972859174
gCR02	CIT2	1.8500460877939802e-07	0.000213497279837031	0.000193875489616212
PRM8	NPY1	2.33536344187085e-07	0.000260952543374857	0.00023696930542635
NIR010W	DAL7	3.0980020957570897e-07	0.000333173347104587	0.00030255254702205497
gCL01	AAT2	3.6890819934135795e-07	0.00038498448175250296	0.000349601901023678
YCL022C	AAT2	3.95682904338052e-07	0.000408229591254911	0.000370710633600514
MRS1	DAL7	3.98001541853925e-07	0.000410409579243927	0.000372690266498182
AVT7	FIS1	4.2862781151931293e-07	0.000437618981575854	0.00039739894757971
LEU2	AAT2	4.29956120185888e-07	0.00043890030711777597	0.000398562510960879
SLI15	PEX29	5.231873433072639e-07	0.000518768845096388	0.00047109061022919103
NIL005W	FIS1	6.56214506790911e-07	0.0006260973459217099	0.000568554922950959
REX4	PNC1	6.99760263769371e-07	0.0006603829756477099	0.000599689480051651
YIL092W	FIS1	7.627866023151759e-07	0.0007090216934586519	0.000643857982981052
UTP25	FIS1	7.627866023151759e-07	0.0007090216934586519	0.000643857982981052
RPB5	PEX29	7.98953142174322e-07	0.000736578080515809	0.000668881758632144
RTC2	PEX29	9.107568746404529e-07	0.000824419078284021	0.0007486495967221111
ILV6	AAT2	9.392416912621629e-07	0.000845982635817423	0.000768231322905446
NBR034W	PEX29	9.547951857625179e-07	0.000857926678782304	0.00077907763054731
NBR035W	PEX29	9.547951857625179e-07	0.000857926678782304	0.00077907763054731
NBR031C	PEX29	9.83184336411267e-07	0.0008796072182284241	0.000798765587243847
CBR1	FIS1	1.14116919034397e-06	0.0009962362103782	0.0009046756155764939
BUD3	AAT2	1.21740567191181e-06	0.0010502690715702401	0.0009537425049859
gOL02	PNC1	1.25893062692496e-06	0.00108014136943453	0.000980869344160713
OCH1	NPY1	1.49158243292753e-06	0.00124687440198466	0.00113227852532465
SPC72	PEX5	1.50365923374064e-06	0.0012553923243647802	0.00114001359517294
OAF1	PEX5	1.84494402285977e-06	0.00148603427680205	0.00134945805033858
GEM1	PEX5	1.84494402285977e-06	0.00148603427680205	0.00134945805033858
NIR006W	DAL7	1.98828700366585e-06	0.00157771878183651	0.0014327161523497401
NOR041W	PEX27	2.2005915183780898e-06	0.0017105890450104199	0.00155337477314313
NOR043C	PEX27	2.2005915183780898e-06	0.0017105890450104199	0.00155337477314313
YCL026C	STR3	2.40374871300116e-06	0.0018360883351593398	0.00166733986132919
IRA2	PNC1	2.9085006509614e-06	0.00213620582044064	0.0019398745954752699
ROT2	PEX29	2.91105785879619e-06	0.0021371580353179397	0.00194073929560493
YCL026C	AAT2	3.0636582387815e-06	0.00222511422348563	0.00202061173734659
PIG2	FIS1	3.7501829011483703e-06	0.00261013383869514	0.0023702455428338
SLX1	PEX29	3.91100353441878e-06	0.00270258605004501	0.00245420079395101
SUN4	VPS1	3.9642435413191006e-06	0.00273369659428498	0.00248245207659665
MAK5	PEX29	4.921274733315059e-06	0.00324567694728101	0.00294737810135328
GPB2	PEX5	4.99865404847605e-06	0.00328579016016737	0.00298380464877515
PEX22	PEX5	4.99865404847605e-06	0.00328579016016737	0.00298380464877515
YBR225W	PEX29	5.01156768500618e-06	0.00329211002974608	0.00298954368118726
AGP1	STR3	5.23385298677108e-06	0.00340251335488227	0.00308980022184377
SIS1	FAT1	5.55067852871436e-06	0.0035626043478947295	0.0032351778101537
RPB5	RMD5	5.65383513800145e-06	0.0036137024178563705	0.00328157963475689
LIP5	PEX27	5.7719190778974604e-06	0.00367505263456404	0.00333729136706251
STE50	CIT2	6.9569263874794295e-06	0.00424621949029708	0.00385596426955722
YPT11	PEX6	7.22489791159016e-06	0.00436880258266596	0.00396728117752825
