SNP	gene	p.value	FDR	q.value
gMR06	CSM3	9.13143310219442e-11	2.41475061408435e-07	2.1928193088174897e-07
FAR3	CSM3	4.849877967333961e-10	1.10404005093438e-06	1.0025715812126498e-06
NBR031C	SPC25	8.48102316366082e-10	1.8218853623250598e-06	1.65444223418211e-06
NBR034W	SPC25	2.25957278419488e-09	4.42032567336096e-06	4.01406896069185e-06
NBR035W	SPC25	2.25957278419488e-09	4.42032567336096e-06	4.01406896069185e-06
FET3	CSM3	2.7398593077882503e-09	5.26768042862665e-06	4.7835462963336194e-06
UBX4	CSM3	4.01662475582067e-09	7.39924939368358e-06	6.71921019362818e-06
RPB5	SPC25	5.1038595540380795e-09	9.17622909220506e-06	8.33287388691691e-06
SOV1	CSM3	5.10678739312723e-09	9.17754687967844e-06	8.33407056114061e-06
MOT3	CSM3	6.34193385162534e-09	1.1098860673258699e-05	1.0078803106309698e-05
gCL01	CTF13	7.11540109027407e-09	1.22801833771342e-05	1.1151554561426401e-05
MAK5	SPC25	1.11023798253045e-08	1.81711388000976e-05	1.65010928216145e-05
YCL022C	CTF13	1.4241617460268101e-08	2.2658693442983603e-05	2.05762119717656e-05
LEU2	CTF13	1.9326677791183798e-08	2.9760533750658898e-05	2.70253469109916e-05
RTC2	SPC25	2.1489121202925e-08	3.26453994077037e-05	2.96450746291315e-05
gBR08	SPC25	2.43505741986846e-08	3.6464997043908e-05	3.31136263709677e-05
IRA1	SPC25	2.5368709179792e-08	3.78570885943118e-05	3.43777756431793e-05
SAM37	CSM3	2.5382259381924e-08	3.78678705694978e-05	3.4387566684638106e-05
ARG7	CSM3	3.0081241142938296e-08	4.3819124401815e-05	3.9791861537722794e-05
SLI15	SPC25	3.34054356315831e-08	4.7869453557763794e-05	4.34699390702132e-05
ISF1	CSM3	4.36192095457843e-08	6.05070697138734e-05	5.494607601077629e-05
YBR137W	SPC25	4.61336014673582e-08	6.362639827696011e-05	5.7778717967169896e-05
NSA1	CDC20	5.18594721403201e-08	7.05002322253409e-05	6.40208018162013e-05
YBR162W	SPC25	5.801939687401941e-08	7.77793406226001e-05	7.06309127532838e-05
BUD3	CTF13	5.950549039382191e-08	7.946905811426371e-05	7.21653342047394e-05
NBR041W	SPC25	6.37663231414963e-08	8.431303511757958e-05	7.65641181795254e-05
YBR139W	SPC25	6.6715800006691e-08	8.769849334537951e-05	7.96384307515214e-05
YBR144C	SPC25	6.73193024075203e-08	8.84056009539243e-05	8.028055056645591e-05
ECM31	SPC25	7.14636443298372e-08	9.323454758079009e-05	8.4665685554259e-05
YCL023C	CTF13	7.23842749907626e-08	9.423293625792958e-05	8.55723158108855e-05
CUE3	CDC20	9.089759049585211e-08	0.000115248731592927	0.00010465662270864499
CWC22	NUF2	1.05553062521968e-07	0.000130540575127135	0.00011854304624805601
gBR07	SPC25	1.15188278108064e-07	0.000141144704738217	0.00012817258729828102
ILV6	CTF13	1.24028051579084e-07	0.000150284722323485	0.00013647257775154298
MCM7	SPC25	1.33029258315424e-07	0.000159961257429053	0.000145259776271414
AGP2	SPC25	1.76111918964331e-07	0.00020481415921190402	0.000185990404317336
CSH1	SPC25	2.20319072797864e-07	0.000248115847973918	0.00022531238591987597
YBR174C	SPC25	2.20349160052313e-07	0.000248115847973918	0.00022531238591987597
PXR1	NUF2	2.31588799043854e-07	0.00025911488712336897	0.000235300541750412
YBR138C	SPC25	2.76221366651086e-07	0.000301392246344017	0.000273692336366438
SMY2	SPC25	2.88995318761556e-07	0.00031344510804215	0.000284637461591386
NTC20	SPC25	3.06914071735809e-07	0.000330603939525151	0.000300219284730062
NBR038W	SPC25	3.18858443073105e-07	0.000340967808774623	0.000309630646910383
CCZ1	SPC25	3.23470431796838e-07	0.000345067787410535	0.000313353810812332
FTH1	SPC25	3.42408812181163e-07	0.000361999638952906	0.000328729514944919
GSY2	CTF8	3.62982048413119e-07	0.00037966038866591296	0.000344767126759983
PGI1	SPC25	3.77321362628365e-07	0.000391987790960535	0.00035596156051291003
NNL035W	SCS2	3.92648145979599e-07	0.00040558785343631403	0.000368311688689324
RIM2	SPC25	4.18159771271454e-07	0.00042802623999326297	0.000388687841412426
EXO5	SPC25	5.06410871671797e-07	0.000504305627673844	0.00045795665666612
UBS1	SPC25	5.06410871671797e-07	0.000504305627673844	0.00045795665666612
PCH2	SPC25	5.505875260241359e-07	0.000539946170748433	0.000490321601756044
TAF5	SPC25	6.048950679856961e-07	0.000585152852851162	0.000531373495406779
YGL101W	CDC20	6.3631363776195e-07	0.000611495056737762	0.0005552946792269339
YTA12	CSM3	7.12309219947145e-07	0.000670429222761845	0.000608812411639094
KTR4	SPC25	7.4624829707288e-07	0.000697003709565275	0.000632944530063494
MED8	SPC25	7.67798634993917e-07	0.00071228577115333	0.000646822070681299
TYR1	SPC25	8.58562765082194e-07	0.000784646814911686	0.0007125326633338151
YLR257W	CTF8	8.871467268717941e-07	0.00080621640312819	0.000732119865941207
YBR225W	SPC25	1.1860611852361099e-06	0.00102867689677487	0.000934134791653306
gCR02	CTF13	1.20547238616774e-06	0.0010414389053813801	0.000945723888568092
YLR257W	APC9	1.20662497625335e-06	0.0010422842561251802	0.0009464915460739741
DUR1,2	SPC25	1.22995456667225e-06	0.0010584658042760802	0.0009611859045824259
NBR044W	SPC25	1.28339444632679e-06	0.0010978270515673099	0.000996929596943829
NGR125W	NUF2	1.40710545199167e-06	0.00118719703929147	0.00107808590085666
NBR043C	SPC25	1.56031229165562e-06	0.00129590505688652	0.00117680294377419
NCR015C	CTF13	1.62710480846449e-06	0.00134087926744812	0.0012176437315321801
MOT3	BUB2	1.6538312395339199e-06	0.0013599092443219698	0.00123492472961618
RPL28	CDC20	1.72728577893273e-06	0.00141023756299887	0.00128062754808999
PIG1	APC9	1.76907276102832e-06	0.00143632370542255	0.00130431620416303
VPS63	CTF8	1.94498151576405e-06	0.0015503418918586	0.00140785537682751
YCL026C	CTF13	2.0628704035076303e-06	0.00162398679104444	0.0014747318302338
GSY2	APC9	2.16745920817027e-06	0.00169095828702338	0.00153554820964227
PYC2	SPC25	2.23303498498934e-06	0.00172927248336831	0.0015703410818573
RED1	APC9	2.27877959016814e-06	0.00175903421322767	0.00159736751494681
MCM5	APC9	2.33528021706147e-06	0.00179179020972812	0.0016271130220757099
NEJ1	CTF8	2.33735260463589e-06	0.00179269105885515	0.0016279310773020198
REX4	WRS1	2.49236777819266e-06	0.0018883603308800102	0.00171480772027005
RED1	CTF8	2.80453728100163e-06	0.00207421671811213	0.0018835826952975198
YMR084W	CSM3	2.80848705386448e-06	0.00207611206950192	0.00188530385155285
AGP1	CTF13	3.23574723792656e-06	0.0023264610740599302	0.00211264415242537
ZAP1	ORC2	4.03908821575922e-06	0.00277539876292528	0.00252032154439205
VPS63	APC9	4.21904955461759e-06	0.00287529643902588	0.0026110379735676897
gOL02	WRS1	4.33217777470022e-06	0.00293435667636323	0.0026646701905185
NNL035W	ORC1	4.4135685636373e-06	0.0029768594301872	0.00270326666450612
HOS4	HCM1	4.44828823306372e-06	0.00299571797405738	0.0027203919853957897
YGR283C	NUF2	4.5154902941261105e-06	0.00303142767429525	0.00275281973165537
SLX1	SPC25	5.0278624682799795e-06	0.00330044195060718	0.00299710984426728
GPB2	NNF1	5.48555963327564e-06	0.0035317866354811	0.00320719244618276
PEX22	NNF1	5.48555963327564e-06	0.0035317866354811	0.00320719244618276
YMR087W	CSM3	5.76669311314666e-06	0.00367328780032565	0.0033356887325824897
ECM1	NNF1	6.21441735424725e-06	0.00389385245429615	0.00353598205862956
NEJ1	APC9	6.36091068818163e-06	0.003964554835409789	0.0036001864305349202
FAR8	BUB2	6.55052506752595e-06	0.00405228760414893	0.00367985598654832
RPI1	HCM1	6.6754392054139995e-06	0.004107445333820321	0.00372994436169916
QDR2	HCM1	6.86597318964138e-06	0.00420270213149936	0.0038164464393996
YLR271W	CTF8	7.1116690046756695e-06	0.00431515274274615	0.00391856210724209
gBR09	SPC25	7.689848110954069e-06	0.00457827908405119	0.00415750542441399
YBR226C	SPC25	8.99183093225243e-06	0.0051873342391801705	0.0047105844448776
YTA12	BUB2	9.22894141240498e-06	0.00528781238243774	0.00480182799249871
BOP2	APC9	9.27411232614084e-06	0.00530367517579439	0.0048162328918541
VMA11	NSL1	9.78386218211568e-06	0.00553753558057873	0.005028600002638929
NSL1	NSL1	9.78386218211568e-06	0.00553753558057873	0.005028600002638929
gPL03	NSL1	9.78386218211568e-06	0.00553753558057873	0.005028600002638929
NLR116W	CTF8	9.94506864697863e-06	0.0056139162365587	0.00509796077897588
YLR252W	APC9	1.00814266303987e-05	0.005672704117122521	0.00515134567051411
IRA2	WRS1	1.03544168430589e-05	0.0057898539385739705	0.0052577286605442
STE50	CTF13	1.04509736144884e-05	0.00583131893632405	0.00529538275499858
ISF1	BUB2	1.07951518775242e-05	0.00598099665526566	0.00543130411693155
YMR087W	BUB2	1.11150726880401e-05	0.00610457921188925	0.00554352863188424
FAR3	BUB2	1.2045393321875999e-05	0.00650278215832507	0.00590513413461377
YMR084W	BUB2	1.24392294608305e-05	0.00666372171229407	0.00605128229560286
IKS1	ORC2	1.28193946149451e-05	0.00681312075414455	0.00618695059268407
ROT2	SPC25	1.35414451256414e-05	0.007086776814451979	0.006435455879116979
NBR051C	SPC25	1.36317542521729e-05	0.00712345362049742	0.006468761847863
YLR271W	APC9	1.4054133585272101e-05	0.0072875624592031295	0.00661778801568444
IQG1	NSL1	1.4068742841877999e-05	0.007292265942772359	0.0066220592184865704
YCL023C	HCM1	1.43421775914733e-05	0.007395927444909001	0.00671619355357712
PCS60	SPC25	1.46490930964303e-05	0.00752199711228343	0.00683067659760756
YLR269C	CTF8	1.46830907805582e-05	0.00753344479259895	0.00684107216155968
NBR023W	PBY1	1.4822186366607901e-05	0.00758855255106772	0.0068911151581868
FAS2	NSL1	1.52955262801035e-05	0.00777758733315267	0.007062776412883759
YPL238C	NSL1	1.54335317710749e-05	0.00782525937907758	0.00710606708736799
SAM37	BUB2	1.55292635355189e-05	0.00786048440074371	0.0071380547001725905
YOR019W	HIR2	1.58390698396658e-05	0.00797817785660174	0.00724493136106736
SFL1	ELG1	1.60863037680713e-05	0.00807621075585486	0.00733395439853046
YSH1	APC9	1.63203441702691e-05	0.0081670022392018	0.00741640155336215
BIO2	NUF2	1.7273542148355098e-05	0.0085077693416445	0.007725849940159441
MCP2	APC9	1.75226443433421e-05	0.00859973721961632	0.0078093653712898
NNL035W	HCM1	1.77646897675497e-05	0.008684357147966741	0.00788620817721569
NLR116W	APC9	1.7810130788741698e-05	0.0086980485931244	0.0078986412894105
NGR126C	NUF2	1.79255874637734e-05	0.00874203610613895	0.00793858606355094
NIL015W	HCM1	1.82740526907127e-05	0.00885679875426228	0.008042801277026041
YHC3	ORC2	1.8780105529399302e-05	0.00903686089577657	0.00820631453524683
BOP2	CTF8	1.89034694221734e-05	0.00908526962790703	0.008250274189677359
UBX4	BUB2	1.9148136213419e-05	0.0091682681979121	0.00832564465064745
MAL13	NUF2	1.9244724903623e-05	0.00920568094527527	0.00835961892291198
gOL02	NIP100	1.93113965892406e-05	0.00923240969093345	0.00838389112279791
ATE1	ASK1	1.98788849935894e-05	0.0094329098524859	0.008565964013931629
MNP1	CDC20	2.0082861427454103e-05	0.00951612441204573	0.00864153061360995
PEX32	SPC25	2.0104230158786397e-05	0.00952172824066653	0.00864661941389073
LSC1	ELG1	2.02595180228986e-05	0.00957383019888537	0.008693932862883409
ELG1	ELG1	2.02595180228986e-05	0.00957383019888537	0.008693932862883409
BUB3	HIR2	2.04469922082168e-05	0.00963855652958742	0.00875271042232349
NIL018C	HCM1	2.12843109071631e-05	0.00992594784167017	0.009013688601455459
YOR029W	HIR2	2.13559674670313e-05	0.00994929007212582	0.00903488552893749
OM14	SPC25	2.16083229764349e-05	0.010043411297118	0.009120356400475359
YGR290W	NUF2	2.16686880540555e-05	0.0100636558110656	0.0091387403117675
FAR8	CSM3	2.2100277895665398e-05	0.0102165484104157	0.00927758108566555
REX4	NIP100	2.21462095441308e-05	0.010230672188594	0.00929040679666116
IRA2	NIP100	2.2158514840653898e-05	0.0102331983539493	0.00929270079097102
RGA1	ELG1	2.28319316919713e-05	0.0104619571364893	0.009500435151815341
YOR139C	ELG1	2.35316145442807e-05	0.0106900327033849	0.00970754908898188
YGL024W	ASK1	2.4374195991284804e-05	0.0109761927054678	0.00996740912352064
FET3	BUB2	2.4469188126609803e-05	0.011010687756357	0.00999873385461599
ASI1	SPC24	2.6321377118005702e-05	0.0116248354274963	0.0105564373557083
gCL01	HCM1	2.7068375928654602e-05	0.0118585215983819	0.0107686462458242
GET1	ASK1	2.72637884093353e-05	0.0119118800301547	0.0108171006902695
YLR269C	APC9	2.73452654186393e-05	0.0119369915854145	0.0108399043300852
JAC1	ASK1	2.7453358928685398e-05	0.0119685030277108	0.0108685196656453
GLO4	HIR2	2.7720295969769203e-05	0.0120576580945278	0.0109494808012818
YAL069W	NNF1	2.7838273733567602e-05	0.0120966714843073	0.0109849086065019
MGR3	SPC24	3.04404515812019e-05	0.0129452268943015	0.0117554762488845
MAL11	NUF2	3.0580399751151196e-05	0.0129856775213094	0.011792209199873002
SLI15	BRL1	3.06878272260019e-05	0.0130156018997495	0.0118193833330796
RAD51	SCS2	3.2799430312650796e-05	0.0136216994227145	0.012369776547033999
RBD2	NSL1	3.33476367921455e-05	0.0137948272582072	0.0125269928071098
PRM5	HCM1	3.43539257875747e-05	0.0140899146568439	0.0127949597523277
BUD23	CTF13	3.6951618717829e-05	0.0148645837482344	0.0134984317099027
COS6	NUF2	3.70249007166139e-05	0.0148820637639928	0.0135143051983904
NGR128W	NUF2	3.70249007166139e-05	0.0148820637639928	0.0135143051983904
HST3	HIR2	3.76105298148637e-05	0.0150537842810067	0.0136702434817195
PEP8	ORC2	3.77231724054933e-05	0.0150801497443891	0.0136941857873364
NBR034W	BRL1	3.80092934843844e-05	0.0151526106110044	0.0137599870284752
NBR035W	BRL1	3.80092934843844e-05	0.0151526106110044	0.0137599870284752
NBR056W	SPC25	3.8562837205819896e-05	0.0153131243809182	0.0139057485377363
YCL026C	HCM1	3.91684479579648e-05	0.0154745791278521	0.0140523645421021
STI1	HIR2	3.97003774328312e-05	0.0156310954618573	0.0141944960058442
REX4	DBF4	4.0800232301834706e-05	0.0159469732024859	0.014481342525247
NAL009W	NNF1	4.10736491672634e-05	0.0160263441788289	0.014553418792034
gOL02	DBF4	4.22398499298766e-05	0.0163391446286164	0.0148374708436621
YAL064W	NNF1	4.29653946650174e-05	0.0165434509368591	0.0150230000718212
MED11	SPC24	4.42390716309966e-05	0.0168839572480959	0.0153322116358225
MMT2	NSL1	4.4419460794682795e-05	0.0169129752425586	0.0153585626876412
YCR041W	CTF13	4.45878200828956e-05	0.0169587441046335	0.0154001250932641
NMR032C	SPC24	4.5174282907965295e-05	0.0171284830899283	0.0155542639605419
NMR036C	SPC24	4.52913962703045e-05	0.0171598472668072	0.0155827455653354
RPB5	MCD1	4.60990435656039e-05	0.0173811509868742	0.0157837100324922
RPB5	BRL1	4.71805268201162e-05	0.0176853333543528	0.0160599360596929
EXO1	HIR2	4.74013079113026e-05	0.0177480901985068	0.0161169251412232
PIG1	CTF8	4.76161593818843e-05	0.0178066127665246	0.016170069104166
VAM3	ELG1	4.76281534438793e-05	0.0178085241110154	0.0161718047836523
NBR050C	SPC25	4.80224604231946e-05	0.017919028152751	0.0162721527843968
SAM37	KAR3	4.8200976886573796e-05	0.0179681172506658	0.0163167302745659
YLR281C	APC9	4.9529782179648904e-05	0.0183397336024512	0.016654192663814
YLR282C	APC9	4.9529782179648904e-05	0.0183397336024512	0.016654192663814
REX4	HCM1	5.1840778697171e-05	0.018905470240934	0.017167934421383
YPL035C	YCS4	5.3419861955112705e-05	0.019316067832117003	0.0175407954202988
IRA2	HCM1	5.35077045942717e-05	0.0193343594640495	0.0175574059321494
CSH1	BRL1	5.65126115632156e-05	0.0201321790442255	0.0182819006978442
APN2	SPC24	5.65231227400658e-05	0.0201335275765488	0.018283125291266005
POP8	SPC24	5.65231227400658e-05	0.0201335275765488	0.018283125291266005
SOV1	BUB2	5.7193231125158996e-05	0.020300958979009	0.0184351686575978
gBL04	SPC24	5.853671103565699e-05	0.0206517206085713	0.0187536930093923
NBR031C	MCD1	6.0091324246247105e-05	0.021058720375881	0.0191232868478762
ARG7	BUB2	6.01928130613036e-05	0.0210868808161332	0.0191488591603003
gOL02	HCM1	6.035067385908891e-05	0.0211214331066062	0.019180235870288997
NEW1	NSL1	6.03661435821776e-05	0.0211241173762057	0.0191826734380334
MPD2	NIP100	6.0373264841179795e-05	0.0211253745889537	0.0191838151047435
gOR03	HIR2	6.0934110101908605e-05	0.0212718917620349	0.0193168663955608
YOR102W	ELG1	6.32098732938776e-05	0.021842199808355	0.0198347594188198
YBR064W	PBY1	6.4058302092758e-05	0.0220580002919979	0.0200307264328147
RAS1	ELG1	6.43900022186329e-05	0.0221330682841333	0.0200988951876618
SRP68	NSL1	6.534877082870479e-05	0.022350388368628998	0.0202962421412962
YCL022C	HCM1	6.88795885700092e-05	0.0232066729840048	0.0210738286247564
SAK1	POL32	6.98153174696095e-05	0.0234283276945112	0.0212751118240458
ATG27	SGS1	7.23116268375142e-05	0.0240409937837398	0.0218314699102523
ECM23	CIN8	7.264294137378009e-05	0.024117661981113	0.0219010918010562
RFT1	SPC24	7.600660537269921e-05	0.024887993787606005	0.0226006250984582
RVB2	NSL1	7.61869481531983e-05	0.0249374988738634	0.0226455803449324
GRE1	NSL1	7.69828663435597e-05	0.0251295938145792	0.0228200205097556
MCM5	CTF8	7.7851112190945e-05	0.0253367663429535	0.0230081525337526
AGP1	HCM1	7.82688881548555e-05	0.0254399055219561	0.0231018125506063
NBR034W	MCD1	7.84718267743131e-05	0.0254845326161984	0.0231423381242949
NBR035W	MCD1	7.84718267743131e-05	0.0254845326161984	0.0231423381242949
YBR064W	RFC5	7.85202363869999e-05	0.0254897595449421	0.0231470846642516
IDH2	ELG1	7.95773785818703e-05	0.0257355428283487	0.0233702788634766
SEO1	NNF1	8.13496607551315e-05	0.0261316122109989	0.0237299468908253
YAL066W	NNF1	8.13496607551315e-05	0.0261316122109989	0.0237299468908253
