SNP	gene	p.value	FDR	q.value
NHR001C	GPA1	6.797515466319919e-12	2.26596729841123e-08	2.05771014866862e-08
SLI15	SYN8	2.1138881030184397e-10	5.17410583400986e-07	4.6985718162802103e-07
NBR034W	SYN8	3.60457721678682e-10	8.46299177605615e-07	7.685187724421191e-07
NBR035W	SYN8	3.60457721678682e-10	8.46299177605615e-07	7.685187724421191e-07
NBR031C	SYN8	4.9015850056835e-10	1.1128488335275802e-06	1.0105707793264699e-06
RPB5	SYN8	1.9852017783228e-08	3.0452003441534803e-05	2.7653266034718395e-05
CSH1	SYN8	2.05674395739699e-08	3.1412603240161894e-05	2.8525580456833002e-05
YBR162W	SYN8	2.58010916326925e-08	3.8416144295591e-05	3.48854504851772e-05
EXO5	SYN8	5.24916524611015e-08	7.11684227768837e-05	6.462758130508361e-05
UBS1	SYN8	5.24916524611015e-08	7.11684227768837e-05	6.462758130508361e-05
SMY2	SYN8	5.42019775716048e-08	7.32192281441879e-05	6.648990430515729e-05
YAP3	GPA1	6.39426255704013e-08	8.44701595354195e-05	7.67068018402381e-05
STE20	GPA1	6.39426255704013e-08	8.44701595354195e-05	7.67068018402381e-05
NNL035W	LST8	6.47267399675592e-08	8.53567060072591e-05	7.751186891850091e-05
YHL008C	GPA1	1.07265648029226e-07	0.00013241240940422902	0.00012024284676649399
NIL022W	ENB1	1.1161411602452e-07	0.000137186305468613	0.000124577990696972
YIL166C	ENB1	1.1161411602452e-07	0.000137186305468613	0.000124577990696972
TYR1	SYN8	1.83919182683898e-07	0.000212572477637602	0.00019303568276083
YIL165C	ENB1	2.0272258269125303e-07	0.00023096127909240897	0.00020973443362186
YCL022C	BRO1	2.51996820463397e-07	0.000278153895297217	0.000252589741099131
YBR174C	SYN8	3.30929636587996e-07	0.000352227209023962	0.000319855234960366
NNL035W	ENT5	3.5568779085505203e-07	0.000373204573022035	0.00033890464261131296
YHL012W	GPA1	4.5991967387799204e-07	0.000464889803637558	0.00042216340351790803
NBR041W	SYN8	5.38004919541123e-07	0.000529922462274097	0.000481219137360641
RTC2	SYN8	6.01080871244832e-07	0.000581933276796395	0.00052844981935596
NBR038W	SYN8	6.7733536767762e-07	0.000642460644428626	0.000583414327774225
TMC1	VPS5	7.885177122240971e-07	0.0007283031568512269	0.000661367354335133
VHS3	VPS5	7.885177122240971e-07	0.0007283031568512269	0.000661367354335133
NOR007W	VPS5	7.885177122240971e-07	0.0007283031568512269	0.000661367354335133
ECM31	SYN8	8.6991279792013e-07	0.000793807957710319	0.000720851837455775
RAD51	ARN1	9.98000336398807e-07	0.000889011924864102	0.000807305940100243
LEU2	BRO1	1.1888699805867398e-06	0.0010306650587695802	0.000935940228614634
NGL041C	STV1	1.20301846386288e-06	0.00103976901462051	0.000944207471641772
YOR059C	VPS5	1.45136912297408e-06	0.00121733778352895	0.00110545651443497
YCL023C	BRO1	1.65039014486862e-06	0.00135726611951366	0.00123252452518866
YOR050C	VPS5	1.72952878013656e-06	0.00141149140040608	0.0012817661496750301
ETT1	VPS5	1.72952878013656e-06	0.00141149140040608	0.0012817661496750301
AIM20	ENB1	1.77939607551688e-06	0.0014439220330566699	0.00131121619601049
SHU1	GPA1	1.8366783104693801e-06	0.00148156910556836	0.0013454032574165698
SUC2	ENB1	1.90067637225092e-06	0.00152313783233849	0.0013831515475186
BNR1	ENB1	2.07644880504272e-06	0.0016323153270657099	0.00148229491956281
TAD2	SNX4	2.1085290456301997e-06	0.00165340905774608	0.00150144999904023
YOR072W	VPS5	2.44055891159915e-06	0.0018573335817537102	0.0016866325314215
MAK5	SYN8	2.69142014428332e-06	0.0020089204891865398	0.00182428761499155
gJL07	SNX4	2.8455064280664397e-06	0.00209907182151045	0.00190615345284762
ILV6	BRO1	3.0453980351966597e-06	0.00221540939908975	0.0020117988495064
YCL026C	BRO1	3.55878936221439e-06	0.00250694161937911	0.00227653736041691
NNL035W	PIB1	3.9372087307133105e-06	0.00271890059161919	0.00246901592292114
RPL3	VPS5	4.01132661142462e-06	0.0027591022404564397	0.0025055227784541397
NTC20	SYN8	4.3154948102366e-06	0.00292669887147148	0.00265771618776068
gCL01	BRO1	4.43756648073204e-06	0.0029888335676800603	0.00271414030079289
YNG1	VPS5	5.1718195396007005e-06	0.00337231845748774	0.00306238043213618
BUD3	BRO1	5.32348051125209e-06	0.0034475094820037603	0.0031306609118870897
PCH2	SYN8	5.32973876818719e-06	0.00345076060487813	0.00313361323539937
NNL035W	ERS1	5.50716747655967e-06	0.00354265071799023	0.0032170580487670005
REX4	HSE1	5.710298413788009e-06	0.0036431795157116	0.0033083475953768603
NML011W	GPA1	5.77411818023463e-06	0.00367567102221074	0.0033378529208578102
WHI2	VPS5	6.33014324201757e-06	0.0039500620373580896	0.0035870256149951297
gOL02	HSE1	6.56467681933746e-06	0.00405936439476463	0.0036862823740253796
EXO1	VPS5	6.68041756407815e-06	0.00410844444982628	0.00373085165243835
gML01	GPA1	6.86966359712286e-06	0.00420453118417704	0.0038181073902261798
YML108W	GPA1	6.88157262710392e-06	0.00421009845590431	0.0038231629934300103
MAD2	SNX4	6.900187728083369e-06	0.00422019330159866	0.0038323300570716795
IRA2	HSE1	7.03589676759293e-06	0.00428219611658598	0.0038886344096256205
RIM2	SYN8	7.113477228046651e-06	0.00431576539108767	0.00391911844921172
NOR005W	VPS5	7.56638965805229e-06	0.00452366964724253	0.00410791495044155
AGP1	BRO1	7.941059871111709e-06	0.00469794279009535	0.0042661712566733605
COA1	ENB1	8.079090065572259e-06	0.00476500529762699	0.00432707028308022
NML013W	GPA1	8.47416629389016e-06	0.00495312827498628	0.00449790353384309
NNL013C	LST8	8.522944956755701e-06	0.00497621969841196	0.00451887270509439
YGL235W	STV1	8.717036722750391e-06	0.00506519229651915	0.00459966814208369
gBR08	SYN8	8.99419552590684e-06	0.0051881984365519706	0.0047113692168836395
URA5	GPA1	9.06303808952988e-06	0.0052118405996813	0.00473283851127364
IRC23	VPS5	9.23381116685116e-06	0.00528921661812247	0.004803103169780229
YJL218W	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
REE1	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
IMA5	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
YJL215C	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
