SNP	gene	p.value	FDR	q.value
NNL035W	POL2	2.16103084502855e-11	6.53439737192013e-08	5.93384370421458e-08
YGL204C	SPT16	2.8340549424466002e-11	8.39559959367263e-08	7.62398932242803e-08
SIP2	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
SPT16	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
POX1	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
NGL032C	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
NGL034W	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
NGL038C	SPT16	3.86141336996917e-10	9.012985916529829e-07	8.184633822056599e-07
MCM6	SPT16	4.66561759122904e-10	1.06777848539799e-06	9.696426896689942e-07
gGL02	SPT16	8.88506981561017e-10	1.90049929194522e-06	1.72583103176959e-06
NGL031W	SPT16	3.6768059363477506e-09	6.83211138378509e-06	6.20419585980169e-06
NCS6	SPT16	4.79395388393228e-09	8.66589234926926e-06	7.86944041375346e-06
MDS3	SPT16	6.2700481091844995e-09	1.09923343836089e-05	9.98206727633282e-06
NGL030C	SPT16	2.97441334388628e-08	4.33702715799819e-05	3.93842612129555e-05
GCN1	SPT16	5.3487976564959105e-08	7.23690147141799e-05	6.57178310255965e-05
gGL03	SPT16	3.291827253795e-07	0.00035055483477875203	0.000318336562798083
NNL035W	SPT16	8.81042481732357e-07	0.0008018862124397981	0.000728187647973444
MLF3	POL2	2.3016440586831e-06	0.0017707477628943898	0.0016080045131254901
YGL193C	SPT16	2.8977622737854302e-06	0.00213000896470095	0.0019342472711293601
IME4	SPT16	2.8977622737854302e-06	0.00213000896470095	0.0019342472711293601
YCL026C	PSF2	4.16475261806458e-06	0.00284412034648351	0.00258272716693546
AGP1	PSF2	5.280495832115361e-06	0.00342588628975384	0.003111025031806
SUN4	POL2	5.50977250078136e-06	0.00354356884243619	0.00321789179159794
MUM2	DPB2	6.3493587660184995e-06	0.00395893099121684	0.00359507945424339
YGL217C	SPT16	9.18103937711827e-06	0.00526705126658516	0.00478297495838057
YCF1	DPB4	9.44026951981074e-06	0.005382245471573521	0.00488758206583466
TAT1	DPB2	1.1843122912035801e-05	0.0064184719630867	0.00582857259531007
TRM7	DPB2	1.2159092990639e-05	0.006551167642963171	0.0059490726781478605
YGL176C	SPT16	1.4685342242382999e-05	0.00753395431041499	0.00684153485137063
SFL1	ELG1	1.60863037680713e-05	0.00807621075585486	0.00733395439853046
YDR133C	DPB4	1.80671254992152e-05	0.00878882144979701	0.007981071529480509
SHE10	SPT16	1.9497468501621202e-05	0.009303537132500641	0.00844848148933333
MTC3	SPT16	1.9497468501621202e-05	0.009303537132500641	0.00844848148933333
LSC1	ELG1	2.02595180228986e-05	0.00957383019888537	0.008693932862883409
ELG1	ELG1	2.02595180228986e-05	0.00957383019888537	0.008693932862883409
RGA1	ELG1	2.28319316919713e-05	0.0104619571364893	0.009500435151815341
YBR064W	DPB2	2.28621235267234e-05	0.0104679053197585	0.00950583665831009
YOR139C	ELG1	2.35316145442807e-05	0.0106900327033849	0.00970754908898188
gNL07	POL2	2.35377175138148e-05	0.0106903716825392	0.00970785691374456
MKC7	DPB4	3.5538233669488595e-05	0.0144641504926488	0.013134800877956999
YBR075W	DPB2	3.6042889803035796e-05	0.014612922973589999	0.0132699001991564
YCL023C	PSF2	3.6718984908690706e-05	0.0147938640431511	0.0134342116062132
HSP26	DPB2	3.7294881964326596e-05	0.0149604502100233	0.0135854874196113
RPB5	PSF2	4.46052390791586e-05	0.0169611669356656	0.0154023252503478
TIP1	DPB2	4.46513369960485e-05	0.0169741599886338	0.015414124157143
VAM3	ELG1	4.76281534438793e-05	0.0178085241110154	0.0161718047836523
YGL177W	SPT16	5.2668691403812605e-05	0.0191165701191553	0.0173596328462028
NBR016C	DPB2	5.30900027118265e-05	0.0192265682035192	0.0174595213903528
NOP15	POL2	5.4794099897465704e-05	0.0196792237339428	0.0178705749300295
NBR031C	PSF2	5.88732538435204e-05	0.0207437238473531	0.0188372405514439
YOR102W	ELG1	6.32098732938776e-05	0.021842199808355	0.0198347594188198
RAS1	ELG1	6.43900022186329e-05	0.0221330682841333	0.0200988951876618
YBR071W	DPB2	6.487955220524201e-05	0.0222280019004091	0.0201851037864345
YCL022C	PSF2	7.137005912426519e-05	0.0238178954050942	0.0216288757253263
YRO2	DPB2	7.511543811774151e-05	0.0246812279138898	0.0224128623549082
RTC2	PSF2	7.58450711003453e-05	0.0248582127110782	0.0225735810967851
IDH2	ELG1	7.95773785818703e-05	0.0257355428283487	0.0233702788634766
IRC14	ELG1	8.4867561026386e-05	0.0268993955179152	0.0244271659123565
YOR131C	ELG1	8.965823912349058e-05	0.027957526314583998	0.0253880475987121
YBR144C	PSF2	8.98540283218403e-05	0.0280039925320696	0.0254302432682425
NOR010W	ELG1	9.164319289856659e-05	0.0283652193241001	0.0257582709659297
MUM2	POL2	9.326383145323191e-05	0.0287124601099049	0.0260735980624341
NOR011W	ELG1	9.3577133228064e-05	0.0287817560087841	0.0261365252169808
SLM4	POL2	9.725781257572671e-05	0.0295950802894823	0.0268750997002599
LEU2	PSF2	0.00010189858503428101	0.030512530853772996	0.027708230583642995
YOR121C	ELG1	0.000106577076091321	0.0314618460923164	0.028570297570226003
STE50	PSF2	0.00011527438046966299	0.0332377443070958	0.0301829791751705
TAT1	POL2	0.00011814273407933101	0.0337833202432102	0.0306784131301969
RPT5	ELG1	0.000121678224487213	0.0344797605903311	0.0313108460744929
NBR023W	POL2	0.000125426658601899	0.0352235228217167	0.0319862517137498
MAK5	PSF2	0.000134931597901899	0.0370057911662784	0.0336047179920701
NBR034W	PSF2	0.00014194071046746599	0.0383552522160526	0.0348301547842517
NBR035W	PSF2	0.00014194071046746599	0.0383552522160526	0.0348301547842517
TRS33	ELG1	0.000143477572981399	0.0386519633631499	0.0350995962448737
PHO3	POL2	0.000143848611836265	0.0387135486654848	0.0351555214569066
gCL01	PSF2	0.000154068559905271	0.0405704410024972	0.0368417532968517
RUB1	DPB4	0.000155471652476423	0.0408106748368078	0.0370599080774882
NBR008W	DPB2	0.00017429173622518602	0.0439251492179805	0.0398881419828939
YGL235W	SPT16	0.00019409045304831399	0.0472020838830704	0.0428639050142526
YBR090C	POL2	0.000199170482820863	0.0480655597052138	0.0436480217857524
YGL226C	SPT16	0.000227839989876555	0.0525454396868592	0.0477161716260049
BUD3	PSF2	0.00024201941370866498	0.0547318850196297	0.0497016683954884
