SNP	gene	p.value	FDR	q.value
NJR011W	CBF1	1.0125574573308099e-29	9.639246209327719e-25	8.75333671600475e-25
CDC8	CBF1	8.83589513153971e-26	3.6943621921988105e-21	3.3548262506149997e-21
BFA1	CBF1	1.0510781181632197e-25	4.25190003445272e-21	3.86112273471566e-21
YJR054W	CBF1	7.771032461974069e-25	2.65858432840377e-20	2.41424311704916e-20
UTP20	PDR3	1.0738904083862801e-24	3.61201651249524e-20	3.28004867507634e-20
YJR056C	CBF1	3.75882771902438e-23	9.95757870158982e-19	9.04241237938172e-19
RCR1	PDR3	1.7924003835720797e-22	4.11153779434817e-18	3.7336606984561296e-18
HIT1	CBF1	1.1400687767235e-21	2.29818173290404e-17	2.08696386686481e-17
LDB7	PDR3	2.66546356663946e-21	4.82119306094121e-17	4.37809402507496e-17
gBL05	PDR3	9.724387018936679e-21	1.56505304174954e-16	1.4212144762507e-16
SLA1	PDR3	7.02624431868713e-20	9.64820502745185e-16	8.761472160407269e-16
gJR10	CBF1	2.78521997557768e-19	3.3687134323885703e-15	3.05910673231801e-15
URB2	CBF1	3.27962475257761e-19	3.9113817432381294e-15	3.55190029177447e-15
FLR1	PDR3	2.7748779501045498e-18	2.7369380084714298e-14	2.48539558371265e-14
GEF1	CBF1	4.93320179534412e-18	4.62208351817493e-14	4.19728394580585e-14
ADH4	RTG2	2.8218554693499195e-17	2.32706176969508e-13	2.1131896402201802e-13
FZF1	RTG2	4.837333411040829e-17	3.8359137739384496e-13	3.4833683202688597e-13
gGL01	RTG2	5.38207119679425e-17	4.21209123264125e-13	3.8249726210087003e-13
COS12	RTG2	5.82832166645827e-17	4.53171462536849e-13	4.11522054269224e-13
ALK2	PDR3	8.15029594481285e-17	6.176693528312171e-13	5.60901517305001e-13
NGL043C	RTG2	9.519641128988799e-17	7.11537554016777e-13	6.46142619571668e-13
MNT2	RTG2	9.519641128988799e-17	7.11537554016777e-13	6.46142619571668e-13
VEL1	RTG2	1.1918098449092098e-16	8.787406261256608e-13	7.97978640598208e-13
YJR037W	CBF1	1.24668690327349e-16	9.146964726356229e-13	8.306299106846758e-13
YJR038C	CBF1	1.78209890280395e-16	1.27930918534527e-12	1.16173234089286e-12
RAD26	CBF1	1.05094862968428e-15	6.663930052207099e-12	6.051471487721299e-12
NPA3	CBF1	1.7394583299442e-15	1.0572740302116e-11	9.601036623147921e-12
YBL010C	PDR3	2.6635110006688598e-15	1.57729564842547e-11	1.4323319076544402e-11
MLF3	TRA1	3.2391622230927895e-15	1.8956878693833898e-11	1.7214618102711402e-11
RFC2	CBF1	4.0960490917167894e-15	2.36367623934288e-11	2.14643900168944e-11
YJR071W	CBF1	4.4473649576422396e-15	2.54068751268691e-11	2.30718178639077e-11
NBR002C	PDR3	2.00660406856566e-14	1.04465674823749e-10	9.48645990712493e-11
YGL242C	RTG2	3.90775402903417e-14	1.9415560768552498e-10	1.76311443080201e-10
FAR8	RPI1	7.45335515182694e-14	3.56986315739792e-10	3.24176948779725e-10
NJR007C	CBF1	7.497469662951101e-14	3.5881217709333196e-10	3.2583500158564003e-10
RAV1	CBF1	1.32117935266813e-13	6.07053724687611e-10	5.51261534512263e-10
YIM1	PAH1	1.8076494684785102e-13	8.058384230325501e-10	7.317766246775999e-10
ATG16	PAH1	1.8076494684785102e-13	8.058384230325501e-10	7.317766246775999e-10
MRPS8	PAH1	2.2615653802920497e-13	9.90490692228688e-10	8.99458147957303e-10
NNL035W	TRA1	3.6793214597701795e-13	1.5480058562821e-09	1.40573403813176e-09
OPI3	CBF1	3.68670133119443e-13	1.54893380187862e-09	1.40657669948557e-09
NJR008W	CBF1	3.8793239667077294e-13	1.6230286333995099e-09	1.47386173351555e-09
MDE1	CBF1	5.03274013888393e-13	2.0651850884632604e-09	1.8753811312235197e-09
NJR009W	CBF1	7.853243929086409e-13	3.10961814657062e-09	2.82382399038542e-09
RIM13	PAH1	8.6465398591918e-13	3.39677786501052e-09	3.08459186083832e-09
YIM2	PAH1	1.9109088806531697e-12	7.027410838349309e-09	6.3815460227842e-09
MOG1	CBF1	2.3582963915549e-12	8.54669310188496e-09	7.76119635337875e-09
NBL002C	PDR3	3.5325634938997405e-12	1.2397117447785601e-08	1.12577416295598e-08
SUN4	TRA1	4.06257642975087e-12	1.4100100593016499e-08	1.28042095346395e-08
PRI2	PHD1	1.30736721548712e-11	4.12392869899469e-08	3.7449127982813e-08
RRN6	PDR3	1.70076663649168e-11	5.25412887411876e-08	4.771240217926969e-08
gNL07	TRA1	3.8691262829650395e-11	1.11502412037489e-07	1.01254614314797e-07
NNL035W	GAL11	4.69110579961415e-11	1.32479638019012e-07	1.20303896633813e-07
CEP3	PAH1	6.472812634676179e-11	1.7655022575624001e-07	1.60324110389002e-07
YHL017W	OPI1	1.57600023460505e-10	3.95951508039534e-07	3.59560986182304e-07
GSY2	WTM2	2.4811129629968496e-10	5.97043435580903e-07	5.42171256157223e-07
YLR257W	WTM2	3.6884893512069804e-10	8.6464414898597e-07	7.851777214979391e-07
CDC11	CBF1	4.36238575231414e-10	1.00529769190935e-06	9.129042879504101e-07
NJR013W	CBF1	4.4561226558340995e-10	1.02453293138776e-06	9.30371683669026e-07
DUR3	OPI1	6.339199927151139e-10	1.40306226758792e-06	1.27411170904979e-06
YJR079W	CBF1	1.05199308246114e-09	2.21770772839663e-06	2.01388594738422e-06
RFT1	PDR3	1.20531102989586e-09	2.50301962301898e-06	2.27297582106066e-06
REC107	CBF1	1.23977464754132e-09	2.56835276583128e-06	2.33230442262677e-06
gBL04	PDR3	1.3464571944931301e-09	2.77114082111747e-06	2.5164549351622996e-06
NBL009W	PDR3	1.36856116707969e-09	2.81276528912952e-06	2.55425384352314e-06
NGL041C	RTG2	1.6060554783760998e-09	3.25066443253078e-06	2.95190720423221e-06
APN2	PDR3	1.8068220115762804e-09	3.6070210173595497e-06	3.2755122984721698e-06
POP8	PDR3	1.8068220115762804e-09	3.6070210173595497e-06	3.2755122984721698e-06
NDL012C	RPN4	2.13018156651765e-09	4.19796311718635e-06	3.8121429713604104e-06
MCP2	WTM2	2.14633592459355e-09	4.22284857209762e-06	3.834741290921799e-06
YLR271W	WTM2	2.51182092691348e-09	4.87464812712399e-06	4.4266362225988e-06
RGA1	GCR1	2.52331435735078e-09	4.8953664033245694e-06	4.44545035430792e-06
BNA2	CBF1	3.7246479940102294e-09	6.91671638110273e-06	6.28102510695396e-06
NEJ1	WTM2	3.81420968987614e-09	7.05894903021832e-06	6.41018564945711e-06
RED1	WTM2	3.85031979443798e-09	7.1235758842826795e-06	6.46887287481026e-06
AIM24	CBF1	4.10825968568813e-09	7.5564299526981995e-06	6.861944835776171e-06
NLR116W	WTM2	5.403546128777429e-09	9.65991893037127e-06	8.77210947937242e-06
