SNP	gene	p.value	FDR	q.value
IRA2	HHF1	1.64591613422034e-06	0.00173175734314928	0.00164937350437613
MDY2	HHF1	2.72573990458722e-06	0.0025552433877704	0.0024336843482681302
gOL02	HHF1	3.35256678978129e-06	0.00299164874226648	0.0028493288562710197
REX4	HHF1	3.35256678978129e-06	0.00299164874226648	0.0028493288562710197
YOL106W	HHF1	5.1639611840378605e-06	0.004157039294047171	0.0039592789921612
NOL019C	HHF1	5.32580025590029e-06	0.0042583284562575	0.00405574958666515
NOL020W	HHF1	5.32580025590029e-06	0.0042583284562575	0.00405574958666515
gCL01	HTB1	6.36274270802402e-06	0.00488236427662225	0.00465009853050705
NDJ1	HHF1	6.99913597490885e-06	0.00525636223130657	0.0050063045079711795
YOL073C	RSP5	7.95173419564911e-06	0.00581929441180105	0.00554245665823709
YCL022C	HTB1	1.03832488387431e-05	0.00710150029118425	0.006763664937200689
gCL01	HHF1	1.0721849144770699e-05	0.007267396890774009	0.00692166943876205
TRM10	HHF1	1.3835425410612802e-05	0.00881558916649083	0.008396210505008259
PHM8	HTA1	1.56016623345262e-05	0.009642209591497409	0.00918350661931411
SKM1	HHF1	1.63348839743532e-05	0.0099780085440149	0.00950333081250755
MPD2	HHF1	1.8064390689834e-05	0.0107667695552865	0.0102545685759407
LEU2	HTB1	1.9133957282230398e-05	0.0112169518963981	0.0106833346663545
YOL099C	HHF1	2.1880169937812e-05	0.0124342930328742	0.0118427639733724
RFC4	HHF1	2.56973796154228e-05	0.0139373878805067	0.0132743530040508
ILV6	HTB1	2.7576531764496198e-05	0.0146294274328985	0.0139334705797382
YPQ1	HHF1	2.82478419715183e-05	0.0148729487197286	0.0141654069765077
gOL02	RSP5	3.45569075931835e-05	0.0172081665565358	0.0163895329155217
REX4	RSP5	3.45569075931835e-05	0.0172081665565358	0.0163895329155217
IRA2	RSP5	3.6774290045900394e-05	0.0179810310165426	0.0171256303646545
YCL022C	HHF1	3.71497809565382e-05	0.0181084649753912	0.0172470019852883
NER009C	HTA1	4.18400225457026e-05	0.0196699366230993	0.0187341906920391
LEU2	HHF1	4.22962736689902e-05	0.0198203984462736	0.0188774946864155
HAL9	HHF1	4.3339803872291296e-05	0.0201298970760855	0.0191722697261586
gOL02	HHT1	4.3664418157655e-05	0.0202409133377509	0.0192780046787317
REX4	HHT1	4.3664418157655e-05	0.0202409133377509	0.0192780046787317
YCL023C	HHF1	5.1669820368539e-05	0.0228118887632779	0.0217266726540929
MPD2	RSP5	8.364654933583441e-05	0.0321169643955144	0.0305890835829339
BUD3	HTB1	8.58015280798168e-05	0.0326725068800602	0.0311181975827619
YCL023C	HTB1	8.76907447640214e-05	0.0332313668458468	0.0316504712433133
IRA2	HHT1	0.000107442176780845	0.0383893158233093	0.0365630442513074
NGL3	HHF1	0.000109184713394949	0.0388231810338454	0.0369762694560737
ISC1	HTA1	0.000112165022614296	0.0395141082543974	0.0376343276162076
YER019C	HTA1	0.000112165022614296	0.0395141082543974	0.0376343276162076
NER005W	HTA1	0.000112165022614296	0.0395141082543974	0.0376343276162076
GPA2	HTA1	0.00011637069405571699	0.0404607493118664	0.0385359346944283
gOL02	HTB1	0.000117533177190241	0.0407152703191201	0.0387783475286117
REX4	HTB1	0.000117533177190241	0.0407152703191201	0.0387783475286117
HRP1	HHF1	0.000129447114054448	0.0434500630404765	0.0413830396192272
MDY2	HHT1	0.000138892966291084	0.0453963309466799	0.0432367189061137
NML013W	HHF1	0.000145525407992215	0.0468836916985109	0.0446533223495604
NDI1	HHF1	0.00015011744361183998	0.0479454249295635	0.0456645463913935
GTR1	HHF1	0.00016149813699864799	0.0504351609280502	0.0480358396935645
YOL118C	HHF1	0.0001667621492917	0.0515231310553662	0.0490720524797534
