SNP	gene	p.value	FDR	q.value
NNL035W	DHH1	1.44672494695506e-22	3.46462095379782e-18	3.14619972800063e-18
MLF3	DHH1	3.19195057841032e-18	3.10735454578807e-14	2.8217684292543998e-14
SUN4	DHH1	1.9722963164749603e-11	6.01536008803351e-08	5.4625093264679506e-08
gNL07	DHH1	2.2105207171119e-09	4.337726321531939e-06	3.9390610271479e-06
NOP15	DHH1	3.13419754782123e-06	0.00226623945147205	0.002057957289091
SUN4	POP2	6.08655523154234e-06	0.0038284893146669397	0.0034766262171493302
HYM1	MPT5	7.69705428713336e-06	0.00458120269375161	0.004160160335345629
SPE1	MPT5	8.99965925018365e-06	0.00518973992765658	0.0047127690349182
YKL147C	EAP1	9.02767486746984e-06	0.005197527315445261	0.00471984071106093
NKL026W	EAP1	9.02767486746984e-06	0.005197527315445261	0.00471984071106093
RPB5	VTS1	9.312982871498511e-06	0.0053228538083572	0.00483364888320126
SDS22	MPT5	9.586763797840131e-06	0.00545226768927666	0.00495116878577589
MLF3	EBS1	1.0622600447748e-05	0.00590451984392076	0.00536185602253384
NKL037W	MPT5	1.16897152708442e-05	0.00635200645802788	0.00576821570296135
gKL03	MPT5	1.37093797004905e-05	0.007154650647881341	0.0064970916652885
NBR034W	VTS1	1.3997826667855099e-05	0.00726717709375957	0.0065992761980660005
NBR035W	VTS1	1.3997826667855099e-05	0.00726717709375957	0.0065992761980660005
KKQ8	MPT5	1.55242822085451e-05	0.007859291920559371	0.00713697181668212
SLI15	VTS1	1.8812184165848498e-05	0.00904648018363244	0.00821504974791203
NBR031C	VTS1	2.4816704667505104e-05	0.0111360953800994	0.0101126157011351
TPO5	MPT5	2.4859777793646398e-05	0.011150409324918	0.0101256141012186
gNL07	POP2	2.5034428432804998e-05	0.0112136239913364	0.0101830189281661
RTC2	VTS1	2.65658170115535e-05	0.0117086080984165	0.0106325107726788
SNU114	MPT5	2.8144484712593102e-05	0.0121917399130315	0.011071239627581001
PIR1	MPT5	3.12630524755877e-05	0.0131811347896275	0.0119697026724978
NKL033C	MPT5	3.1460668997015995e-05	0.0132374197420632	0.0120208146713009
MLF3	POP2	3.51906196866687e-05	0.0143509629043269	0.0130320159660315
YLR235C	POP2	3.58269544431998e-05	0.0145431030605545	0.0132064971907665
NKL025W	EAP1	3.58955357087326e-05	0.0145638567946881	0.0132253435215937
ELF1	MPT5	3.72938138622909e-05	0.0149604502100233	0.0135854874196113
PIR3	MPT5	3.7994799632952005e-05	0.0151526106110044	0.0137599870284752
NNK1	MPT5	4.41153421293765e-05	0.0168625973399714	0.0153128148423414
YBR174C	VTS1	4.5148185197192606e-05	0.0171229254284105	0.0155492170843067
YNL046W	DHH1	4.55110092511747e-05	0.0172169045219163	0.0156345588871673
YCR100C	CDC39	4.56970912698239e-05	0.0172654805826123	0.0156786704915786
YKL162C	MPT5	4.70873659033132e-05	0.0176592576594022	0.0160362568909022
NKL030W	MPT5	4.70873659033132e-05	0.0176592576594022	0.0160362568909022
NKL029C	MPT5	4.70873659033132e-05	0.0176592576594022	0.0160362568909022
NKL028W	MPT5	4.70873659033132e-05	0.0176592576594022	0.0160362568909022
YNL115C	DHH1	5.5821322916415897e-05	0.0199571629672664	0.0181229697379882
NNL012W	DHH1	6.13572948236395e-05	0.0213735121667652	0.0194091472233874
SAM50	DHH1	6.457791624605589e-05	0.0221680642810336	0.0201306748245679
YKL177W	MPT5	6.48443597489852e-05	0.0222210311789647	0.0201787737196812
YNL040W	DHH1	6.59148511547667e-05	0.0224838670796372	0.0204174532896059
SDH3	EAP1	6.91875478853471e-05	0.0232795273590771	0.0211399872083627
NNL005C	DHH1	6.97255041971995e-05	0.0234060600901128	0.0212548907574888
CSH1	VTS1	7.6808827144484e-05	0.0250902982199812	0.0227843364361774
YNL114C	DHH1	9.00744004423283e-05	0.0280557011995037	0.0254771995724345
NTC20	VTS1	9.1783183965657e-05	0.0283968045519444	0.0257869533056654
SMY2	VTS1	9.21289962971468e-05	0.0284728962282672	0.0258560516614574
RIM2	VTS1	9.562866693650991e-05	0.0292420194264035	0.0265544874294807
NNL038C	DHH1	9.64947670926715e-05	0.0294361992279218	0.026730820842823
NBR041W	VTS1	9.74373525571166e-05	0.0296183731920051	0.0268962518333674
YLR236C	POP2	9.76190029763019e-05	0.0296467813819764	0.0269220491256982
COG6	DHH1	9.841813881058841e-05	0.0297982242331326	0.0270595733927015
NNL035W	EBS1	9.85694763798723e-05	0.0298244375131465	0.0270833775015923
PCS60	VTS1	9.94023024669203e-05	0.0299975946713831	0.0272406203894609
KTR5	DHH1	0.000100363154597107	0.0302098999052269	0.0274334133898728
YBR162W	VTS1	0.000102127690709179	0.0305597360640589	0.0277510973277233
YLR232W	POP2	0.0001102352576521	0.0322036184063544	0.0292438961784969
PCH2	VTS1	0.000110641388546521	0.0322853368766183	0.0293181041892274
NBR038W	VTS1	0.000134793724163902	0.036983225797413	0.0335842265275397
YNL050C	DHH1	0.000138939569394767	0.0377590637559445	0.0342887599257541
NNL013C	DHH1	0.00013947701286178	0.0378638728730647	0.0343839364025384
STE6	MPT5	0.00014453144300156202	0.0388285626114801	0.0352599648723427
YNL035C	DHH1	0.000160096569382878	0.0416485305279951	0.0378207593748941
NNL004W	DHH1	0.000160096569382878	0.0416485305279951	0.0378207593748941
ECM31	VTS1	0.000160138286756126	0.041654882085368994	0.0378265271827868
NBR043C	VTS1	0.000160618627257473	0.0417139049740093	0.0378801254836291
