SNP	gene	p.value	FDR	q.value
YCR041W	PTC5	5.0315645831870204e-17	3.9689080870214396e-13	3.60413958997693e-13
PSP2	PPZ1	1.37316022255776e-15	8.501675144337991e-12	7.72031583926825e-12
PPZ1	PPZ1	5.3911682256835e-15	3.05653048346067e-11	2.77561542919964e-11
YML018C	PPZ1	5.5165607774202605e-15	3.12466300760081e-11	2.8374861307211696e-11
TRM9	PPZ1	7.58462802982196e-15	4.1967856845601e-11	3.8110737524594504e-11
NSE5	PPZ1	1.10881832911278e-14	5.98602623816636e-11	5.4358714484132e-11
NML001C	PPZ1	1.3092839493359901e-14	7.005086836159261e-11	6.36127374175985e-11
APT1	PPZ1	1.37393335388271e-14	7.31828167902958e-11	6.64568393917833e-11
UBX2	PPZ1	1.33592119512691e-13	6.13356560327697e-10	5.56985098515632e-10
NCR015C	PTC5	2.7588567460526196e-13	1.18422939176643e-09	1.0753909994632301e-09
gCR02	PTC5	3.1853799425949295e-13	1.35158696059358e-09	1.2273673179536099e-09
YAP1	PPZ1	1.7880355668135897e-11	5.48692027409634e-08	4.98263657240768e-08
IMG1	PTC5	2.2746522087631602e-11	6.84339632986456e-08	6.21444364585369e-08
YML013C	PPZ1	2.33325452380964e-11	7.005622450767291e-08	6.36176012989771e-08
GLO1	PPZ1	1.31994061558884e-10	3.3670616553535e-07	3.0576067643481496e-07
YML002W	PPZ1	1.31994061558884e-10	3.3670616553535e-07	3.0576067643481496e-07
BUD23	PTC5	1.38063552488644e-10	3.5027512015338e-07	3.1808255576816603e-07
AIM34	PPZ1	1.4459605402418e-10	3.6496525616152703e-07	3.3142257262122603e-07
CEN13	PPZ1	4.23895687174278e-10	9.813868702174059e-07	8.91191026469088e-07
YMR010W	PPZ1	1.37132259645098e-09	2.81747357042217e-06	2.5585294031066603e-06
NDC1	PPZ1	2.3898426284173e-09	4.662106401183701e-06	4.2336284652540606e-06
TAF4	PPZ1	1.99491319049514e-08	3.0569642272553696e-05	2.77600930911525e-05
SNR74	PPZ1	5.4061945976044704e-08	7.30591344830123e-05	6.63445242939058e-05
GSY2	NEM1	6.11716321624379e-08	8.133133243569641e-05	7.38564533896913e-05
ILV6	PTC5	6.46590113688641e-08	8.532303876012491e-05	7.74812959106052e-05
BUD22	PPZ1	6.94936041349197e-08	9.10014642193773e-05	8.263783709465251e-05
REX4	GIP2	1.2212640654702598e-07	0.000148250537486191	0.000134625347746545
YLR257W	NEM1	1.4527010476819502e-07	0.00017297795030587	0.00015708015031366498
gOL02	GIP2	2.99407618723065e-07	0.00032314108990245	0.0002934423195826
CGI121	PPZ1	3.66852633387053e-07	0.00038310645108263	0.000347896473601307
MLF3	TPD3	7.413849935077709e-07	0.000693434954823618	0.0006297037671208139
BUD3	PTC5	7.6385932241927e-07	0.000709908585895596	0.000644663364227973
gML04	PPZ1	7.93968058689622e-07	0.000732433332072601	0.000665117939559712
IRA2	GIP2	1.0486390378208599e-06	0.0009272203898843211	0.0008420027983877769
YMD8	PPZ1	1.57116177387511e-06	0.0013032081654644901	0.0011834348491191
RED1	NEM1	1.65613624131735e-06	0.00136161758716296	0.0012364760646260801
YCL022C	PTC5	2.4044787885404e-06	0.00183641170281195	0.00166763350938889
LEU2	PTC5	3.8850589476623295e-06	0.00268900290347596	0.00244186602699934
VPS63	NEM1	4.14121666393243e-06	0.0028322473332739397	0.00257194536095188
YCL026C	PHO8	6.60306202868981e-06	0.00407678442685368	0.0037021013917335798
MCP2	NEM1	7.72247052228511e-06	0.00459313382418186	0.004170994917198879
YLR252W	NEM1	8.1484999389722e-06	0.00480357681903566	0.00436209683051003
NML013W	PSR2	8.91100214876327e-06	0.00515262045988611	0.00467906108794207
NNL035W	TPD3	9.0070041217284e-06	0.00519010544867909	0.00471310096217862
YCL023C	PTC5	9.678860720213091e-06	0.00549472851165757	0.00498972718209312
gCL01	PTC5	1.4289963370553e-05	0.0073753543732107095	0.00669751128113102
gML03	PPZ1	1.54763944436125e-05	0.00784300676051034	0.00712218336888367
GSF2	PPZ1	1.6902497621348497e-05	0.0083729483173911	0.00760341984593228
NEJ1	NEM1	1.71918053803086e-05	0.00847739053561649	0.0076982631442193
FAR8	PPZ1	1.8368220098582397e-05	0.00889298579231389	0.00807566249064605
PRP39	PPZ1	2.4223221275208302e-05	0.0109221716626917	0.009918352966337859
SUN4	TPD3	2.4930346788969896e-05	0.0111778746901813	0.0101505552205714
AGP1	PHO8	2.52507165256169e-05	0.0112868610268691	0.0102495250032447
NBR034W	PSY2	2.92677772815245e-05	0.0125673375499482	0.0114123173959325
NBR035W	PSY2	2.92677772815245e-05	0.0125673375499482	0.0114123173959325
PIG1	NEM1	2.99168552889218e-05	0.0127763835848392	0.0116021507389978
MCM5	NEM1	3.39867308484125e-05	0.0139857581618367	0.0127003759174346
TRM10	GIP2	4.17316053228446e-05	0.0161972061949791	0.0147085774763189
SLI15	PSY2	4.8670703153201795e-05	0.0180921296705042	0.0164293451455048
NBR031C	PSY2	4.99805482362515e-05	0.0184460401613189	0.0167507289576985
MPD2	GIP2	5.4374204821903204e-05	0.0195753905525056	0.0177762846940841
NLR116W	NEM1	5.61978267057082e-05	0.0200546153287164	0.0182114655928525
YLR271W	NEM1	5.945320679574039e-05	0.0209060710242303	0.0189846669656301
YCL023C	PHO8	6.725997516024761e-05	0.0228181926876448	0.0207210521972509
RPB5	PSY2	6.81433272970879e-05	0.0230363962468073	0.0209192014284773
NML011W	PSR2	6.85621231843798e-05	0.0231387774205042	0.0210121731056486
YBR174C	PPH3	7.00263820184071e-05	0.0234833607421093	0.0213250869762177
RPB5	PPZ2	7.03887760706907e-05	0.0235771564874487	0.0214102622818023
YPR027C	PSY2	7.282179098744309e-05	0.0241565971189538	0.0219364485462003
MAK5	PSY2	7.47151830378197e-05	0.0246010187457355	0.0223400249315954
YLR269C	NEM1	7.95660336059299e-05	0.0257342748748543	0.0233691274431647
YPQ1	GIP2	8.011929122687009e-05	0.0258556898129749	0.0234793835578693
gLR07	NEM1	8.024793796759259e-05	0.0258861736030826	0.0235070656891686
SMY2	PPH3	8.042698275309209e-05	0.0259200575298295	0.0235378354624097
YLR269C	SAP4	8.63169731493723e-05	0.0272104213597359	0.0247096064540454
YSH1	NEM1	8.63550540500179e-05	0.0272195594968324	0.0247179047368391
YBR139W	PPZ2	8.88419326107692e-05	0.0277680643400785	0.0252159984133598
RIM2	PPH3	9.44707945403227e-05	0.0289812107095959	0.0263176487320236
HAL9	GIP2	9.65983305774877e-05	0.029446786219742	0.0267404348211568
ATH1	PSY2	9.76941045288088e-05	0.029658500465124003	0.0269326911487948
RRP12	PSY2	9.84408719902525e-05	0.0298020929253512	0.0270630865269139
