SNP	gene	p.value	FDR	q.value
NNL035W	NUP188	6.11988766076046e-09	1.07605903859578e-05	9.77162206108461e-06
NNL035W	NUP159	1.1032517456178402e-08	1.8072809741433897e-05	1.64118008437192e-05
NNL035W	NUP157	4.2787412141958e-08	5.944964864371961e-05	5.39858388224474e-05
NBR016C	NTF2	8.91685002323331e-08	0.00011336853579751102	0.000102949229149866
YAR002C	NUP60	9.378020249103859e-08	0.00011827738124610601	0.000107406919737414
MLF3	NUP157	1.00335757339845e-07	0.00012533087451365701	0.00011381215104431799
YAL004W	NUP60	1.50342581725822e-07	0.000178096970556108	0.000161728699270015
MDM10	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
NAL001C	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
gAR03	NUP60	1.62089380723596e-07	0.000189971106653728	0.000172511524940923
MLF3	NUP188	1.91255390151122e-07	0.000219820955965156	0.000199617978731064
NAL002C	NUP60	2.04365043908848e-07	0.00023274395062537203	0.000211353266032942
SPO7	NUP60	2.1372137177664002e-07	0.00024206419766862401	0.000219816921683421
URA3	NUP42	4.1324159467245996e-07	0.00042378902363740696	0.00038484005283062996
TAT1	NTF2	4.6260138592064103e-07	0.000466855312253223	0.000423948269093235
SUN4	NUP188	5.41622722012844e-07	0.000532375476613028	0.000483446703708834
RPR1	NUP42	8.91251449319422e-07	0.0008094551980939809	0.000735060994559981
NEL011C	NUP42	1.15924019808278e-06	0.00100859737291884	0.000915900706789003
MOG1	MOG1	1.3438129617643499e-06	0.0011428150012462901	0.00103778286110485
SUN4	NUP157	1.52448195045146e-06	0.00127135870019871	0.00115451255710146
NNL035W	SUB2	1.92781291480244e-06	0.00154055384618428	0.00139896691628626
UIP3	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
YAR028W	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
OPI3	MOG1	2.03857853412398e-06	0.0016101561944393099	0.00146217235551567
YAR029W	NUP60	2.82770701118061e-06	0.00208748479283445	0.0018956313475567699
MUM2	NTF2	3.27810567142113e-06	0.00234789348026535	0.00213210678094177
SWC3	NUP60	3.38044568422711e-06	0.0024053662912511898	0.00218429746635943
CDC11	MOG1	3.5962098655024003e-06	0.0025267613705236397	0.00229453554737344
NNL035W	NUP2	3.70422370147456e-06	0.00258686728453215	0.00234911733650033
NJR013W	MOG1	3.79808857184571e-06	0.00263690248715756	0.00239455397819644
TIP1	NTF2	3.99181891059188e-06	0.0027507571145006103	0.0024979446239135803
YBR075W	NTF2	4.540145405057891e-06	0.0030437852664854602	0.0027640415806558898
CSN12	MOG1	4.97345061680529e-06	0.00327281640547017	0.00297202326661421
NNL035W	NUP192	5.1362244942672e-06	0.00335558838943138	0.0030471879662733103
YJR079W	MOG1	5.1885258148354695e-06	0.0033809033928059	0.0030701763559971397
TRM7	NTF2	5.34654166466476e-06	0.00345677995379477	0.0031390793669551303
gEL02	NUP42	5.93729563304738e-06	0.00375360406717255	0.00340862341152067
HSP26	NTF2	6.36102709566675e-06	0.003964554835409789	0.0036001864305349202
NNL038C	NUP157	8.71609935631056e-06	0.00506519229651915	0.00459966814208369
YNL114C	NUP157	9.15056880573825e-06	0.00525259055550686	0.00476984328081239
EMC2	MOG1	1.02213207732136e-05	0.00573041661377239	0.0052037540129225394
YNL115C	NUP157	1.0831026638464999e-05	0.005996655424992571	0.00544552374375731
RPB5	NUP192	1.1723739431312e-05	0.00636553703177654	0.00578050272887715
NOP15	NUP157	1.2489109071880198e-05	0.0066820748551141	0.00606794866508987
NGL041C	SLX9	1.34118246208131e-05	0.00703554612175418	0.00638893362067063
gNL07	NUP188	1.4368582155439401e-05	0.00740826747715213	0.00672739945650405
MUM2	DBP5	1.46395112248629e-05	0.007518817549955609	0.00682778925776167
NBR034W	NUP192	1.5314796720636902e-05	0.007783514021224959	0.00706815839973013
NBR035W	NUP192	1.5314796720636902e-05	0.007783514021224959	0.00706815839973013
MLF3	NUP159	1.60844118351108e-05	0.00807597495482177	0.00733374026914776
YBR071W	NTF2	1.72218327272195e-05	0.00848758915794306	0.00770752444674495
ECM2	NTF2	1.8559929982998897e-05	0.008960441152142909	0.00813691826366608
RTC2	NUP192	1.9116588180364604e-05	0.009159755682429759	0.00831791449076784
NNL035W	DBP5	1.92245866239292e-05	0.00919678263600246	0.00835153842620334
YBR064W	NTF2	2.04305151609846e-05	0.00963485399063017	0.0087493481708058
AIM24	MOG1	2.06199098075864e-05	0.00969346959813546	0.00880257662230134
SLI15	NUP192	2.1294973684685396e-05	0.00992803667527677	0.009015585457652001
MAK5	NUP192	2.32006883138349e-05	0.0105838679777315	0.00961114159291564
YEL028W	NUP42	2.36695527435232e-05	0.0107307116433699	0.00974448936949817
YBR144C	NUP192	2.41469270514841e-05	0.0108976195752846	0.009896057375636159
YRO2	NTF2	2.43819212903342e-05	0.0109780201127081	0.0099690685801363
gPL05	MOG1	2.5635288441097302e-05	0.0114085074960134	0.0103599913697645
NPA3	MOG1	2.6774332811050198e-05	0.0117718745276306	0.0106899626050839
NBR031C	NUP192	2.72402460632126e-05	0.0119050300066541	0.0108108802285331
SLI15	BRL1	3.06878272260019e-05	0.0130156018997495	0.0118193833330796
NBR016C	GSP1	3.50976138516628e-05	0.0143237668584323	0.0130073194138437
BNA2	MOG1	3.64571367845421e-05	0.0147211848284426	0.0133682120845927
NBR034W	BRL1	3.80092934843844e-05	0.0151526106110044	0.0137599870284752
NBR035W	BRL1	3.80092934843844e-05	0.0151526106110044	0.0137599870284752
