SNP	gene	p.value	FDR	q.value
NNL035W	POL2	2.16103084502855e-11	6.53439737192013e-08	5.93384370421458e-08
YAR002C	NUP60	9.378020249103859e-08	0.00011827738124610601	0.000107406919737414
YAL004W	NUP60	1.50342581725822e-07	0.000178096970556108	0.000161728699270015
MDM10	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
NAL001C	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
gAR03	NUP60	1.62089380723596e-07	0.000189971106653728	0.000172511524940923
NAL002C	NUP60	2.04365043908848e-07	0.00023274395062537203	0.000211353266032942
SPO7	NUP60	2.1372137177664002e-07	0.00024206419766862401	0.000219816921683421
UIP3	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
YAR028W	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
MLF3	POL2	2.3016440586831e-06	0.0017707477628943898	0.0016080045131254901
YAR029W	NUP60	2.82770701118061e-06	0.00208748479283445	0.0018956313475567699
SWC3	NUP60	3.38044568422711e-06	0.0024053662912511898	0.00218429746635943
SUN4	POL2	5.50977250078136e-06	0.00354356884243619	0.00321789179159794
RTC2	POL1	6.3319446011821e-06	0.0039501299000614205	0.0035870872406741296
RPB5	POL1	1.8164550738723002e-05	0.00881862572369364	0.00800813659653324
gNL07	POL2	2.35377175138148e-05	0.0106903716825392	0.00970785691374456
NBR031C	POL1	2.4219879042860603e-05	0.0109214871860179	0.00991773139752737
ATG27	STH1	2.48271955547001e-05	0.0111399680413969	0.0101161324396423
NBR034W	POL1	3.14264106950929e-05	0.0132306361562107	0.0120146545411601
NBR035W	POL1	3.14264106950929e-05	0.0132306361562107	0.0120146545411601
YBR225W	TPP1	3.73202089580866e-05	0.0149673551581303	0.0135917577580252
NNL035W	POL1	4.4653867921146994e-05	0.0169741599886338	0.015414124157143
RPB5	MCD1	4.60990435656039e-05	0.0173811509868742	0.0157837100324922
PCS60	TPP1	4.8631252240338794e-05	0.0180819555074944	0.0164201060543254
NOP15	POL2	5.4794099897465704e-05	0.0196792237339428	0.0178705749300295
PFD1	STH1	5.707807261586489e-05	0.0202769133268671	0.0184133329574628
SNR37	TPP1	5.8457601247688e-05	0.0206298890582444	0.0187338679206982
NBR031C	MCD1	6.0091324246247105e-05	0.021058720375881	0.0191232868478762
YBR144C	POL1	6.72615656790705e-05	0.0228181926876448	0.0207210521972509
RFA3	NUP145	6.993211134252851e-05	0.023457002640624	0.0213011513558917
RPB5	TPP1	7.069129825407379e-05	0.0236493796091991	0.0214758476283775
MAK5	POL1	7.30930922591035e-05	0.0242125587414653	0.0219872669312046
SLX1	TPP1	7.34078100606034e-05	0.0242787025017956	0.0220473316492604
NBR034W	MCD1	7.84718267743131e-05	0.0254845326161984	0.0231423381242949
NBR035W	MCD1	7.84718267743131e-05	0.0254845326161984	0.0231423381242949
ASG7	NUP145	9.27197308852205e-05	0.0285934726407712	0.0259655463165098
MUM2	POL2	9.326383145323191e-05	0.0287124601099049	0.0260735980624341
SLM4	POL2	9.725781257572671e-05	0.0295950802894823	0.0268750997002599
KTI12	PRI2	9.74557002096702e-05	0.0296206700855517	0.0268983376274406
YBR226C	TPP1	0.000101921799953044	0.0305179559775682	0.0277131571032353
YJL181W	STH1	0.00010751274046285501	0.0316506628185227	0.0287417608097993
LOC1	SMC1	0.00010762786367226701	0.0316720950209344	0.0287612232532519
TAT1	POL2	0.00011814273407933101	0.0337833202432102	0.0306784131301969
NBR056W	TPP1	0.00012072479503426399	0.0343011996409624	0.0311486960390844
RTC2	MCD1	0.000121007927147332	0.0343493961156139	0.0311924629438806
YAK1	NUP120	0.000123650266142847	0.0348768024568495	0.03167139720811
NBR023W	POL2	0.000125426658601899	0.0352235228217167	0.0319862517137498
SLI15	POL1	0.00012601055715756398	0.0353332880929943	0.032085928841852
YBR162W	POL1	0.000127128519559105	0.0355580161878064	0.0322900029614169
SLI15	MCD1	0.000131544828512442	0.0363711941706003	0.0330284445925217
IRC9	NUP120	0.000138225470142974	0.0376179306934077	0.0341605979106632
RPB4	NUP120	0.000138225470142974	0.0376179306934077	0.0341605979106632
ROT2	TPP1	0.00013823359768951298	0.0376184325910134	0.0341610536806109
SWH1	NUP60	0.000140439819143702	0.0380458905109537	0.0345492254342838
YJL171C	NUP145	0.000142719782163556	0.0385084652238354	0.0349692865189612
PHO3	POL2	0.000143848611836265	0.0387135486654848	0.0351555214569066
NBR024W	POL1	0.00015243796392613702	0.040279246054	0.0365773210602593
NBR023W	POL1	0.000160875358392369	0.0417567804050387	0.0379190603833602
MUD1	POL1	0.000162121353849078	0.0419692469109406	0.0381119998338779
VPS35	NUP145	0.000163850248668701	0.0422578007121242	0.0383740336617928
TPK1	NUP145	0.00016531623040248001	0.0425095317885694	0.0386026290131465
SSY5	NUP145	0.00016562009261483998	0.0425420041294939	0.0386321169344939
SLX1	SFH1	0.00017112034221798	0.0434254273947421	0.03943434784918799
YPI1	SMC1	0.000179062129286302	0.0447487674363233	0.0406360643239183
RPN11	SMC1	0.000179062129286302	0.0447487674363233	0.0406360643239183
gBR08	POL1	0.000188904890735715	0.0463514304577442	0.0420914321778085
MDJ2	NUP60	0.000189646943441221	0.0464782667285273	0.0422066113694025
YAT1	NUP60	0.000194499990228424	0.0472709589590608	0.0429264500222742
YNL114C	RAD5	0.00019656744847506002	0.0476149332413142	0.0432388108281738
RPB5	TDP1	0.000197548595579352	0.047790723475584	0.0433984447952425
YBR090C	POL2	0.000199170482820863	0.0480655597052138	0.0436480217857524
NNL038C	RAD5	0.000199622378388452	0.0481406822189766	0.0437162400513343
SLD2	PRI2	0.00019990510449288202	0.0481795424638931	0.0437515287867018
ROT2	SFH1	0.000210534972337486	0.0498506764140531	0.0452690746451261
gFL02	SMC1	0.00021085028787947802	0.0499016543260643	0.0453153673550768
YJL118W	TPP1	0.000213832948997497	0.0503805187705584	0.0457502210389595
YBR139W	POL1	0.00021648457795631299	0.0507575752346384	0.0460926235587588
RTC2	TDP1	0.00022424976555069	0.0519898124264382	0.0472116101288258
