SNP	gene	p.value	FDR	q.value
REX4	POR1	2.17689390488858e-06	0.0016956169458723	0.0015397787074077698
SUN4	POR1	2.2230895814691e-06	0.0017240144987112	0.00156556634022794
MLF3	POR1	2.29569639078133e-06	0.00176708027275425	0.00160467408921037
gOL02	POR1	4.62932355391549e-06	0.00309121040849397	0.0028071080433014
gNL07	POR1	4.78809385873342e-06	0.00317597512174762	0.00288408232745515
IRA2	POR1	1.3594438453654e-05	0.00710829678454982	0.0064549980238339
gNL07	TOM40	2.02463349744633e-05	0.00957010494366465	0.00869054998287477
SUN4	TOM40	3.60203540733053e-05	0.0146057644415413	0.0132633995828163
NDJ1	POR1	4.22991434299155e-05	0.0163521190552662	0.0148492528360188
MPD2	POR1	4.424248312062729e-05	0.0168839572480959	0.0153322116358225
YNL046W	POR1	5.557424749737839e-05	0.019889019593910998	0.0180610891843649
NOL019C	POR1	6.556913351300109e-05	0.0224088316597102	0.020349314113369
NOL020W	POR1	6.556913351300109e-05	0.0224088316597102	0.020349314113369
TRM10	POR1	7.17406438267495e-05	0.0239029293102151	0.021706094460862
YOL099C	POR1	8.51491904733212e-05	0.0269643809876671	0.0244861787942803
MDY2	POR1	8.66585810861009e-05	0.027286045292483	0.024778280054942002
YOL106W	POR1	8.776179308753571e-05	0.0275253009349692	0.0249955465459525
NMR044C	POR1	0.000120497637839179	0.0342664322654787	0.031117124011798
YPQ1	POR1	0.00012767745793981698	0.0356682298739159	0.032390087292107995
NNL035W	POR1	0.000140712957679585	0.0381026441708902	0.0346007630633162
YNL050C	POR1	0.00015474268413605301	0.0406853248922462	0.0369460786090575
HAL9	POR1	0.000156230832373437	0.0409668485912576	0.0372017284469668
