SNP	gene	p.value	FDR	q.value
NBR016C	PRS3	5.76744835257905e-06	0.0036733780488329	0.0033357706866642602
SMY2	PRS3	3.4367816657047804e-05	0.0140931752671549	0.0127979206913194
NBR016C	PRS5	4.6158387268448295e-05	0.0173980475752273	0.0157990537143523
TAT1	PRS3	5.0430159162126e-05	0.0185537833168292	0.0168485698156397
NBR041W	PRS3	5.5278153592435206e-05	0.0198079179138727	0.0179874412768219
YBR174C	PRS3	5.6581277059715196e-05	0.0201437173125682	0.018292378524194002
ECM2	PRS5	6.0217086797504794e-05	0.0210916819853898	0.0191532190708391
ECM31	PRS3	6.78828737624417e-05	0.0229690991520207	0.0208580893749118
TIP1	PRS3	6.907958842655811e-05	0.0232568615011139	0.0211194044903368
NTC20	PRS3	7.25205382616136e-05	0.0240863735834932	0.0218726790109144
YBR064W	PRS5	8.3694550167968e-05	0.0266517662740001	0.0242022954084138
PCH2	PRS3	9.966228483854259e-05	0.0300548429438548	0.027292607172916
EXO5	PRS3	0.000101010702527007	0.0303346600674212	0.0275467072807761
UBS1	PRS3	0.000101010702527007	0.0303346600674212	0.0275467072807761
TAT1	PRS5	0.000103473182371624	0.0308310443716157	0.027997470635171003
MUM2	PRS3	0.000117004879570253	0.0335633701504033	0.0304786778831406
RIM2	PRS3	0.000120174902582477	0.0342010734888819	0.0310577721323592
PGI1	PRS3	0.00012372960859596	0.0348893195540351	0.0316827639025581
ECM2	PRS3	0.000137320494743075	0.0374346035547879	0.0339941197298312
TRM7	PRS5	0.000160390884675186	0.0416816281485604	0.0378508151086118
YBR064W	PRS3	0.000166842896160249	0.0427374340258378	0.0388095855508073
TRM7	PRS3	0.00017716340715625601	0.0444207454053253	0.0403381896535094
YBR075W	PRS3	0.00018086751854332	0.0450438893340884	0.0409040625975702
YBR162W	PRS3	0.00018514647621101202	0.0457253217185323	0.0415228669086849
TAF5	PRS3	0.000186137822850901	0.0458755330303435	0.0416592728228282
MUM2	PRS5	0.000188059262148299	0.0462029896756796	0.041956634070199
TIP1	PRS5	0.000189574270323166	0.0464699673863695	0.0421990747908307
MED8	PRS3	0.000215670698816923	0.0506448264568257	0.0459902371277993
YBR071W	PRS3	0.000218228852043342	0.0510636223445862	0.0463705429464533
HSP26	PRS3	0.00022977664270026202	0.0528272481196178	0.047972080028775996
PYC2	PRS3	0.00023777543913538798	0.054103193164018	0.0491307574151825
