SNP	gene	p.value	FDR	q.value
gCL01	FAS1	5.09867512138145e-10	3.07182672942712e-06	2.9256925848154e-06
gCL01	FAS2	7.52606153799826e-10	4.314424246643509e-06	4.10917676613445e-06
LEU2	FAS2	2.24916536695137e-09	1.05319562221131e-05	1.0030925874644999e-05
YCL022C	FAS1	2.41083442847848e-09	1.11048049353261e-05	1.057652280445e-05
YCL022C	FAS2	2.7451457873069e-09	1.2162043750564301e-05	1.15834662405787e-05
LEU2	FAS1	3.3552220468332897e-09	1.42957623360449e-05	1.3615678729591e-05
ILV6	FAS1	1.5590316218033e-08	4.89110104191326e-05	4.6584196669768605e-05
BUD3	FAS2	2.71809722982633e-08	7.60654282656842e-05	7.24468139123274e-05
ILV6	FAS2	2.79987080799169e-08	7.7892941147748e-05	7.418738763560699e-05
BUD3	FAS1	4.06689116467722e-08	0.000104391246937245	9.94251056409319e-05
AGP1	FAS2	4.36490496684718e-08	0.000110484936309203	0.000105228903634783
YCL023C	FAS2	6.80331610058731e-08	0.00015177275600891898	0.000144552563000552
YCL023C	FAS1	1.66260911311294e-07	0.000304185592818279	0.000289714756626943
AGP1	FAS1	1.67275047694526e-07	0.00030486167514664505	0.000290358676101916
YCL026C	FAS1	3.13141921040706e-07	0.00048319203213127303	0.00046020543148017693
YCL026C	FAS2	8.351421371810229e-07	0.0010292503884569099	0.000980286485751212
NML013W	FAS1	1.80023523494361e-05	0.0107477270518483	0.0102364319699363
gCR02	FAS2	2.31002445520981e-05	0.0129382685049488	0.0123227641268487
NCR015C	FAS2	2.99212113186471e-05	0.0155283768944893	0.0147896548653637
NML011W	FAS1	3.28326596448375e-05	0.016601241435876	0.015811480674475
URA5	FAS1	3.38758344281101e-05	0.0169538065935368	0.0161472734643323
NDI1	FAS2	3.79012097376702e-05	0.0183659029838785	0.0174921930519803
NML011W	FAS2	4.4030940038862e-05	0.0203659030636034	0.0193970483443791
NML013W	FAS2	4.5072960926314897e-05	0.0206910484131176	0.019706725751945
YML108W	FAS1	6.417887790332379e-05	0.0266429379828406	0.0253754696993051
gCR02	FAS1	6.785633910242399e-05	0.0275943229133297	0.0262815949731601
URA5	FAS2	7.754093797595219e-05	0.030496850905942	0.029046042766994
NGL3	FAS2	9.067108972902908e-05	0.0339930874811642	0.0323759550061506
JIP4	FAS1	9.67117567016573e-05	0.0356849405326242	0.0339873225614349
gML01	FAS1	9.96133893765177e-05	0.0363865457541964	0.0346555507445409
YML108W	FAS2	0.000101129917600829	0.0367842429550996	0.0350343285383982
gML01	FAS2	0.000137870637734011	0.0451714495943857	0.043022535697612
NCR015C	FAS1	0.000152588235468973	0.0484251474547636	0.0461214473686854
