SNP	gene	p.value	FDR	q.value
RED1	PET10	4.31306258002019e-17	3.4475748809104105e-13	3.13072030020837e-13
YLR257W	PET10	8.847215734780909e-17	6.64596518627898e-13	6.03515770995153e-13
GSY2	PET10	9.35226888211166e-17	7.00777212303939e-13	6.363712233290239e-13
VPS63	PET10	2.02553531358217e-16	1.4488523418355601e-12	1.31569337730852e-12
NLR116W	PET10	2.47531135967949e-15	1.47313185264221e-11	1.33774144297415e-11
NEJ1	PET10	3.8178064032396e-15	2.21914889911071e-11	2.01519466512539e-11
YLR269C	PET10	4.39179330258299e-15	2.5161432770447302e-11	2.28489332582577e-11
BOP2	PET10	7.83453437752772e-15	4.3310629879962204e-11	3.9330100973529104e-11
YLR271W	PET10	1.45377377909208e-14	7.72979910465432e-11	7.01938023376107e-11
MCP2	PET10	2.94760341653642e-14	1.49579751434514e-10	1.3583239827774e-10
MCM5	PET10	5.1238104357756207e-14	2.50418685270708e-10	2.2740357747399098e-10
PIG1	PET10	7.28540812343866e-14	3.49781791763305e-10	3.17634567469484e-10
YSH1	PET10	1.00247109692434e-13	4.69992284618927e-10	4.26796933271896e-10
YIM1	PAH1	1.8076494684785102e-13	8.058384230325501e-10	7.317766246775999e-10
ATG16	PAH1	1.8076494684785102e-13	8.058384230325501e-10	7.317766246775999e-10
MRPS8	PAH1	2.2615653802920497e-13	9.90490692228688e-10	8.99458147957303e-10
YLR252W	PET10	4.26290642736645e-13	1.7748296676625798e-09	1.61171126426586e-09
RIM13	PAH1	8.6465398591918e-13	3.39677786501052e-09	3.08459186083832e-09
YIM2	PAH1	1.9109088806531697e-12	7.027410838349309e-09	6.3815460227842e-09
NLR118C	PET10	6.84117694207951e-12	2.27709018020786e-08	2.06781076520065e-08
MEC3	PET10	6.8774884418828604e-12	2.2875317468873195e-08	2.07729268391121e-08
NNT1	PET10	1.28315761545155e-11	4.05611067888686e-08	3.6833276958236096e-08
CTS1	PET10	1.28315761545155e-11	4.05611067888686e-08	3.6833276958236096e-08
YLR281C	PET10	1.67093997445033e-11	5.16998931452916e-08	4.694833631744821e-08
YLR282C	PET10	1.67093997445033e-11	5.16998931452916e-08	4.694833631744821e-08
