SNP	gene	p_value	FDR	q_value
YLR162W	ASP3-3	1.65085748376137E-52	9.88369531128174E-46	8.97531935374025E-46
YLR162W	ASP3-1	5.17567315339444E-52	1.09543216151737E-45	9.94754812883987E-46
LEU2	LEU2	5.48904733960076E-52	1.09543216151737E-45	9.94754812883987E-46
YCL022C	LEU2	1.03876400405857E-49	1.55477184091167E-43	1.41187818471665E-43
URA3	URA3	9.76734141910461E-49	1.16954282895139E-42	1.06205422740356E-42
NEL011C	URA3	1.40267767274877E-48	1.39964017424844E-42	1.27100412837142E-42
RPR1	URA3	9.21041783783475E-47	7.87754800972021E-41	7.15355005237318E-41
HO	BRE4	4.53263585552321E-46	3.39211532443356E-40	3.08035783810087E-40
HO	HO	1.50738119212822E-45	1.00274463877111E-39	9.10585877019971E-40
YCR041W	YLR040C	2.00120550069714E-45	1.19812313411123E-39	1.08800781641638E-39
gCL01	LEU2	1.11124277286534E-44	6.0481984180402E-39	5.49232960011772E-39
NBR034W	DSE1	2.27090674916692E-44	1.04584112335458E-38	9.49721514044182E-39
NBR035W	DSE1	2.27090674916692E-44	1.04584112335458E-38	9.49721514044182E-39
NLR032W	ASP3-3	4.25274758193059E-43	1.81865925301796E-37	1.6515126253274E-37
YCR041W	MATALPHA1	5.86019288489966E-43	2.33900105488296E-37	2.12403162735573E-37
NDL038W	BRE4	6.27711396560892E-43	2.34882032824365E-37	2.13294844555562E-37
NLR032W	ASP3-1	7.66884140876812E-43	2.70078865859909E-37	2.45256859448282E-37
GPI14	YJR015W	1.07063553376925E-42	3.56105690840291E-37	3.23377259042745E-37
YLR169W	ASP3-3	2.38225412326294E-42	7.50661690092322E-37	6.81670992782078E-37
gEL02	URA3	7.71035529501173E-42	2.30809755618612E-36	2.09596836141961E-36
NBR031C	DSE1	1.89963530153298E-41	5.41577611796431E-36	4.91803102748479E-36
DPH5	ASP3-3	2.3327614233443E-41	6.34829953222376E-36	5.76484946777657E-36
IDP2	ASP3-3	2.78797752534454E-41	7.25723520003496E-36	6.59024802911211E-36
YCR041W	STE3	9.22357925962587E-41	2.30090139968479E-35	2.08943357855908E-35
IDP2	ASP3-1	1.19116955354554E-40	2.8526161821056E-35	2.59044217994261E-35
NDL038W	HO	1.31426033214428E-40	3.02634069552696E-35	2.74820027936015E-35
YLR169W	ASP3-1	3.70187465397227E-40	8.20857387646466E-35	7.45415248646366E-35
YCR041W	BAR1	5.1608695400466E-40	1.10350578794092E-34	1.00208642046718E-34
BUD3	LEU2	1.68830938040133E-39	3.48548968228566E-34	3.16515048445212E-34
DPH5	ASP3-1	2.6242071630592E-39	5.23704888489519E-34	4.7557299909307E-34
ENA5	ENA5	4.65799995136584E-39	8.99596074671837E-34	8.1691733762115E-34
YCR041W	YCR097W-A	2.84463290001495E-38	5.32213658900619E-33	4.83299758097884E-33
RPB5	DSE1	6.013851092403E-38	1.0910596541568E-32	9.90784167421767E-33
RFX1	ASP3-3	1.00647892532741E-37	1.77229305037873E-32	1.60940777862777E-32
YCR041W	YCL065W	2.81166432190944E-37	4.8095582791206E-32	4.36752855546442E-32
RFX1	ASP3-1	3.40031525444218E-37	5.65491978626448E-32	5.13519583546596E-32
YDL228C	HO	7.69528263900865E-37	1.24518137910063E-31	1.13074110226791E-31
ENA5	ENA1	2.35172539885811E-36	3.70520958553719E-31	3.36467669787195E-31
YCL023C	LEU2	3.23980778907645E-35	4.97352613124493E-30	4.51642669428938E-30
SLI15	DSE1	5.30129890640882E-35	7.93472841544049E-30	7.2054752064732E-30
YDL228C	BRE4	1.63945056309284E-34	2.39400048716849E-29	2.17397625368122E-29
COX17	YLL007C	3.19289512466877E-34	4.55140130039472E-29	4.13309788409228E-29
ILV6	LEU2	4.86759246438201E-33	6.77728143195403E-28	6.15440513757332E-28
CSH1	DSE1	8.36470313155317E-33	1.13817127730752E-27	1.03356592563401E-27
RTC2	DSE1	1.1883692438723E-32	1.58106110703292E-27	1.4357512960968E-27
YCR041W	SAG1	2.28770800136028E-32	2.97750517784783E-27	2.70385306375191E-27
ILV3	YJR015W	4.13991694244178E-32	5.27355568379096E-27	4.78888157729116E-27
YCR041W	MATALPHA2	4.33402708762904E-32	5.40580218996347E-27	4.90897376841322E-27
TFC8	ICL2	5.17171946169721E-32	6.31900420800355E-27	5.73824657461093E-27
gPL11	ICL2	8.21128495456545E-32	9.83220410039561E-27	8.92856052042352E-27
HAT1	ICL2	2.08706731087705E-31	2.45005619601806E-26	2.2248800778765E-26
