SNP	gene	p.value	FDR	q.value
gCL01	SEC21	1.53588538405561e-07	0.000288808656172554	0.0002750693376355
LEU2	SEC21	7.26809213089573e-07	0.0009233616319830891	0.0008794351106840519
YCL022C	SEC21	8.8879844588845e-07	0.00107990038688101	0.0010285269426073
IRA2	SEC26	1.86156802628027e-06	0.0019015465063608602	0.00181108539099766
IRA2	PIR1	3.3806534489955502e-06	0.00301528944703756	0.0028718449161731
gOL02	SEC26	3.72191508523341e-06	0.0032552096470352602	0.0031003515384237603
REX4	SEC26	3.72191508523341e-06	0.0032552096470352602	0.0031003515384237603
ILV6	SEC21	5.2630331238126e-06	0.00422062906389756	0.00401984364456791
gOL02	PIR1	5.37723672252025e-06	0.00428316263000939	0.00407940233937411
REX4	PIR1	5.37723672252025e-06	0.00428316263000939	0.00407940233937411
AGP1	SEC21	5.8830198423009805e-06	0.00457809053728065	0.0043602998206977205
BUD3	SEC21	6.42572950719082e-06	0.0049115238735381395	0.0046778709356547
YCL023C	SEC21	7.405916816641589e-06	0.00549855316874745	0.00523697384325378
NBR031C	SEC27	2.18080335263009e-05	0.012415241952498001	0.0118246191984554
NOL019C	PIR1	2.31430617970607e-05	0.0129464042864081	0.012330512869725002
NOL020W	PIR1	2.31430617970607e-05	0.0129464042864081	0.012330512869725002
GTR1	PIR1	2.99976870920357e-05	0.0155561443265246	0.0148161013342439
NGL3	PIR1	3.37079158307618e-05	0.0169100305104502	0.0161055799142203
gOL02	CHC1	3.47036099190094e-05	0.0172405702167136	0.0164203950560829
REX4	CHC1	3.47036099190094e-05	0.0172405702167136	0.0164203950560829
NML011W	VAM6	3.636126139259171e-05	0.0178297699710854	0.0169815651689108
IRA2	CHC1	3.68632098500262e-05	0.0180058933869387	0.0171493099726259
NBR034W	SEC27	3.69400416684157e-05	0.0180248061509372	0.0171673230112061
NBR035W	SEC27	3.69400416684157e-05	0.0180248061509372	0.0171673230112061
NBR034W	SEC24	4.10308672521614e-05	0.0194295586568769	0.0185052480805979
NBR035W	SEC24	4.10308672521614e-05	0.0194295586568769	0.0185052480805979
NDI1	PIR1	4.17300704098839e-05	0.0196377662909247	0.018703550779509998
NBR031C	SEC24	5.1285854368442104e-05	0.0226977035279678	0.021617919483531
RPB5	SEC27	6.227247947893311e-05	0.026057375651692003	0.0248177639687777
YML108W	PIR1	6.37366718839736e-05	0.026511722730862004	0.0252504966706994
gCL01	SEC23	6.591424466399781e-05	0.0271279204608143	0.0258373804008366
MDY2	PIR1	6.860309050789029e-05	0.0277951836218322	0.0264729002573471
RTC2	SEC27	6.891154489286011e-05	0.0278855615008771	0.0265589786445231
URA5	PIR1	6.955616513539471e-05	0.0280900678911019	0.0267537561766332
ARO4	SEC24	7.30217061123199e-05	0.0290944591485303	0.0277103661396762
YCL026C	SEC21	7.36545851047754e-05	0.0292868556646297	0.0278936098933372
NML011W	PIR1	8.377460956997559e-05	0.0321530826678883	0.0306234836227045
STE50	SEC21	8.99934214452741e-05	0.033870028811327	0.0322587505315652
NML013W	PIR1	9.25435631884287e-05	0.0345240414442247	0.0328816502192703
RPB5	SEC24	9.8546604655195e-05	0.036115421528162	0.0343973245464049
SLI15	SEC24	0.000102681809570853	0.0372056454582036	0.0354356839165331
YOL099C	PIR1	0.000111865247632109	0.0394637915499021	0.0375864045976908
SLI15	SEC27	0.00011262418453757901	0.039597508968102005	0.0377137607584863
NML013W	VAM6	0.000124191671549429	0.0422102645490349	0.0402022213073321
RFC4	PIR1	0.000129917513367001	0.0435538621327009	0.0414819007403714
MPD2	SEC26	0.00013640547901722802	0.0448366994746291	0.0427037104416964
MPD2	PIR1	0.00013678306859103	0.044916249959669995	0.0427794765198976
YML108W	VAM6	0.000138742614751631	0.0453785498852935	0.0432197837323456
YCL023C	SEC23	0.000139053010364963	0.0454344112542865	0.0432729876424083
SLI15	SEC21	0.000139057509099833	0.0454344112542865	0.0432729876424083
YCL022C	SEC23	0.000145727174006348	0.0469247205364274	0.0446923993475257
gML01	PIR1	0.000149768649634557	0.0478675937869766	0.0455904178624135
URA5	VAM6	0.000150891116519969	0.0481368870442379	0.0458469001953402
TRM10	SEC26	0.00015347089967388601	0.0485992809321672	0.0462872969000823
YOL106W	PIR1	0.000160361553433555	0.0501848894993641	0.047797474275332
CAB1	SEC21	0.000163322237957695	0.0508422906150966	0.048423601247639
