SNP	gene	p.value	FDR	q.value
REX4	HSP12	1.10557274240996e-14	5.973891469149461e-11	5.42485194368543e-11
gOL02	HSP12	8.16133498071248e-14	3.88101426996588e-10	3.52432378703606e-10
IRA2	HSP12	1.03679759217589e-12	4.01248509498395e-09	3.6437115871526895e-09
TRM10	HSP12	8.94173808088727e-10	1.91057275097925e-06	1.7349786743243e-06
MPD2	HSP12	1.11234408732009e-09	2.32772171869765e-06	2.1137889356121102e-06
REX4	TFS1	1.7487529952448998e-09	3.50629485057006e-06	3.18404352229674e-06
YPQ1	HSP12	2.45555568249248e-09	4.7747414939825504e-06	4.33591165959271e-06
REX4	PIL1	3.2381878651501096e-09	6.09847543754916e-06	5.53798583415117e-06
HAL9	HSP12	4.164342768868771e-09	7.65253201584307e-06	6.94921449354212e-06
NNL035W	MDM34	5.5158662624674e-09	9.82258474849975e-06	8.91982524960404e-06
gOL02	TFS1	5.747513590643001e-09	1.01986971250073e-05	9.261370449626199e-06
YOL073C	HSP12	6.8729831875050706e-09	1.19202197145061e-05	1.08246739033246e-05
gOL02	PIL1	8.83781897021241e-09	1.4904812405463199e-05	1.3534963091580198e-05
MDY2	HSP12	1.1094002380106699e-08	1.8167360478040302e-05	1.64976617519572e-05
IRA2	PIL1	1.18670099528041e-08	1.92907606995677e-05	1.75178141780201e-05
NOL019C	HSP12	1.29159192804195e-08	2.0742408568483603e-05	1.88360461552669e-05
NOL020W	HSP12	1.29159192804195e-08	2.0742408568483603e-05	1.88360461552669e-05
YOL106W	HSP12	1.58517545507599e-08	2.49355137828906e-05	2.2643777696745998e-05
IRA2	TFS1	1.86300940473733e-08	2.8791560008333098e-05	2.61454281651318e-05
REX4	LSP1	2.0870510454553602e-08	3.18429898534622e-05	2.8916411737875703e-05
YOL099C	HSP12	2.21807845770462e-08	3.35514180212904e-05	3.04678242325205e-05
RFC4	HSP12	3.24627970740653e-08	4.6742422636365704e-05	4.2446489629239205e-05
MLF3	RVS167	3.4228814751788905e-08	4.89907132490231e-05	4.4488147694677796e-05
NDJ1	HSP12	4.3707685570800097e-08	6.061575618859829e-05	5.50447734907538e-05
gOL02	LSP1	6.51152880538361e-08	8.581238947508979e-05	7.79256721084203e-05
IRA2	LSP1	1.03973735632714e-07	0.00012890691303566102	0.000117059528340503
REX4	TCB1	1.22097005936844e-07	0.000148244905541052	0.000134620233413838
MDY2	PIL1	2.7159831408327604e-07	0.000296733645459438	0.00026946189123798703
gOL02	TCB1	3.18527052451113e-07	0.000340722475024867	0.000309407860929739
SKM1	HSP12	3.60853662847428e-07	0.000377632128201921	0.000342925276639805
HRP1	HSP12	3.6843705619179997e-07	0.000384559838647088	0.00034921628538474704
YOL106W	PIL1	3.90635115098424e-07	0.000403830734002377	0.000366716059972982
NOL019C	PIL1	4.43373025203685e-07	0.000450598778731224	0.000409185816857563
NOL020W	PIL1	4.43373025203685e-07	0.000450598778731224	0.000409185816857563
TRM10	PIL1	4.7386101892140797e-07	0.000476648057343684	0.000432840997143676
ENT2	ENT2	5.30082804729926e-07	0.00052395731591509	0.00047580222679453096
RAD51	TCB2	5.532317501409311e-07	0.000541917925509817	0.000492112139415626
MPD2	PIL1	5.693135487196511e-07	0.000555851957172112	0.000504765542835647
NDJ1	PIL1	5.983764717462611e-07	0.000579971527437294	0.000526668367537041
IRA2	TCB1	6.44461731142968e-07	0.000618223661377815	0.000561404881286745
SFI1	MMM1	6.48753136641296e-07	0.000621103246087435	0.000564019813410915
HAL9	PIL1	6.5540138099124e-07	0.000625705171963965	0.000568198792333601
YPQ1	PIL1	6.812026906579021e-07	0.000645106813886064	0.00058581729702779
SKM1	PIL1	7.18407005139532e-07	0.000675620095086197	0.000613526208996078
HRP1	PIL1	7.497899431996941e-07	0.000699329745827414	0.00063505678844698
YOL118C	HSP12	9.99551431323357e-07	0.000889665698423297	0.0008078996276122519
SLX8	TCB2	1.01627356180348e-06	0.0009028694062075	0.000819889828674142
SUN4	MDM34	1.23537739986666e-06	0.0010624502408278099	0.0009648041454700789
NER037W	TCB2	1.35330563502903e-06	0.00114941840119992	0.0010437793656042
SAK1	TCB2	1.36724487916634e-06	0.00116010553603785	0.0010534842831604301
YOL099C	PIL1	1.36858465465745e-06	0.00116107778199331	0.0010543671733817199
YOL118C	PIL1	1.393544160932e-06	0.0011785787040979	0.0010702596467863199
COX17	MMM1	1.6898772703834601e-06	0.00138409712486136	0.00125688958643277
NNL035W	RVS167	1.75533668320817e-06	0.0014276259938633801	0.00129641786893196
MPD2	LSP1	2.3452609505978297e-06	0.00179760513737753	0.00163239352000979
HRP1	ENT1	2.51733620339834e-06	0.00190318341597415	0.00172826846732238
RFC4	PIL1	2.76073183441239e-06	0.00205093942396697	0.00186244473605617
YOL118C	ENT1	2.9797836911697997e-06	0.00217666981668124	0.00197661968697697
RIB4	ENT1	3.16817028800619e-06	0.00228611036416597	0.0020760019355173897
TRM10	LSP1	3.20956257510239e-06	0.0023101314744020302	0.00209781534930746
