SNP	gene	p.value	FDR	q.value
YLR257W	ERG2	7.90959512974613e-18	6.505721090167489e-13	6.196228377741179e-13
RED1	ERG2	2.91573945354287e-17	2.20636686929887e-12	2.1014047202115203e-12
GSY2	ERG2	5.17752885037439e-17	3.6276701058738197e-12	3.4550931623968498e-12
VPS63	ERG2	1.13372719411064e-16	7.395705155807822e-12	7.04387377274475e-12
YLR271W	ERG2	1.4526968477625699e-15	7.576181260864309e-11	7.21576419782697e-11
NLR116W	ERG2	1.51485532748259e-15	7.576181260864309e-11	7.21576419782697e-11
PIG1	ERG2	8.07915801430062e-15	3.3225941291712e-10	3.16453037957654e-10
BOP2	ERG2	1.21468768475644e-14	4.689619113172959e-10	4.4665227154844895e-10
NEJ1	ERG2	1.58279445514936e-14	5.649599650568431e-10	5.380834682666599e-10
URA3	URA2	4.475000706658901e-14	1.3437596050536901e-09	1.27983374668181e-09
YSH1	ERG2	6.615416417905741e-14	1.80219748184614e-09	1.7164626371988003e-09
gEL02	URA2	7.19888417018851e-14	1.88446695511005e-09	1.7948183548501604e-09
RPR1	URA2	7.271807332224e-14	1.88446695511005e-09	1.7948183548501604e-09
YLR269C	ERG2	7.92405488443523e-14	1.9987350774523603e-09	1.9036504693099498e-09
NEL011C	URA2	1.1328822009510302e-13	2.80886427210792e-09	2.67523988053573e-09
MCM5	ERG2	1.4493653640022304e-13	3.3850250157464197e-09	3.2239912795572496e-09
NNT1	ERG2	1.92699453123768e-13	4.2887485004036605e-09	4.08472247655361e-09
MCP2	ERG2	1.27117655297254e-12	2.10945393083027e-08	2.00910216201902e-08
YLR252W	ERG2	1.64551180577556e-12	2.61591160113231e-08	2.4914664296161897e-08
YLR281C	ERG2	1.75710230346924e-12	2.70208881439991e-08	2.57354398673287e-08
YLR282C	ERG2	1.75710230346924e-12	2.70208881439991e-08	2.57354398673287e-08
NLR118C	ERG2	6.46203100229224e-12	8.259929577905e-08	7.86698497205957e-08
CTS1	ERG2	6.65274911883179e-12	8.446638361597161e-08	8.04481157234765e-08
MEC3	ERG2	1.45082806365538e-11	1.60505108682195e-07	1.5286949677140902e-07
gCL01	MPS3	2.34750391656238e-11	2.34970609880792e-07	2.23792495973883e-07
NLR121W	ERG2	4.0880839943985706e-11	3.7181379434304706e-07	3.54125722854297e-07
gLR07	ERG2	8.7026213591489e-11	6.9465755765659e-07	6.61611036180054e-07
YLR257W	YPR010C-A	1.0099258683626799e-10	7.862347694527009e-07	7.48831700979702e-07
RED1	YPR010C-A	1.3748857926639902e-10	1.0362437532451499e-06	9.869471594499821e-07
YEL028W	URA2	1.53871864307278e-10	1.11103297082508e-06	1.05817847507128e-06
gCL01	TCB3	1.91915038230317e-10	1.32021704588393e-06	1.25741116336007e-06
GSY2	YPR010C-A	2.61304203660677e-10	1.7223980392744598e-06	1.6404594449719e-06
LEU2	MPS3	3.04319032215286e-10	1.97835920457391e-06	1.88424392543867e-06
LEU2	TCB3	3.38238781984017e-10	2.1617263355076e-06	2.05888784338245e-06
VPS63	YPR010C-A	5.90058979985693e-10	3.47743815185194e-06	3.31200810174758e-06
MCM5	YPR010C-A	1.02147092647525e-09	5.56885048700538e-06	5.30392694994739e-06
YCL022C	TCB3	1.10280919462981e-09	5.97783569785792e-06	5.69345575612249e-06
PIG1	YPR010C-A	1.2792384359655801e-09	6.75453321438665e-06	6.4332039141107005e-06
YCL022C	MPS3	1.4012194012476699e-09	7.24259297911615e-06	6.8980455085069e-06
YLR269C	YPR010C-A	1.4113171699914598e-09	7.27490930960833e-06	6.928824473864439e-06
YSH1	YPR010C-A	1.41772718618126e-09	7.28809242441215e-06	6.941380436366141e-06
BUD3	MPS3	1.4869428595904901e-09	7.5617160062260195e-06	7.20198708994933e-06
YLR271W	YPR010C-A	1.79458155556718e-09	8.887279929633479e-06	8.46449076708065e-06
ILV6	MPS3	1.9175964762063803e-09	9.30168522713427e-06	8.85918181341855e-06
NLR116W	YPR010C-A	2.4585589529479802e-09	1.1207639278691301e-05	1.06744650721455e-05
YLR294C	ERG2	3.4192766188920603e-09	1.4535944240789401e-05	1.38444346066677e-05
SEC72	ERG2	3.78104138823062e-09	1.57552246919322e-05	1.5005710970515198e-05
gCL01	FSF1	4.22453483789925e-09	1.72238382411577e-05	1.64044590606231e-05
MCP2	YPR010C-A	4.57770646442627e-09	1.82660370680597e-05	1.73970779966329e-05
YCL022C	FSF1	4.58597447061611e-09	1.82660370680597e-05	1.73970779966329e-05
gCL01	CWH41	4.66451287998907e-09	1.85382342952007e-05	1.76563261506466e-05
LEU2	FSF1	6.42029242780478e-09	2.39560865227328e-05	2.28164381894765e-05
YLR252W	YPR010C-A	6.847679912673271e-09	2.51538950901702e-05	2.39572641384822e-05
BUD3	TCB3	9.26310000725449e-09	3.23912800185284e-05	3.085034935566211e-05
ILV6	TCB3	1.03298051403963e-08	3.5273730071954706e-05	3.3595674365899e-05
BOP2	YPR010C-A	1.0460613136184001e-08	3.5528017045741794e-05	3.38378643001479e-05
BUD3	FSF1	1.09579654192551e-08	3.6962972357797296e-05	3.52045553559307e-05
CYC7	URA2	1.2804218711138101e-08	4.18717373445706e-05	3.98797986516625e-05
LEU2	CWH41	1.34143892827531e-08	4.3305425693859604e-05	4.12452830171276e-05
ILV6	CWH41	1.40523496861119e-08	4.49051616938258e-05	4.276891574938039e-05
SPO7	POM152	1.45240499757097e-08	4.62562383749128e-05	4.40557184812878e-05
MDM10	POM152	1.6935825539847202e-08	5.22665345205009e-05	4.97800904640041e-05
NAL001C	POM152	1.6935825539847202e-08	5.22665345205009e-05	4.97800904640041e-05
NML013W	AVT5	1.70347786640192e-08	5.23998932318173e-05	4.99071049824601e-05
YLR269C	HMG1	1.73951562723636e-08	5.2947232507528794e-05	5.0428406019718395e-05
gLR07	YPR010C-A	1.80803560486731e-08	5.44648557376855e-05	5.18738322830156e-05
NAL002C	POM152	1.8545311454480903e-08	5.54242013999648e-05	5.278753957760929e-05
YAL004W	POM152	1.88986643252856e-08	5.63023352860449e-05	5.36238985344372e-05
RED1	CYT1	1.89872979496672e-08	5.63887874476228e-05	5.37062379599155e-05
YLR257W	CYT1	2.41633442699653e-08	6.87391913979324e-05	6.5469103655024e-05
ATP14	ERG2	2.4928724501866603e-08	7.049250812715949e-05	6.71390109139171e-05
URA5	AVT5	2.810651697216e-08	7.80038251995063e-05	7.42929966678144e-05
GSY2	CYT1	2.89703288120377e-08	7.98910872415963e-05	7.609047714067159e-05
YCL022C	CWH41	3.01620872886141e-08	8.23374059974652e-05	7.84204186623001e-05
NEJ1	YPR010C-A	3.14217545283856e-08	8.55292472365864e-05	8.14604163795369e-05
YCL023C	TCB3	3.4229163430491205e-08	9.13311808045001e-05	8.69863380907534e-05
NML011W	AVT5	3.45774206100807e-08	9.20146946997285e-05	8.76373355951799e-05
YLR271W	HMG1	3.8577774680893996e-08	0.00010080164715662801	9.60062717073648e-05
YML108W	AVT5	4.02395978069861e-08	0.000103852912226624	9.891238080006679e-05
NLR116W	HMG1	4.69546935526774e-08	0.000116418901030445	0.000110880575461576
BOP2	HMG1	5.02879558607174e-08	0.000123421959210806	0.00011755048141461599
MCM5	HMG1	5.4757775733152905e-08	0.000130629611187937	0.000124415248148173
NBR034W	YCF1	5.59068277364797e-08	0.000131874098787436	0.00012560053249603998
NBR035W	YCF1	5.59068277364797e-08	0.000131874098787436	0.00012560053249603998
VPS63	CYT1	5.77561972540822e-08	0.000135057619960379	0.000128632605952546
NBR031C	YCF1	6.134159374820019e-08	0.000141001665649835	0.00013429387917178402
MEC3	YPR010C-A	6.34933234010958e-08	0.000143678175706293	0.000136843061243269
YCL023C	FSF1	6.428061764849969e-08	0.00014528594610604	0.000138374346159688
PIG1	HMG1	6.45159582789595e-08	0.000145470259763125	0.00013854989157527099
NML013W	CWH41	6.67127886065373e-08	0.000149355564781722	0.000142250363341389
AGP1	TAT1	6.81349433287998e-08	0.000151820784624209	0.000144598306779739
YSH1	HMG1	7.15854597569839e-08	0.000158020350012659	0.000150502944014746
ILV6	FSF1	7.16935545959988e-08	0.00015807451149036899	0.00015055452890141998
gCL01	GOS1	8.66018169350592e-08	0.00018325612866743602	0.00017453819632082
RPB5	YCF1	9.09353436667939e-08	0.000190931218528925	0.000181848163800574
YCL023C	MPS3	9.23342232747045e-08	0.000193011481289566	0.00018382946348618898
BUD3	CWH41	1.22910869225137e-07	0.00024424313425067796	0.00023262390418177798
YLR236C	YPR010C-A	1.29657591154111e-07	0.000253391250196679	0.00024133682237207003
AGP1	TCB3	1.42041597336825e-07	0.00027335753684504303	0.000260353265009871
RED1	HMG1	1.47339422461037e-07	0.00028126411831219303	0.000267883711485931
YLR257W	HMG1	1.4849875566941e-07	0.00028239965496053	0.00026896522793996803
LEU2	TAT1	1.50367382694239e-07	0.00028415179695062405	0.000270634016344877
YAR002C	POM152	1.55502669065468e-07	0.000290400543697914	0.000276585495263856
gCL01	TAT1	1.58793274401956e-07	0.000294799636011002	0.00028077531223400697
SLI15	YCF1	1.6096845560493698e-07	0.000298066314662253	0.000283886587168685
NML011W	CWH41	1.6225463225678802e-07	0.000299754816824532	0.000285494763244601
YEL043W	URA2	1.63552239845472e-07	0.00030126943663991	0.000286937328972744
RTC2	YCF1	1.69022278127912e-07	0.000307158292181436	0.000292546037571391
URA5	CWH41	1.6966902169909598e-07	0.000307742353007444	0.000293102313226968
YLR236C	ERG2	1.80232880424976e-07	0.00032379838262127004	0.00030839451910978904
BUD3	TAT1	1.86458775120904e-07	0.000332457753427708	0.000316641942935769
AGP1	RBD2	1.8969935593642603e-07	0.000335915649305055	0.00031993533843575
AGP1	CWH41	2.0941664367183102e-07	0.000361138333864166	0.000343958119563608
NLR118C	YPR010C-A	2.21905808216038e-07	0.000376498131413704	0.000358587214806661
AGP1	NEO1	2.63935320635117e-07	0.000427122081543078	0.00040680286254770297
YCL022C	TAT1	2.89423878414463e-07	0.00045589032368007	0.000434202530599315
AGP1	MPS3	2.91818174234298e-07	0.000457794057730745	0.000436015699467912
GSY2	HMG1	2.91878462132908e-07	0.000457794057730745	0.000436015699467912
CTS1	YPR010C-A	2.9208442433685697e-07	0.000457794057730745	0.000436015699467912
ILV6	TAT1	3.00549516344001e-07	0.000466999199762345	0.000444782930876517
YCL023C	TAT1	3.11890349814113e-07	0.000481653667541954	0.000458740250573782
YCL026C	NEO1	3.34099123238195e-07	0.0005068481962034401	0.00048273621524740594
MCM5	CYT1	3.4563274182319e-07	0.000521002939360225	0.000496217583417379
YLR271W	CYT1	3.5591848687883203e-07	0.000532266390259469	0.0005069452050178
YLR269C	CYT1	3.6129334470353e-07	0.000538177161094355	0.000512574786346885
PIG1	CYT1	3.64459994560836e-07	0.000541614750424459	0.000515848841330645
LEU2	GOS1	3.68873844331059e-07	0.000546029404625744	0.0005200534798727509
YML108W	CWH41	3.9801273496787503e-07	0.000577233529503796	0.000549773149897367
UBC12	ERG2	4.11988844068959e-07	0.000594046777066209	0.000565786551059872
NEJ1	HMG1	4.423094687944611e-07	0.0006267163294577519	0.0005969019347062009
LYS14	MRH1	4.81201157257654e-07	0.0006708351929762589	0.000638921958365105
gML01	CWH41	4.8270617759459e-07	0.000672011830636811	0.000640042620557901
gCL01	FKS1	4.86015881384134e-07	0.0006740701774000781	0.0006420030468425549
YLR235C	ERG2	4.94200751706137e-07	0.000683417864515625	0.000650906042124527
gAR03	POM152	5.00111619199407e-07	0.000689575552614956	0.000656770794273221
NNT1	YPR010C-A	5.12917072110878e-07	0.0007046642471012429	0.000671141683474158
gML01	AVT5	5.13616879465132e-07	0.000704932542151416	0.000671397215087096
gCL01	RBD2	5.13857622255315e-07	0.000704932542151416	0.000671397215087096
MEC3	CYT1	5.19685665743405e-07	0.000708815653165391	0.0006750955972226401
NLR116W	CYT1	5.535924461169639e-07	0.000746749868512207	0.0007112251912156151
YLR235C	YPR010C-A	5.602139853365829e-07	0.000751629568568897	0.000715872752269503
RTC2	NFT1	5.81379366076366e-07	0.000770734258935098	0.000734068586821023
BOP2	CYT1	5.875757269423629e-07	0.000776228977433613	0.000739301908418479
VPS63	HMG1	5.88286566177178e-07	0.000776625709809281	0.000739679767286144
MET17	ERG2	5.94054862782515e-07	0.000781334192634686	0.0007441642563219519
YCL026C	TAT1	6.00968323373459e-07	0.0007868834152705429	0.0007494494891645759
YSH1	CYT1	6.27075336584461e-07	0.0008147556254920299	0.0007759957516820019
gCL01	TGL3	6.93654595497959e-07	0.000888447552531456	0.000846181977498266
GSY2	ERG9	7.611668952287291e-07	0.0009567807181977	0.000911264371036777
SWC3	POM152	7.65100214299426e-07	0.000960448525352268	0.000914757691832463
YCL023C	RBD2	7.71691730938377e-07	0.000965519564095559	0.000919587489133995
YLR281C	CYT1	7.985195239255551e-07	0.000992521468682798	0.0009453048485377619
YLR282C	CYT1	7.985195239255551e-07	0.000992521468682798	0.0009453048485377619
LEU2	FKS1	8.077893373532841e-07	0.0010020682348149698	0.000954397452171392
YCL026C	TCM62	8.203487195200109e-07	0.0010149859765680401	0.000966700666053039
ILV6	GOS1	8.21434852598819e-07	0.0010150021393895699	0.00096671605997049
NLR121W	YPR010C-A	9.061582566175259e-07	0.00109606504066247	0.0010439226051463
LEU2	RBD2	9.19560577389563e-07	0.00110943869398596	0.0010566600417945301
GTR1	RAX1	9.32149710675701e-07	0.00112105254584495	0.00106772139494296
YCL026C	RBD2	9.76436055001277e-07	0.00116029859615448	0.00110510041677187
ILV6	MNT2	9.87805565857493e-07	0.00116940168882286	0.00111377045354954
AGP1	FSF1	1.0025654007872102e-06	0.00118243525931635	0.00112618398592139
NML011W	TCB3	1.1110478299441002e-06	0.0012753945912602099	0.0012147210201076599
YLR252W	CYT1	1.1407224997437e-06	0.0012984284148662099	0.00123665906963318
LEU2	TGL3	1.17256344243004e-06	0.00132827776118336	0.00126508841115335
YCL023C	NEO1	1.17901482661207e-06	0.00133319092384005	0.00126976784291132
YCL023C	CWH41	1.21493402260228e-06	0.0013640233713592801	0.00129913351715804
ILV6	FKS1	1.2236974467390499e-06	0.00137225754948278	0.00130697597573398
YCL022C	FKS1	1.22371895886951e-06	0.00137225754948278	0.00130697597573398
YLR281C	YPR010C-A	1.2518062978967899e-06	0.0013963050445702301	0.0013298794739641199
YLR282C	YPR010C-A	1.2518062978967899e-06	0.0013963050445702301	0.0013298794739641199
YLR281C	HMG1	1.30586381532184e-06	0.0014396258202231	0.0013711393767060001
YLR282C	HMG1	1.30586381532184e-06	0.0014396258202231	0.0013711393767060001
YLR232W	ERG2	1.3753649283563e-06	0.00149964163493452	0.00142830009556776
MCP2	CYT1	1.40207956477002e-06	0.0015200093206210199	0.0014476988417314
URA5	TCB3	1.45565046408025e-06	0.00156286052518984	0.0014885115120088
NML011W	TGL3	1.5269406933958999e-06	0.00162647813984665	0.00154910268457789
YLR232W	YPR010C-A	1.5338609256463199e-06	0.00163293004214559	0.00155524765445303
NLR116W	ERG9	1.67401517923362e-06	0.0017574121629657699	0.00167380786305361
MAK5	NFT1	1.6966046335993999e-06	0.0017723718892096397	0.00168805591933987
NEJ1	CYT1	1.79278687685223e-06	0.00185431700841081	0.0017661027132270398
gCL01	CBR1	1.7995803777819302e-06	0.0018582986988580899	0.00176989498513647
NML013W	TGL3	1.8080456244215198e-06	0.00186500103328723	0.00177627847348639
NNT1	CYT1	1.8288490919826e-06	0.0018782667390267102	0.00178891309787537
NLR118C	CYT1	1.8808923552939301e-06	0.0019109674401995	0.0018200581484809199
YCL022C	GOS1	1.88988150989786e-06	0.00191804013606438	0.00182679437928728
NML013W	GOS1	1.96026858426614e-06	0.00197780436291356	0.0018837154789231399
NML013W	TCB3	2.03341584949786e-06	0.00202576430585759	0.0019293938526723398
LEU2	CBR1	2.18737604058963e-06	0.0021462753809306898	0.00204417192766984
YCL026C	COX2	2.28108741776358e-06	0.0022189575924156397	0.00211339647251556
gCR02	MPS3	2.291943786846e-06	0.00222807675923588	0.00212208181875923
YLR271W	ERG9	2.41446953407048e-06	0.00232212926989177	0.00221166002653156
YCL022C	RBD2	2.44416456856427e-06	0.00234354005999317	0.00223205225413823
gML01	TCB3	2.4762963812310797e-06	0.0023707442479811	0.0022579622738375
NEJ1	ERG9	2.5171075944382005e-06	0.00240009888369613	0.00228592043932213
TAF13	AVT5	2.5867407284561002e-06	0.00245252612346344	0.00233585358989998
NLR121W	CYT1	2.58894416431384e-06	0.00245252612346344	0.00233585358989998
YCL022C	TGL3	2.5906972124914503e-06	0.00245295847736065	0.0023362653756882103
NGL3	CWH41	2.90085489225162e-06	0.0026835007149533102	0.00255584016763534
SEC72	YPR010C-A	2.9381355684173803e-06	0.00271106461184033	0.00258209278402103
YBR144C	YCF1	2.93979236871572e-06	0.00271106461184033	0.00258209278402103
CTS1	CYT1	2.94870378738336e-06	0.0027158121762266697	0.00258661449541445
MCP2	HMG1	3.04278708142956e-06	0.00278618705004707	0.00265364146816693
MAK5	YCF1	3.16238204859304e-06	0.00287344331182181	0.00273674674087242
URA5	TGL3	3.17757731664562e-06	0.0028830959103322	0.00274594014218491
SLI15	NFT1	3.21042270311402e-06	0.0029031505680392603	0.00276504075185878
BUD3	GOS1	3.29796087098322e-06	0.00295728259090422	0.00281659758492489
NDI1	RAX1	3.67238674740017e-06	0.00322232008083927	0.00306902660755589
YML108W	TCB3	3.821962867796209e-06	0.00332579860179367	0.00316758240777201
RPB5	NFT1	3.86537731744079e-06	0.00334664368144024	0.00318743583712322
YML108W	TGL3	3.94180272661793e-06	0.00338800362087332	0.00322682818531415
gCL01	NEO1	4.43430831397556e-06	0.00370689559967057	0.0035305497099647897
YCL022C	CBR1	4.60034042731963e-06	0.0038203686616381603	0.0036386245869735
gBR08	NFT1	4.63074653798793e-06	0.0038422461712320295	0.00365946133111009
YLR269C	ERG9	4.95768068550506e-06	0.00404258899287067	0.0038502733655500897
AGP1	COX2	4.96557464460426e-06	0.004047281362407129	0.00385474250784464
YCL026C	MPS3	4.99923312182508e-06	0.00406590580088193	0.00387248093723589
BOP2	ERG9	5.10933591717955e-06	0.00412711517337768	0.003930778433483471
gCL01	AVT5	5.11430059418665e-06	0.00412936226118918	0.003932918621953279
EXO5	YCF1	5.184579084938901e-06	0.00417008789509019	0.00397170684004339
UBS1	YCF1	5.184579084938901e-06	0.00417008789509019	0.00397170684004339
MEC3	HMG1	5.40997270870712e-06	0.00430253613437242	0.004097854199797689
BUD3	FKS1	5.42977181892584e-06	0.00431048918304859	0.00410542890292649
YCL023C	CBR1	5.46555192545403e-06	0.00433343820732269	0.00412728618722716
NML011W	GOS1	5.64424854039872e-06	0.004428717127339571	0.00421803246113389
NBR034W	LEU5	5.78483501294814e-06	0.00451096236065538	0.00429636509198945
NBR035W	LEU5	5.78483501294814e-06	0.00451096236065538	0.00429636509198945
ILV6	RBD2	6.175677808999201e-06	0.0047627315677798	0.00453615703575776
CSH1	YCF1	6.39314286444486e-06	0.004894526530189979	0.00466168219658329
NBR031C	LEU5	6.42504520122823e-06	0.0049115238735381395	0.0046778709356547
YLR257W	ERG9	6.43766483992973e-06	0.00491865934056074	0.0046846669514446606
RTC2	LEU5	6.56096766214767e-06	0.00498869030431033	0.00475136637475095
URA5	GOS1	6.6187109684708e-06	0.00501646582730646	0.0047778205496855795
NBR034W	NFT1	7.1203775922304595e-06	0.00531995974675616	0.005066876537500421
NBR035W	NFT1	7.1203775922304595e-06	0.00531995974675616	0.005066876537500421
YCL023C	COX2	7.1886034815935595e-06	0.00536669533314313	0.00511138880026234
LEU2	YNL095C	7.3916159036043795e-06	0.00549009006392202	0.00522891334856666
AGP1	TGL3	7.45260032311248e-06	0.005526706417505079	0.00526378777463201
gBR08	YCF1	7.5701564374872805e-06	0.00559852132690173	0.00533218627702415
NDI1	CWH41	7.699745138868629e-06	0.00568018221829111	0.00540996236449634
UFO1	TCM62	7.782624984160361e-06	0.00573323980302181	0.00546049587302003
LEU2	NEO1	7.86276600381563e-06	0.0057810215434653395	0.0055060045217878795
gBR07	NFT1	7.918973959149e-06	0.00580205310752176	0.00552603556403955
YCL026C	TCB3	8.07641149617518e-06	0.00589002976305081	0.00560982695964545
NCR015C	MPS3	8.11618066996458e-06	0.005912195400293	0.00563093812450899
RED1	ERG9	8.13205407172151e-06	0.00592147818607499	0.00563977930596908
PIG1	ERG9	8.21127817609443e-06	0.00595395720545216	0.00567071322071224
ILV6	CBR1	8.30489738230898e-06	0.00599655749451252	0.00571128691213205
VPS63	ERG9	8.36154740257493e-06	0.0060282582371994605	0.0057414795746685895
gCL01	YNL095C	8.4107497402648e-06	0.00604825956736723	0.00576052939372176
