SNP	gene	p.value	FDR	q.value
NLR076W	SMC2	2.38089429436219e-12	3.5465445212035e-08	3.37782691582277e-08
SAM1	SMC2	4.5735861230968605e-11	4.0430779162847296e-07	3.85073902970795e-07
VTA1	SMC2	4.9682760527191796e-11	4.371558368874761e-07	4.16359288151966e-07
NML013W	CDC7	5.49226720168594e-09	2.0821889380631302e-05	1.9831342301693104e-05
gCL01	CDC7	1.12421207997285e-08	3.76416647640084e-05	3.58509607411044e-05
NML011W	CDC7	1.16354603105571e-08	3.8684797290129206e-05	3.6844468958027896e-05
URA5	CDC7	2.62496689058635e-08	7.378664917541171e-05	7.027644179368721e-05
LEU2	CDC7	3.62138067275873e-08	9.59500025132606e-05	9.138543140368409e-05
YCL023C	CIN8	5.41528923380329e-08	0.00013000631928553	0.000123821607732332
YML108W	CDC7	6.45083602204369e-08	0.000145470259763125	0.00013854989157527099
AGP1	CIN8	7.49561949736107e-08	0.000163552601884443	0.000155772013433134
gML01	CDC7	8.324718931522348e-08	0.000177547672009502	0.000169101304599401
YCL022C	CDC7	1.02243429255599e-07	0.000209784554114048	0.000199804601119133
ILV6	CDC7	1.26295430010613e-07	0.00024784469348285	0.000236054128627187
YCL023C	CDC7	3.6867922320274e-07	0.000546029404625744	0.0005200534798727509
BUD3	CDC7	5.110885775858611e-07	0.000702662479422483	0.000669235144671638
NGL3	CDC7	7.272589426188041e-07	0.0009233616319830891	0.0008794351106840519
RFX1	SMC2	9.009502650553791e-07	0.0010918599524501	0.00103991756303778
gCL01	CIN8	9.65167869817915e-07	0.00114907395631784	0.00109440975989898
LEU2	CIN8	9.86256797845139e-07	0.00116916443654008	0.00111354448792531
YCL022C	CIN8	1.3227587938860202e-06	0.00145486009987566	0.00138564892523864
NDI1	CDC7	1.32804164048732e-06	0.00145728150716335	0.00138795514039021
AGP1	CDC7	1.6517792227174801e-06	0.00173696016425676	0.00165432881483959
ILV6	CDC34	1.8244098161640098e-06	0.00187738621500209	0.00178807446248462
gCL01	CDC34	1.8714526244706798e-06	0.0019044451564027899	0.0018138461453242
YCL023C	SMC3	2.0201993103585096e-06	0.00201875759455543	0.00192272046738525
AGP1	SMC3	2.0733761770466e-06	0.00205789982716683	0.00196000061037223
NML013W	CDC34	2.4407534555076e-06	0.0023426440825905603	0.00223119890052362
LEU2	CDC34	3.56865941540059e-06	0.00314883093668406	0.00299903351775703
NML011W	CDC34	4.072710248507711e-06	0.00347368948825527	0.00330843777104413
VTA1	KIP2	4.88467032720713e-06	0.00399683712755692	0.0038066980258971103
YCL026C	KIP2	5.2769507836600796e-06	0.00422999704019363	0.004028765963825571
BUD3	CDC34	5.52656022952822e-06	0.00437094700047269	0.0041630105973747295
YCL026C	CIN8	5.61189209572645e-06	0.0044161505597374	0.00420606371520885
URA5	CDC34	5.74352694880034e-06	0.0044861474841093605	0.00427273071847212
YML108W	CDC34	7.0090444121560505e-06	0.00525962751872975	0.005009414457861829
YCL022C	CDC34	7.28789675050612e-06	0.00543010882213281	0.00517178555791051
YCL023C	SMC2	8.016268810292611e-06	0.00585781977238382	0.005579149275273271
GTR1	CDC7	8.259613833356379e-06	0.00597754951812169	0.005693183190640771
SAM1	KIP2	8.420781713447031e-06	0.00604825956736723	0.00576052939372176
gCL01	SMC3	8.43410543550236e-06	0.0060511059740445605	0.00576324039002551
YCL022C	SMC3	1.2292235435708501e-05	0.00803528649167818	0.007653028694738391
HMX1	SMC2	1.2429176493106199e-05	0.00810799327651483	0.0077222766439227096
NLR076W	KIP2	1.36419241464345e-05	0.008719496561715641	0.008304689255273341
LEU2	SMC3	1.38024603962751e-05	0.00880057545411828	0.008381911030842609
TAF13	CDC7	1.4529799229085998e-05	0.00916236062566855	0.0087264852164765
IDP2	SMC2	1.5075873505192098e-05	0.0094223013965295	0.008974059983149929
RPB5	MTW1	1.5199701159887198e-05	0.009475225432975241	0.009024466296599941
NBR034W	MTW1	1.5263505312438e-05	0.00950049078739396	0.00904852971768013
NBR035W	MTW1	1.5263505312438e-05	0.00950049078739396	0.00904852971768013
SLI15	MTW1	1.5409236454664403e-05	0.00955136876656283	0.00909698730969173
YCL022C	SMC2	1.6588520556339002e-05	0.0100970769943459	0.00961673489187238
STE50	CIN8	1.77322893348629e-05	0.010642394655176001	0.0101361104873042
NBR034W	SLK19	2.0962745846627e-05	0.0120390882205559	0.0114663599992138
NBR035W	SLK19	2.0962745846627e-05	0.0120390882205559	0.0114663599992138
gCL01	SMC2	2.25238866551226e-05	0.0126891246662362	0.0120854726564376
YCL026C	CDC7	2.47817069676389e-05	0.0135966833339011	0.0129498565876131
NBR031C	SLK19	2.49209604313482e-05	0.0136532870194303	0.0130037675004388
IDP2	KIP2	2.58308118683013e-05	0.0139871548562373	0.0133217524457149
ENT2	SMC2	2.6079356157650303e-05	0.0140559587143115	0.0133872831396978
RPB5	SLK19	2.69777108224286e-05	0.014388414134671	0.013703922860554999
RFX1	KIP2	3.0845637205298604e-05	0.0158223816791701	0.0150696731392464
YML096W	CDC7	3.21311005328005e-05	0.0163627978111621	0.0155843803832902
LEU2	SMC2	3.2837896223832395e-05	0.016601241435876	0.015811480674475
RTC2	MTW1	3.39493536233518e-05	0.0169816156933128	0.0161737596187191
NGL3	CDC34	3.5589295367965005e-05	0.017560476803897	0.016725082921771998
YML108W	SMC4	3.5618556860769895e-05	0.0175657518686573	0.0167301070390849
gML01	CDC34	3.8019173010672496e-05	0.0183900907655124	0.0175152301629903
NBR031C	MTW1	3.90741119332625e-05	0.0187755524395031	0.0178823545032149
STE50	SMC3	4.15475584940954e-05	0.0195908647495141	0.0186588804566018
URA5	SMC4	4.24959939622159e-05	0.0198647917880275	0.0189197761307236
gML01	SMC4	4.3168411190479104e-05	0.0200702416710233	0.019115452271397
YLR169W	SMC2	4.4671700067159204e-05	0.0205617313993066	0.0195835606577771
MAK5	SLK19	4.47690678710875e-05	0.0205817186672184	0.0196025970835495
YLR162W	SMC2	4.93132944236647e-05	0.0221170125490136	0.021064853363323
NLR032W	KIP2	4.94382322420888e-05	0.0221467944407561	0.0210932184592439
MAK5	MTW1	5.0359848071452396e-05	0.0224268834429557	0.0213599829577013
NML009C	CDC7	5.12303168503084e-05	0.0226810508305309	0.0216020589947405
NML011W	SMC4	5.52869850940676e-05	0.0238790926146939	0.0227431070657945
CSH1	MTW1	5.69585025561338e-05	0.024472531741114	0.0233083148736028
DPH5	SMC2	6.0802592616764294e-05	0.0256065679079239	0.0243884022276076
gPL11	PDS5	6.09234734681855e-05	0.0256506812515019	0.0244304169939228
gBR08	SLK19	6.56768508082935e-05	0.0270864820327355	0.0257979132978926
ECM23	CLB5	6.74377144766139e-05	0.0274890858497236	0.0261813642883722
SMY2	MTW1	6.75392914847639e-05	0.0275062199294469	0.0261976832589423
AGP1	KIP2	6.91343648240522e-05	0.0279594954057518	0.0266293953367102
VPS9	CDC7	7.00833062173396e-05	0.0282389151123952	0.0268955223796018
HAT1	PDS5	7.32441417266208e-05	0.0291585205653608	0.0277713800016882
SMA1	CLB5	8.136903377131891e-05	0.0315257413046493	0.0300259863885689
RRP12	PDS5	8.213842265469051e-05	0.0317115225912674	0.0302029296150371
RQC2	PDS5	8.213842265469051e-05	0.0317115225912674	0.0302029296150371
BOP2	YCG1	8.688862529242541e-05	0.032989751738221	0.0314203503442443
NLR032W	SMC2	9.25207848744855e-05	0.0345240414442247	0.0328816502192703
BUD3	SMC2	9.36648121307096e-05	0.0348461283459093	0.0331884146766851
NDI1	CDC34	0.00010098619062481	0.0367526676741051	0.0350042553690412
NBR041W	MTW1	0.000103713784661506	0.037464757981755	0.0356824698376025
BUD3	CIN8	0.000104072852228216	0.0375535170161094	0.0357670063924016
YBR144C	SLK19	0.000107072529660967	0.0382958660799677	0.0364740401357667
POF1	MMS22	0.000114864451924977	0.0400474509420328	0.0381422979165607
NLR028W	KIP2	0.000120093867106475	0.0412698156689587	0.0393065118298156
RPR1	CIN8	0.000120977563454876	0.0414455367528022	0.039473873441417
YCL026C	SMC3	0.000124555093400313	0.0422882201556337	0.0402764683792734
PIG1	YCG1	0.00012733837365546899	0.0430016596118044	0.0409559678141334
ECM31	MTW1	0.000127829626537582	0.04311515864201101	0.04106406742401
NBR031C	CDC37	0.000132297766789276	0.0440474028814237	0.041951962575242994
RPB5	CDC37	0.000132784375994793	0.0441627808243317	0.0420618517134496
ILV6	CIN8	0.000133842206899609	0.0443975229305794	0.0422854265762549
YBR174C	MTW1	0.000137145837903987	0.0450007281415431	0.0428599358726068
YLR169W	KIP2	0.000138892534449075	0.0453963309466799	0.0432367189061137
GTR1	CDC34	0.000140202491722121	0.0457149388166688	0.0435401698376917
TAF13	SMC4	0.00014073005179228898	0.0458147155858293	0.0436351999873004
