SNP	gene	p.value	FDR	q.value
RPR1	YHC1	1.7252542430431e-08	2.6912739004373998e-05	2.4439283045522602e-05
YGL177W	BUD13	5.547522274468441e-08	7.4636077954828e-05	6.77765363922741e-05
URA3	YHC1	6.10032701483513e-08	8.11795966661636e-05	7.371866312541759e-05
NEL011C	YHC1	8.52726955880654e-08	0.00010887784717309	9.88712640514896e-05
YGL176C	BUD13	9.232141990263311e-08	0.00011668334118788301	0.000105959382340255
SUA5	BUD13	9.76133292480609e-08	0.000122389881780407	0.000111141454693753
NNL035W	GUS1	1.37646353619711e-07	0.000164868725069303	0.000149716215680175
ROK1	BUD13	1.6040400259432302e-07	0.000188154366449889	0.00017086175499165802
HUR1	BUD13	1.67595820569929e-07	0.000195670310242377	0.000177686934608977
gGL04	BUD13	1.9485824154323898e-07	0.000223704248538268	0.000203144371430351
YRB30	BUD13	2.0499952051108698e-07	0.00023337774563539102	0.00021192881115453602
NKP1	LSM6	2.40027349275472e-07	0.00026705917493099703	0.000242514697778684
RPB5	RNH70	3.4500584830307005e-07	0.000364230722770485	0.000330755547631789
YBR138C	SAD1	3.93244797246285e-07	0.00040613409588185096	0.000368807727897216
CWC27	CWC27	4.8215405296389e-07	0.000483446606962516	0.00043901471578326404
YBR137W	SAD1	5.029595084166121e-07	0.000501452472540685	0.00045536572506823495
GSY2	CWC27	5.86196655594971e-07	0.000570305350991822	0.0005178905756489509
NBR031C	RNH70	5.890472098483739e-07	0.0005725074395989389	0.000519890277974007
NBR034W	RNH70	6.24034046575936e-07	0.0006010219387621099	0.00054578410898975
NBR035W	RNH70	6.24034046575936e-07	0.0006010219387621099	0.00054578410898975
NNL035W	BUD13	6.33746197307787e-07	0.000609321169022821	0.000553320585948431
SPC110	LSM6	1.17081891550962e-06	0.0010170779226477801	0.0009236018387761051
TRP4	LSM6	1.4105011785163e-06	0.0011892241134045	0.00107992667365925
KEI1	LSM6	1.6150070415134701e-06	0.00133203601685639	0.0012096132332533199
RED1	CWC27	1.6924874477011002e-06	0.0013857951582055	0.00125843155945571
YLR257W	CWC27	1.94389130604989e-06	0.00155009201605751	0.00140762846623963
CSH1	RNH70	1.94949958994834e-06	0.00155332282293291	0.00141056234092552
YEL028W	YHC1	2.19799657013538e-06	0.0017094597104931801	0.00155234923182178
SLI15	RNH70	2.28868318977008e-06	0.00176426263123128	0.00160211540729065
RTC2	RNH70	2.33916207522788e-06	0.0017933896425309103	0.00162856545658909
COG6	PRP38	2.92622301899072e-06	0.00214644911764991	0.0019491764669709998
YBR162W	RNH70	3.0203185607691e-06	0.00220117691607481	0.00199887442435642
gBR07	SAD1	3.16923278334054e-06	0.0022866014531802	0.00207644789025345
CCZ1	SAD1	3.18277188115849e-06	0.0022944343807223396	0.0020835609207497698
EXO5	RNH70	3.2822573043176103e-06	0.00234965693530067	0.00213370816297648
UBS1	RNH70	3.2822573043176103e-06	0.00234965693530067	0.00213370816297648
VPS63	CWC27	3.32113949602439e-06	0.0023727548222761898	0.0021546832037353
NBR016C	PRP43	3.41207810793806e-06	0.00242154285405073	0.00219898729770277
YGL193C	BUD13	3.53290066619814e-06	0.00249222352054117	0.0022631719507002
IME4	BUD13	3.53290066619814e-06	0.00249222352054117	0.0022631719507002
YBR144C	SAD1	4.388665303608741e-06	0.00296423396811402	0.00269180156460913
