SNP	gene	p.value	FDR	q.value
gOL02	HSP12	3.6900858445479305e-08	9.69556217833052e-05	9.2343210959846e-05
REX4	HSP12	3.6900858445479305e-08	9.69556217833052e-05	9.2343210959846e-05
gCL01	DOP1	6.18299152003292e-08	0.000141779592931239	0.000135034798591791
LEU2	DOP1	1.34944831364781e-07	0.000261562488181809	0.000249119335022552
gCL01	SEC21	1.53588538405561e-07	0.000288808656172554	0.0002750693376355
ILV6	DOP1	1.65035097257107e-07	0.00030282147530879703	0.000288415533450037
YCL022C	DOP1	1.91636588183444e-07	0.000337868521283838	0.000321795307623689
MPD2	HSP12	2.44949128455707e-07	0.000401433564046221	0.00038233640926911203
TRM10	HSP12	2.60837593632342e-07	0.000423195126088025	0.000403062721756008
AGP1	NEO1	2.63935320635117e-07	0.000427122081543078	0.00040680286254770297
YPQ1	HSP12	3.10689134100789e-07	0.00048019061706311504	0.00045734680090549597
YCL026C	NEO1	3.34099123238195e-07	0.0005068481962034401	0.00048273621524740594
IRA2	HSP12	4.2790667033798104e-07	0.0006123315321220071	0.000583201456584797
HAL9	HSP12	4.4360140536272104e-07	0.000627199672217676	0.000597362283694993
YCL023C	DOP1	4.5492538121832103e-07	0.0006408157507099981	0.000610330612766951
BUD3	DOP1	7.044140227737341e-07	0.0008990752572984811	0.000856304096930534
LEU2	SEC21	7.26809213089573e-07	0.0009233616319830891	0.0008794351106840519
YCL022C	SEC21	8.8879844588845e-07	0.00107990038688101	0.0010285269426073
YOL099C	HSP12	9.86680563557276e-07	0.00116916443654008	0.00111354448792531
NOL019C	HSP12	9.926426143792878e-07	0.00117302127959612	0.0011172178517325
NOL020W	HSP12	9.926426143792878e-07	0.00117302127959612	0.0011172178517325
YCL023C	NEO1	1.17901482661207e-06	0.00133319092384005	0.00126976784291132
SLI15	SEC4	1.44887669973116e-06	0.00155735558004574	0.00148326845027176
YOL106W	HSP12	2.03350318289962e-06	0.00202576430585759	0.0019293938526723398
RFC4	HSP12	2.1244759079330298e-06	0.0020976128192996897	0.00199782436048511
MDY2	HSP12	2.56613265957612e-06	0.00243785369267581	0.00232187916173795
RPB5	SEC4	3.1814235919695803e-06	0.0028838194790853197	0.00274662928904184
RTC2	SEC4	3.22138314705489e-06	0.00290889052995392	0.00277050765005652
gCL01	NEO1	4.43430831397556e-06	0.00370689559967057	0.0035305497099647897
ILV6	SEC21	5.2630331238126e-06	0.00422062906389756	0.00401984364456791
NBR034W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
NBR035W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
AGP1	SEC21	5.8830198423009805e-06	0.00457809053728065	0.0043602998206977205
BUD3	SEC21	6.42572950719082e-06	0.0049115238735381395	0.0046778709356547
YCL023C	SEC21	7.405916816641589e-06	0.00549855316874745	0.00523697384325378
LEU2	NEO1	7.86276600381563e-06	0.0057810215434653395	0.0055060045217878795
NDJ1	HSP12	8.22010334713302e-06	0.0059557907197686204	0.0056724595103673295
MAK5	SEC4	9.69450143815881e-06	0.0067525022345986795	0.00643126955288885
NBR031C	SEC4	1.03245147519976e-05	0.00706654149416846	0.00673036921377225
gCR02	DOP1	1.13131428442271e-05	0.00755716743568224	0.00719765490578541
YCL022C	NEO1	1.18249948164319e-05	0.00781188760002848	0.00744025742268255
NML013W	NEO1	1.2952968478933901e-05	0.008374598782740309	0.0079761990885589
RTC2	HSE1	1.52842846828196e-05	0.00950818713820183	0.00905585993467219
YBR138C	HSE1	1.5332735917558898e-05	0.00952892766917483	0.00907561378898031
YBR144C	SEC4	1.64676670921748e-05	0.0100429039258429	0.00956513896580744
NCR015C	DOP1	2.33265167317297e-05	0.0130275866903918	0.0124078332325818
HRP1	HSP12	2.35914922893396e-05	0.0131347522975459	0.0125099007154885
gBR07	HSE1	2.4044345559364498e-05	0.0133391330592011	0.0127045585954807
YML108W	VPS27	2.4060638877740303e-05	0.0133442588659219	0.012709440555316002
NML011W	NEO1	2.4161754875937398e-05	0.0133846429010005	0.0127479034252568
URA5	VPS27	2.47045282699595e-05	0.0135709688251424	0.0129253653795391
URA5	NEO1	2.5009670646443697e-05	0.0136727173951477	0.0130222735267104
AGP1	DOP1	2.50946156188208e-05	0.0137008127772189	0.0130490323442589
NML011W	VPS27	2.55767519596534e-05	0.013883904959818998	0.0132234143938189
NML013W	VPS27	2.7946901021498497e-05	0.0147679309458501	0.0140653851493106
gBR08	SEC4	2.8256055666244396e-05	0.0148731338886751	0.0141655833365245
AGP2	HSE1	2.90274351040834e-05	0.0151778103894851	0.0144557656474759
STE50	NEO1	3.25947576827977e-05	0.0165092054955446	0.0157238231039537
IRA1	SEC4	3.35315277953789e-05	0.0168349360223055	0.0160340578504851
RPB5	HSE1	3.89105205972095e-05	0.0187159604072578	0.0178255974064737
MAK5	HSE1	4.15995318333163e-05	0.0196045513642383	0.0186719159663284
GTR1	VPS27	4.25173108851564e-05	0.0198698371455398	0.0189245814685117
SLI15	HSE1	4.43372050998854e-05	0.0204639237933602	0.0194904059935786
YML108W	NEO1	4.8053784162241795e-05	0.0216938570645591	0.0206618283973531
NBR034W	HSE1	5.9977047440116294e-05	0.0253888921384943	0.0241810818151595
NBR035W	HSE1	5.9977047440116294e-05	0.0253888921384943	0.0241810818151595
FIT1	DOP1	6.26660985885381e-05	0.0261806185394315	0.0249351438975792
YBR137W	HSE1	6.4742861838866e-05	0.0267888884447719	0.0255144769486828
YBR144C	HSE1	6.99326267422489e-05	0.0281902099062571	0.0268491341966112
YCL026C	SEC21	7.36545851047754e-05	0.0292868556646297	0.0278936098933372
gBR07	SEC4	7.43506055808e-05	0.0295058670382645	0.0281022023721041
SKM1	HSP12	7.927207439136658e-05	0.030952480905589	0.0294799973577971
CAB1	DOP1	7.96890875095185e-05	0.0310704171774824	0.0295923231191604
NGL3	VPS27	7.992470702704749e-05	0.0311237963743678	0.0296431629399795
YDR509W	NEO1	8.01385801638557e-05	0.0311776906305307	0.0296944933174742
NML013W	YKT6	8.86131012205186e-05	0.0335070702249139	0.03191305875322
