SNP	gene	p.value	FDR	q.value
NNL035W	DHH1	1.44672494695506e-22	3.46462095379782e-18	3.14619972800063e-18
NCS2	DCP2	2.4177980887059198e-21	4.44029879805796e-17	4.032206425172679e-17
MLF3	DHH1	3.19195057841032e-18	3.10735454578807e-14	2.8217684292543998e-14
NAF1	DCP2	8.60400623572869e-18	7.734571405608311e-14	7.0237139291822e-14
YNL115C	DCP2	1.68047409514748e-17	1.42104663431732e-13	1.2904431953701898e-13
FPR1	DCP2	1.38070904416185e-15	8.53076853700756e-12	7.74673535970759e-12
YNL114C	DCP2	1.5885148060838099e-15	9.72438575013028e-12	8.83065137861498e-12
NNL038C	DCP2	2.6405232916610302e-15	1.5652308347364e-11	1.4213759289043499e-11
SRV2	DCP2	5.703234653321949e-14	2.7670426087585904e-10	2.51273337520502e-10
NOP15	DCP2	8.45356147946241e-14	4.0136028352475597e-10	3.64472659980781e-10
MEP2	DCP2	1.7505322426195902e-13	7.862302168258961e-10	7.13970540301667e-10
SUN4	DHH1	1.9722963164749603e-11	6.01536008803351e-08	5.4625093264679506e-08
NNL045W	DCP2	7.51125824567859e-10	1.62875609183939e-06	1.4790628012300199e-06
PGA1	DCP2	1.8808597547972104e-09	3.73861902987689e-06	3.39501559672869e-06
gNL07	DHH1	2.2105207171119e-09	4.337726321531939e-06	3.9390610271479e-06
NNL035W	MSS116	1.35053602059931e-08	2.15790461945029e-05	1.95957913356255e-05
MLF3	MSS116	1.67932459608338e-07	0.00019598690276848601	0.000177974430220421
SUN4	MSS116	1.9532558621879998e-07	0.00022415481157198798	0.000203553524787397
NNL035W	CBP6	2.42059710162191e-07	0.00026892061220245097	0.00024420505684400097
gNL06	DCP2	2.54250472336339e-07	0.00028038300932602204	0.00025461398503364303
gNL07	MRS1	3.11177637763872e-07	0.000334262142772775	0.00030354127527856
MLF3	MRS1	3.48899130668127e-07	0.000367627866526574	0.000333840471755933
SUN4	MRS1	3.55356177950806e-07	0.00037299744234847	0.00033871654859539597
CWC27	CWC27	4.8215405296389e-07	0.000483446606962516	0.00043901471578326404
GSY2	CWC27	5.86196655594971e-07	0.000570305350991822	0.0005178905756489509
