SNP	gene	p.value	FDR	q.value
NNL035W	BLM10	5.36937413722934e-12	1.82443135897906e-08	1.65675423716516e-08
MRPS8	YIM1	6.66505604934295e-11	1.8138062374003898e-07	1.64710563344586e-07
YIM1	YIM1	8.887049778212071e-11	2.3542844792700897e-07	2.1379104055225e-07
ATG16	YIM1	8.887049778212071e-11	2.3542844792700897e-07	2.1379104055225e-07
YIM2	YIM1	8.928218981798309e-11	2.36414460599555e-07	2.14686432239692e-07
GSY2	WTM2	2.4811129629968496e-10	5.97043435580903e-07	5.42171256157223e-07
RIM13	YIM1	3.30299963886327e-10	7.80082128555105e-07	7.08387501376706e-07
YLR257W	WTM2	3.6884893512069804e-10	8.6464414898597e-07	7.851777214979391e-07
STE6	UBA1	4.12216427139092e-10	9.55825962353499e-07	8.679793324796721e-07
NMR044C	YIM1	5.76841876240049e-10	1.28815977282443e-06	1.16976950175141e-06
CBT1	UBA1	1.28920450065435e-09	2.66338038987201e-06	2.4185983892385503e-06
NKL041W	UBA1	1.4402840636242002e-09	2.94702350338569e-06	2.67617285365659e-06
SUV3	RMI1	1.5006298313346399e-09	3.06004131628383e-06	2.77880359362529e-06
MLF3	BLM10	2.0769537963319196e-09	4.1065841866961e-06	3.7291623596030703e-06
MCP2	WTM2	2.14633592459355e-09	4.22284857209762e-06	3.834741290921799e-06
YLR271W	WTM2	2.51182092691348e-09	4.87464812712399e-06	4.4266362225988e-06
ECM23	RMI1	2.58238376041104e-09	5.006719446330059e-06	4.54656932757739e-06
NDE1	YIM1	3.4135017507271505e-09	6.39645035246187e-06	5.80857491409707e-06
NEJ1	WTM2	3.81420968987614e-09	7.05894903021832e-06	6.41018564945711e-06
RED1	WTM2	3.85031979443798e-09	7.1235758842826795e-06	6.46887287481026e-06
NLR116W	WTM2	5.403546128777429e-09	9.65991893037127e-06	8.77210947937242e-06
VPS63	WTM2	5.69553958433744e-09	1.0115465844024099e-05	9.18578866533217e-06
SUN4	BLM10	5.965018870837409e-09	1.05346931371197e-05	9.56648624036178e-06
YLR252W	WTM2	6.74843721666916e-09	1.17226285534383e-05	1.06452426565888e-05
SMA1	RMI1	7.4193658322688105e-09	1.27313829674274e-05	1.15612859713511e-05
BOP2	WTM2	8.06194179618323e-09	1.37395109499976e-05	1.2476760427821001e-05
PHO85	RMI1	8.74586246926943e-09	1.47663676888193e-05	1.34092423458892e-05
YLR269C	WTM2	9.50804416180997e-09	1.58963214054916e-05	1.4435345958219598e-05
YPL035C	RMI1	1.00401911924227e-08	1.66603921702807e-05	1.51291936444197e-05
SVL3	RMI1	1.2202388377058601e-08	1.97448066568023e-05	1.7930130355229997e-05
