SNP	gene	p.value	FDR	q.value
NNL035W	NUP157	4.2787412141958e-08	5.944964864371961e-05	5.39858388224474e-05
NBR016C	NTF2	8.91685002323331e-08	0.00011336853579751102	0.000102949229149866
YAR002C	NUP60	9.378020249103859e-08	0.00011827738124610601	0.000107406919737414
MLF3	NUP157	1.00335757339845e-07	0.00012533087451365701	0.00011381215104431799
YAL004W	NUP60	1.50342581725822e-07	0.000178096970556108	0.000161728699270015
MDM10	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
NAL001C	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
gAR03	NUP60	1.62089380723596e-07	0.000189971106653728	0.000172511524940923
NAL002C	NUP60	2.04365043908848e-07	0.00023274395062537203	0.000211353266032942
SPO7	NUP60	2.1372137177664002e-07	0.00024206419766862401	0.000219816921683421
MLF3	TOM1	3.72696603370821e-07	0.00038819366271004304	0.000352516137354394
TAT1	NTF2	4.6260138592064103e-07	0.000466855312253223	0.000423948269093235
NNL035W	TOM1	1.02072912996762e-06	0.0009059460451577061	0.000822683704471055
SUN4	NUP157	1.52448195045146e-06	0.00127135870019871	0.00115451255710146
UIP3	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
YAR028W	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
YAR029W	NUP60	2.82770701118061e-06	0.00208748479283445	0.0018956313475567699
MUM2	NTF2	3.27810567142113e-06	0.00234789348026535	0.00213210678094177
SWC3	NUP60	3.38044568422711e-06	0.0024053662912511898	0.00218429746635943
TIP1	NTF2	3.99181891059188e-06	0.0027507571145006103	0.0024979446239135803
YBR075W	NTF2	4.540145405057891e-06	0.0030437852664854602	0.0027640415806558898
NNL035W	NUP192	5.1362244942672e-06	0.00335558838943138	0.0030471879662733103
TRM7	NTF2	5.34654166466476e-06	0.00345677995379477	0.0031390793669551303
HSP26	NTF2	6.36102709566675e-06	0.003964554835409789	0.0036001864305349202
NNL038C	NUP157	8.71609935631056e-06	0.00506519229651915	0.00459966814208369
YNL114C	NUP157	9.15056880573825e-06	0.00525259055550686	0.00476984328081239
YNL115C	NUP157	1.0831026638464999e-05	0.005996655424992571	0.00544552374375731
RPB5	NUP192	1.1723739431312e-05	0.00636553703177654	0.00578050272887715
NOP15	NUP157	1.2489109071880198e-05	0.0066820748551141	0.00606794866508987
NBR034W	NUP192	1.5314796720636902e-05	0.007783514021224959	0.00706815839973013
NBR035W	NUP192	1.5314796720636902e-05	0.007783514021224959	0.00706815839973013
YBR071W	NTF2	1.72218327272195e-05	0.00848758915794306	0.00770752444674495
ECM2	NTF2	1.8559929982998897e-05	0.008960441152142909	0.00813691826366608
RTC2	NUP192	1.9116588180364604e-05	0.009159755682429759	0.00831791449076784
YBR064W	NTF2	2.04305151609846e-05	0.00963485399063017	0.0087493481708058
SLI15	NUP192	2.1294973684685396e-05	0.00992803667527677	0.009015585457652001
SUN4	TOM1	2.15336922949021e-05	0.0100157214500796	0.00909521143068438
MAK5	NUP192	2.32006883138349e-05	0.0105838679777315	0.00961114159291564
YBR144C	NUP192	2.41469270514841e-05	0.0108976195752846	0.009896057375636159
YRO2	NTF2	2.43819212903342e-05	0.0109780201127081	0.0099690685801363
NBR031C	NUP192	2.72402460632126e-05	0.0119050300066541	0.0108108802285331
NBR016C	GSP1	3.50976138516628e-05	0.0143237668584323	0.0130073194138437
SLM4	NTF2	4.0883570451821e-05	0.0159674479420403	0.0144999355029136
UBC4	NTF2	4.58285410359806e-05	0.0173074999042581	0.0157168279639531
IST2	NTF2	5.51537344734906e-05	0.0197692506956193	0.0179523278277106
SCO1	NTF2	6.90860615086724e-05	0.0232568615011139	0.0211194044903368
YLR455W	NUP157	7.32469089066828e-05	0.0242402164807182	0.0220123827441246
PHO3	NTF2	8.55979964498827e-05	0.0270535714475755	0.0245671720701527
NBR019W	NTF2	9.002539714992809e-05	0.0280463978973494	0.0254687513043273
SPT7	NTF2	0.000110720287401472	0.0322995242271902	0.0293309876298998
TAT1	GSP1	0.000136865850161811	0.0373497790683129	0.0339170911660042
SWH1	NUP60	0.000140439819143702	0.0380458905109537	0.0345492254342838
gBR08	NUP192	0.00015590359461137299	0.0409043302626518	0.0371449559598527
YBR090C	NTF2	0.00016113532028348002	0.0418079432495963	0.0379655210293523
YBR085C	NTF2	0.000174146851740302	0.0439066311630571	0.0398713258577999
GIP1	NTF2	0.000187784596428571	0.0461746066727353	0.0419308596500432
MDJ2	NUP60	0.000189646943441221	0.0464782667285273	0.0422066113694025
NCS2	NUP157	0.00019218361695618998	0.0469021954998382	0.0425915783261853
YAT1	NUP60	0.000194499990228424	0.0472709589590608	0.0429264500222742
COG6	NUP157	0.000198903529231475	0.0480195500557905	0.0436062407227063
gBR07	NUP192	0.000203887907236324	0.0488261869902939	0.044338742470451
RFC5	NTF2	0.00020682479172448899	0.0492820773632116	0.04475273354953299
NNL035W	GSP1	0.000213266214826407	0.0502964752631058	0.0456739016770975
NBR008W	NTF2	0.00023599960202186002	0.0538198022817236	0.0488734120002922
MLF3	NUP192	0.000238146424353594	0.054148041967554995	0.049171484321638
