SNP	gene	p.value	FDR	q.value
gCL01	TCB3	1.91915038230317e-10	1.32021704588393e-06	1.25741116336007e-06
LEU2	TCB3	3.38238781984017e-10	2.1617263355076e-06	2.05888784338245e-06
YCL022C	TCB3	1.10280919462981e-09	5.97783569785792e-06	5.69345575612249e-06
gOL02	PIL1	4.51589144547673e-09	1.80996642107709e-05	1.7238619894090398e-05
REX4	PIL1	4.51589144547673e-09	1.80996642107709e-05	1.7238619894090398e-05
BUD3	TCB3	9.26310000725449e-09	3.23912800185284e-05	3.085034935566211e-05
ILV6	TCB3	1.03298051403963e-08	3.5273730071954706e-05	3.3595674365899e-05
IRA2	PIL1	3.28138575931463e-08	8.84278772372637e-05	8.422115161823521e-05
YCL023C	TCB3	3.4229163430491205e-08	9.13311808045001e-05	8.69863380907534e-05
gOL02	HSP12	3.6900858445479305e-08	9.69556217833052e-05	9.2343210959846e-05
REX4	HSP12	3.6900858445479305e-08	9.69556217833052e-05	9.2343210959846e-05
TRM10	PIL1	6.645612438936619e-08	0.00014904943489386002	0.000141958796784484
MDY2	PIL1	7.35693124277208e-08	0.000161083841295517	0.000153420697690122
NOL019C	PIL1	7.99693367153663e-08	0.00017250151884383	0.000164295209009041
NOL020W	PIL1	7.99693367153663e-08	0.00017250151884383	0.000164295209009041
MPD2	PIL1	8.6040418244858e-08	0.00018227204943373998	0.000173600932089959
YOL106W	PIL1	9.21405478649472e-08	0.000192819690991277	0.000183646797111107
HAL9	PIL1	1.1806818447618599e-07	0.00023711061948096401	0.00022583070019897099
YPQ1	PIL1	1.23738477412204e-07	0.00024511529908849904	0.00023345457805225097
AGP1	TCB3	1.42041597336825e-07	0.00027335753684504303	0.000260353265009871
YOL099C	PIL1	1.8527904544508398e-07	0.00033066593928187	0.00031493536967445096
RFC4	PIL1	1.97930960083797e-07	0.000346063258919229	0.000329600201989863
NDJ1	PIL1	2.12938915343982e-07	0.000364224313469287	0.000346897291737969
MPD2	HSP12	2.44949128455707e-07	0.000401433564046221	0.00038233640926911203
TRM10	HSP12	2.60837593632342e-07	0.000423195126088025	0.000403062721756008
YPQ1	HSP12	3.10689134100789e-07	0.00048019061706311504	0.00045734680090549597
IRA2	HSP12	4.2790667033798104e-07	0.0006123315321220071	0.000583201456584797
HAL9	HSP12	4.4360140536272104e-07	0.000627199672217676	0.000597362283694993
YOL099C	HSP12	9.86680563557276e-07	0.00116916443654008	0.00111354448792531
NOL019C	HSP12	9.926426143792878e-07	0.00117302127959612	0.0011172178517325
NOL020W	HSP12	9.926426143792878e-07	0.00117302127959612	0.0011172178517325
NML011W	TCB3	1.1110478299441002e-06	0.0012753945912602099	0.0012147210201076599
URA5	TCB3	1.45565046408025e-06	0.00156286052518984	0.0014885115120088
SKM1	PIL1	1.71068307727025e-06	0.0017830435576511102	0.00169821991098945
NML013W	TCB3	2.03341584949786e-06	0.00202576430585759	0.0019293938526723398
YOL106W	HSP12	2.03350318289962e-06	0.00202576430585759	0.0019293938526723398
RFC4	HSP12	2.1244759079330298e-06	0.0020976128192996897	0.00199782436048511
gML01	TCB3	2.4762963812310797e-06	0.0023707442479811	0.0022579622738375
MDY2	HSP12	2.56613265957612e-06	0.00243785369267581	0.00232187916173795
YML108W	TCB3	3.821962867796209e-06	0.00332579860179367	0.00316758240777201
