SNP	gene	p.value	FDR	q.value
NMR027W	MYO5	4.18939052795864e-12	1.4506599431244701e-08	1.3173348482686399e-08
NMR028W	MYO5	5.54517440648506e-12	1.8788340683558e-08	1.70615698330279e-08
NMR025W	MYO5	8.723096688485881e-12	2.8481525967965298e-08	2.5863888271884103e-08
NMR026W	MYO5	8.723096688485881e-12	2.8481525967965298e-08	2.5863888271884103e-08
NMR029W	MYO5	1.07832303689685e-11	3.45964257171658e-08	3.14167889164976e-08
NMR032C	MYO5	4.20025003376904e-11	1.2020519289639302e-07	1.09157552943948e-07
MED11	MYO5	5.4380247872251006e-11	1.5114899009884e-07	1.3725741369059802e-07
MGR3	MYO5	7.9510789992237e-11	2.13084895371107e-07	1.9350100596797898e-07
YMR111C	MYO5	1.29779155025286e-10	3.31904617509812e-07	3.0140042193846997e-07
YMR114C	MYO5	2.06359254275594e-10	5.067573010101561e-07	4.60183005258568e-07
NMR036C	MYO5	6.177862284405159e-10	1.36836495530039e-06	1.24260330569568e-06
ASI1	MYO5	6.65066964315065e-10	1.46226976526737e-06	1.32787765215837e-06
PKR1	MYO5	7.18412987941723e-09	1.23738308046548e-05	1.12365951805655e-05
SLI15	ARC18	1.68415841975777e-08	2.63265489509105e-05	2.39069676749935e-05
RPB5	ARC18	1.81328332207958e-08	2.80975212143528e-05	2.55151760556048e-05
NBR034W	ARC18	2.52000489083687e-08	3.7633541834558703e-05	3.41747742862893e-05
NBR035W	ARC18	2.52000489083687e-08	3.7633541834558703e-05	3.41747742862893e-05
MLF3	RVS167	3.4228814751788905e-08	4.89907132490231e-05	4.4488147694677796e-05
NNL035W	LST8	6.47267399675592e-08	8.53567060072591e-05	7.751186891850091e-05
NJR011W	CAP1	7.54027748963358e-08	9.77347783337923e-05	8.875231579746509e-05
FAR1	HSP150	9.87787184610649e-08	0.00012359224218963898	0.00011223331035211499
NBR031C	ARC18	1.0277039492777901e-07	0.00012786514418648798	0.000116113504832126
NNL035W	ARC35	2.48143261531718e-07	0.000274558389168957	0.000249324685396471
CDC8	CAP1	3.34930200774201e-07	0.000355474110361025	0.000322803724922108
NNL035W	PFY1	3.55949591762803e-07	0.000373413824694418	0.000339094662692446
MLF3	ARC35	3.65285882624865e-07	0.000381803270997948	0.000346713064252163
RTC2	ARC18	5.26464088334817e-07	0.0005214996992238861	0.000473570481080207
REX4	SKT5	5.403081184204929e-07	0.000531432312656533	0.000482590222661426
YCL022C	BUD6	6.09647738511511e-07	0.000589084131375499	0.000534943463835909
gOL02	SKT5	6.9059303302833e-07	0.0006530698661967849	0.0005930484929791349
YCL026C	BUD6	7.19578031974461e-07	0.000676526180037268	0.000614349018840104
BFA1	CAP1	7.557310643864659e-07	0.000703730184366483	0.000639052798030518
IRA2	SKT5	8.970904585288401e-07	0.000813647455665108	0.000738867956362117
YJR054W	CAP1	9.75527159772486e-07	0.0008739320565985321	0.0007936120099219901
YBR225W	ARC18	1.0939263588804701e-06	0.000959892242137169	0.00087167189467333
CIS3	HSP150	1.0982266905335301e-06	0.0009632421452990189	0.0008747139199214549
BUD3	BUD6	1.1607783117023199e-06	0.00100952758245351	0.0009167454240103039
gCL01	BUD6	1.40197902602899e-06	0.0011837058585092	0.00107491558232137
CSH1	ARC18	1.40234675504078e-06	0.00118384938506154	0.00107504591784896
ILV6	BUD6	1.40798746918297e-06	0.00118759980081541	0.00107845164597394
VPS35	HSP150	1.4407923712623301e-06	0.0012099921464853599	0.00109878598926736
LEU2	BUD6	1.5307582606628598e-06	0.00127570440171163	0.0011584588603479802
JLP2	MYO5	1.58728393377141e-06	0.00131385041096046	0.00119309900295619
DAS1	HSP150	1.6209397501105499e-06	0.0013361665469489301	0.00121336414073411
YJL171C	HSP150	1.74914451517995e-06	0.0014240255458282198	0.00129314832551583
NNL035W	RVS167	1.75533668320817e-06	0.0014276259938633801	0.00129641786893196
PCS60	ARC18	1.8594142278444e-06	0.0014948739086886	0.00135748526249483
HIT1	CAP1	2.00604560185215e-06	0.00158907238166288	0.0014430262824222401
AGP1	BUD6	2.291495128341e-06	0.00176611706666368	0.00160379940803152
TPK1	HSP150	2.6700785228510397e-06	0.00199647543485186	0.00181298634218715
MAK5	ARC18	2.7474139360209097e-06	0.00204256630657577	0.0018548411626754199
ASG7	HSP150	2.78482140815866e-06	0.00206381091304365	0.00187413325147302
NBR051C	ARC18	2.88545546295848e-06	0.00212357001289744	0.0019284001009243102
MPD2	SKT5	3.251106841684e-06	0.00233386084159592	0.00211936383314066
YBR226C	ARC18	4.01661125195607e-06	0.0027609046706934303	0.00250715955361569
NDJ1	SKT5	4.42741292718152e-06	0.00298294052311982	0.00270878886540074
TRM10	SKT5	4.63601007215675e-06	0.0030936050773599	0.00280928262650548
NJL025C	HSP150	4.757419551681401e-06	0.00316123242595487	0.00287069458140395
YJR056C	CAP1	4.810535297574379e-06	0.00318732940463976	0.0028943930778152303
YJL152W	HSP150	5.06820407375683e-06	0.00332026138817587	0.00301510774646764
LEU2	RHO3	5.12781019524314e-06	0.0033504567863791397	0.00304252799095639
YBR162W	ARC18	5.21574396536294e-06	0.00339383715148741	0.00308192141803666
SSY5	HSP150	5.68303802630481e-06	0.0036300425098424296	0.00329641796588968
ROT2	ARC18	5.71916955823016e-06	0.0036476731841174896	0.0033124282663953802
gBR08	ARC18	5.79964970654865e-06	0.0036883942416246797	0.0033494067935593897
MLF3	PFY1	5.8692711944818e-06	0.0037235136730814	0.00338129852058238
YBR144C	ARC18	6.488349484835781e-06	0.00402296953025665	0.0036532324345536203
SLX1	ARC18	6.58362900593325e-06	0.0040680453690324	0.0036941655102311205
YMR087W	MYO5	7.029796615375349e-06	0.00427935348701866	0.00388605303622554
MDY2	SKT5	7.66327088864301e-06	0.00456881661553494	0.00414891261836997
YJL163C	HSP150	7.68422672179851e-06	0.00457629754033569	0.00415570599746892
YPQ1	SKT5	8.1704871288134e-06	0.00481198981866172	0.00436973662068857
NNL013C	LST8	8.522944956755701e-06	0.00497621969841196	0.00451887270509439
NBR056W	ARC18	8.58377232978474e-06	0.00500546459772354	0.00454542980772885
RFA3	HSP150	9.01454582922232e-06	0.00519293264518184	0.0047156683209132605
YMR084W	MYO5	9.18200130544571e-06	0.0052670984085189795	0.00478301776766371
HAL9	SKT5	9.91790384666783e-06	0.00560289429628398	0.0050879518267826105
YOL106W	SKT5	1.0297361611337301e-05	0.00576495007000256	0.00523511361965797
NNL035W	COF1	1.0304740217016901e-05	0.00576854154394221	0.00523837501375636
gCL01	RHO3	1.0714782892436e-05	0.00594747637497634	0.00540086456867068
