SNP	gene	p.value	FDR	q.value
YLR257W	ERG27	1.5195497031148802e-16	1.1013988752296297e-12	1.00017314675337e-12
GSY2	ERG27	2.1836312672645199e-16	1.5582140265234298e-12	1.4150040110566298e-12
VPS63	ERG27	4.79546084119252e-14	2.3552467288306404e-10	2.1387842180826798e-10
RED1	ERG27	5.89109598065545e-14	2.85356253024725e-10	2.59130155252781e-10
BOP2	ERG27	3.5657756243599603e-13	1.5034030720755302e-09	1.3652305402281902e-09
NEJ1	ERG27	4.4128811758006395e-13	1.8334455579241299e-09	1.66493997253053e-09
YLR271W	ERG27	9.841788210881751e-13	3.82367650298939e-09	3.47225573420394e-09
YLR269C	ERG27	3.2620120307563504e-12	1.1515146734801e-08	1.0456829768117901e-08
MCP2	ERG27	3.6187506160554396e-12	1.26772880453939e-08	1.1512162724895701e-08
NLR116W	ERG27	6.4914849896240994e-12	2.1748498082414298e-08	1.9749669491639e-08
YLR252W	ERG27	7.34353345409129e-12	2.4290489610154e-08	2.2058035445608e-08
SML1	SPC2	8.94048800792232e-12	2.91064514882257e-08	2.6431379067582402e-08
PIG1	ERG27	2.30694768061933e-11	6.93359031752092e-08	6.296348218739411e-08
MCM5	ERG27	8.81392385645805e-11	2.3380161198972696e-07	2.1231372143087001e-07
YSH1	ERG27	3.23896538465765e-10	7.664706889605941e-07	6.96027041712857e-07
CDC11	HOC1	9.335036167190499e-10	1.98822222974823e-06	1.8054916603739101e-06
PIF1	SPC2	1.23905898084039e-09	2.56775866794886e-06	2.33176492620826e-06
BNA2	HOC1	2.40735667935905e-09	4.6906437490351305e-06	4.25954304501483e-06
NJR013W	HOC1	2.4076652217236604e-09	4.6906437490351305e-06	4.25954304501483e-06
MOG1	HOC1	2.50085327269291e-09	4.8549371107605e-06	4.408736776988901e-06
gLR07	ERG27	2.63006883936834e-09	5.0843527774556394e-06	4.61706765005718e-06
AIM24	HOC1	3.85531566296801e-09	7.1306153417976895e-06	6.47526536034168e-06
IMD4	SPC2	5.4733354096929295e-09	9.755551476981069e-06	8.85895277223018e-06
CSN12	HOC1	7.09346622084683e-09	1.2249389073687199e-05	1.11235904549856e-05
EMC2	HOC1	1.01731318299908e-08	1.6829679877888198e-05	1.5282922709368202e-05
YJR079W	HOC1	1.1972325468205001e-08	1.94303053359776e-05	1.76445337536885e-05
YLR281C	ERG27	1.27160503813022e-08	2.04543478358971e-05	1.85744600797346e-05
YLR282C	ERG27	1.27160503813022e-08	2.04543478358971e-05	1.85744600797346e-05
NLR118C	ERG27	1.7823955227577e-08	2.76958589969349e-05	2.51504292114216e-05
OPI3	HOC1	2.04366612403135e-08	3.1228798852063696e-05	2.83586688888572e-05
gJR12	HOC1	2.5654533027164e-08	3.82169367542577e-05	3.47045514140476e-05
TCB3	SPC2	2.9164406871137797e-08	4.26600550445625e-05	3.87393182017702e-05
COG8	SPC2	2.9164406871137797e-08	4.26600550445625e-05	3.87393182017702e-05
NBR034W	RNT1	3.20702263963452e-08	4.63555456123861e-05	4.20951691229426e-05
NBR035W	RNT1	3.20702263963452e-08	4.63555456123861e-05	4.20951691229426e-05
MEC3	ERG27	3.54030860588659e-08	5.0358404384897294e-05	4.57301391093402e-05
FIP1	HOC1	3.62420702732889e-08	5.13808970922738e-05	4.66586580788698e-05
NNT1	ERG27	3.80090235541465e-08	5.3631932614150296e-05	4.8702808778496604e-05
CTS1	ERG27	3.80090235541465e-08	5.3631932614150296e-05	4.8702808778496604e-05
RPB5	RNT1	4.36170499389493e-08	6.05070697138734e-05	5.494607601077629e-05
IME1	HOC1	6.26105620953385e-08	8.293138795104559e-05	7.53094533842966e-05
JJJ3	HOC1	6.26105620953385e-08	8.293138795104559e-05	7.53094533842966e-05
SLI15	RNT1	7.42220945595605e-08	9.6434071111708e-05	8.75711520387445e-05
YLR236C	ERG27	7.47442550451369e-08	9.700723567418599e-05	8.8091639045726e-05
GSY2	ALG6	8.973325480140551e-08	0.00011389307284901399	0.000103425557830773
NNL035W	PGM1	9.00988050297965e-08	0.00011428205496390401	0.000103778789956417
NBR031C	RNT1	9.90509855850751e-08	0.000123907008787034	0.00011251914784958201
CGI121	SPC2	1.1532000107069199e-07	0.00014127719534484098	0.000128292901155435
NLR121W	ERG27	1.21415009024668e-07	0.000147596448514873	0.00013403137381084199
gCL01	PMI40	1.25097440207671e-07	0.000151304899031396	0.000137398993577038
SEC72	ERG27	1.31408914317066e-07	0.000158292785360948	0.000143744647650751
gML03	SPC2	1.32339918381826e-07	0.00015926030507164299	0.000144623245999954
YBR162W	RNT1	1.32866605717222e-07	0.00015979776988655	0.000145111314298629
EXO5	RNT1	1.3499059371667e-07	0.000161961849602377	0.000147076500997001
UBS1	RNT1	1.3499059371667e-07	0.000161961849602377	0.000147076500997001
EAF6	HOC1	1.39547621922634e-07	0.000167027706774123	0.000151676772907949
GSF2	SPC2	1.4392802775266398e-07	0.000171516343481567	0.00015575287467388
NPA3	HOC1	1.67972847018646e-07	0.000195995831399447	0.000177982538252056
YLR257W	ALG6	1.76283865056794e-07	0.00020497431230959	0.000186135838302496
CSH1	RNT1	1.76585818120843e-07	0.00020522274214984299	0.00018636143582276
YJR071W	HOC1	1.87233127058065e-07	0.000215777871478061	0.000195946480035185
YLR294C	ERG27	2.0184079381091602e-07	0.00023026805198018502	0.00020910491859525
YML096W	SPC2	2.0791268365558199e-07	0.000236200131391794	0.000214491801281746
URA8	HOC1	2.1399394199665698e-07	0.00024220150193980097	0.00021994160679800898
NNL035W	LAS21	2.25996952621338e-07	0.000253664292711402	0.00023035089245686602
PRP39	SPC2	2.2872475196420897e-07	0.000256293597432712	0.00023273854695337
ILV6	PMI40	2.5615301774387303e-07	0.000282117349209656	0.00025618892778868596
POL12	ERD2	2.62800624672611e-07	0.00028853643490175896	0.00026201805770732
YPQ1	SWA2	2.7160488990871804e-07	0.000296733645459438	0.00026946189123798703
TRM10	SWA2	2.88657732809838e-07	0.000313135688881433	0.000284356480066346
YBR174C	RNT1	3.02977166283953e-07	0.000326833588357151	0.00029679545338532996
NOL019C	SWA2	3.11285793890847e-07	0.000334262142772775	0.00030354127527856
NOL020W	SWA2	3.11285793890847e-07	0.000334262142772775	0.00030354127527856
HAL9	SWA2	3.6028718508731497e-07	0.000377105227120288	0.000342446801198531
BUD3	PMI40	3.8677066551102206e-07	0.000400484033519396	0.00036367694305668196
YLR232W	ERG27	4.33987160803008e-07	0.00044263784831988603	0.000401956547789233
RFC4	SWA2	4.3690428146600896e-07	0.00044500663345814294	0.000404107626148759
ATP14	ERG27	4.4474252550261897e-07	0.00045191388550269197	0.000410380056753315
MPD2	SWA2	4.7285853375494e-07	0.000475799554890851	0.000432070477591347
TAF13	SPC2	4.81097856445994e-07	0.000482710949258784	0.000438346669812796
YJR107W	HOC1	4.986148824627111e-07	0.0004978670432969361	0.00045210982011878204
ABM1	HOC1	4.986148824627111e-07	0.0004978670432969361	0.00045210982011878204
RFC2	HOC1	5.11875897835239e-07	0.0005089014585637429	0.000462130100771134
NJR015C	HOC1	5.13860635543794e-07	0.000510281509707272	0.00046338331622826503
YML083C	SPC2	5.49403327782577e-07	0.000539226486763538	0.0004896680614156379
YLR235C	ERG27	5.82474197003516e-07	0.000567405970514062	0.0005152576671166349
NBL014C	ERD2	5.88463571109465e-07	0.0005721830285453969	0.000519595682408713
VPS9	SPC2	6.17249927245949e-07	0.0005953729072290941	0.000540654260238717
ERD2	ERD2	6.52869465184284e-07	0.000624049720069707	0.000566695487248027
LEU2	PMI40	6.5578346728605e-07	0.000625885574545808	0.0005683626147434679
ECM31	RNT1	6.559633653709001e-07	0.000625957484893072	0.0005684279160615691
NBR038W	RNT1	6.766767405060739e-07	0.000641937629875938	0.000582939381664579
NBR041W	RNT1	7.53927484963352e-07	0.000702641520854293	0.000638064189784014
RTC2	RNT1	7.68884463228708e-07	0.000713139684514565	0.0006475975038443151
TMC1	VPS5	7.885177122240971e-07	0.0007283031568512269	0.000661367354335133
VHS3	VPS5	7.885177122240971e-07	0.0007283031568512269	0.000661367354335133
NOR007W	VPS5	7.885177122240971e-07	0.0007283031568512269	0.000661367354335133
RAD51	MNN10	7.88741798958823e-07	0.000728397758994149	0.000661453261925111
NML009C	SPC2	8.762044958462391e-07	0.00079857549856339	0.000725181210260243
YCL022C	PMI40	8.930450182245809e-07	0.00081093474699434	0.000736404563282202
gML04	SPC2	8.9315140631716e-07	0.00081093474699434	0.000736404563282202
PCH2	RNT1	8.954562068258492e-07	0.000812657659308747	0.00073796912873604
NTC20	RNT1	1.0011503246579e-06	0.000890887931298921	0.000809009529327941
VPS63	ALG6	1.02901196490686e-06	0.000912156031534069	0.000828322952662631
RED1	ALG6	1.1677136930954598e-06	0.0010146748990650801	0.0009214196687081221
YMD8	SPC2	1.26118682675543e-06	0.00108192210346648	0.000982486417139743
TYR1	RNT1	1.33423590940743e-06	0.00113579976244471	0.0010314123684294
NNL035W	PMI40	1.35205281452305e-06	0.00114862712732063	0.00104306081494686
PGI1	RNT1	1.42346502433751e-06	0.00119728787088562	0.00108724931932009
YOL099C	SWA2	1.43422983286808e-06	0.00120566470780539	0.00109485627038052
YOR059C	VPS5	1.45136912297408e-06	0.00121733778352895	0.00110545651443497
RIM2	RNT1	1.46800518472554e-06	0.00122991286271874	0.0011168758619636199
MDY2	SWA2	1.5899769084690001e-06	0.001315533842018	0.00119462771573776
MLF3	MRS6	1.60634434541566e-06	0.00132687566782754	0.00120492715390223
FUI1	ERD2	1.6491597629016898e-06	0.0013566269640850198	0.0012319441123058198
TAF5	RNT1	1.69018243671026e-06	0.00138409712486136	0.00125688958643277
PYC2	RNT1	1.72896855865914e-06	0.0014114189887472301	0.0012817003931191301
YOR050C	VPS5	1.72952878013656e-06	0.00141149140040608	0.0012817661496750301
ETT1	VPS5	1.72952878013656e-06	0.00141149140040608	0.0012817661496750301
SMY2	RNT1	1.7552513188899398e-06	0.0014276259938633801	0.00129641786893196
YML079W	SPC2	1.7554986267465901e-06	0.0014276259938633801	0.00129641786893196
NBL017W	ERD2	1.8033145370159001e-06	0.001460559626125	0.0013263246859388802
MLF3	PMI40	1.94001118006392e-06	0.0015482458325055	0.0014059519589776
REX4	SWA2	2.17297155352655e-06	0.00169329635581991	0.00153767139469189
gOL02	SWA2	2.3157733905985297e-06	0.00177841861209942	0.00161497036133927
YOR072W	VPS5	2.44055891159915e-06	0.0018573335817537102	0.0016866325314215
AIM24	OPI3	2.58702223362037e-06	0.0019443284235301	0.00176563198076509
NBR043C	RNT1	2.68245734615516e-06	0.00200393945298429	0.00181976436845068
BNA2	OPI3	2.95160413896114e-06	0.00216135942284605	0.00196271641803003
NML007W	SPC2	2.99031779265474e-06	0.00218276683209564	0.00198215634697361
NNL035W	PMT4	3.09434890039567e-06	0.00224338684028956	0.0020372049816827
MED8	RNT1	3.19200912652499e-06	0.0022997725716518	0.00208840849717277
NNL035W	ERG4	3.2543432399666697e-06	0.0023352700111830198	0.0021206434908667897
CDC11	OPI3	3.259334716986e-06	0.0023375251276878603	0.00212269134748047
NJR013W	OPI3	3.3693555570641898e-06	0.00240023125133796	0.00217963437005143
YBR225W	OPI3	3.38445476635411e-06	0.00240736062461037	0.0021861085074966397
gLR07	ALG6	3.42369628909719e-06	0.00242758332974193	0.0022044726143449303
PIG1	ALG6	3.49120745842888e-06	0.0024677548396772	0.00224095210093731
NBR051C	PEP8	3.6157641461414803e-06	0.00253692783936459	0.00230376765152817
YOL106W	SWA2	3.88679841529557e-06	0.00268989588717645	0.00244267693968303
RPL3	VPS5	4.01132661142462e-06	0.0027591022404564397	0.0025055227784541397
RPM2	SPC2	4.31422044297429e-06	0.0029264976197179	0.00265753343235372
ALO1	SPC2	4.31422044297429e-06	0.0029264976197179	0.00265753343235372
SLI15	CNE1	4.5356516346102e-06	0.00304223370893712	0.00276263262134933
SLI15	OPI3	4.53939406107163e-06	0.0030437852664854602	0.0027640415806558898
NBR034W	OPI3	4.63167759478064e-06	0.0030920925715538397	0.0028079091298318
NBR035W	OPI3	4.63167759478064e-06	0.0030920925715538397	0.0028079091298318
YCL023C	PMI40	4.64746436438668e-06	0.0031005434234209995	0.0028155832933840002
NBR031C	ALG9	4.82196606073127e-06	0.00319313621937402	0.0028996662084639
gML01	SPC2	4.8439335364740894e-06	0.00320378523977079	0.0029093365145442898
GLO1	OST6	4.95944867022692e-06	0.00326503781666915	0.00296495958077488
YML002W	OST6	4.95944867022692e-06	0.00326503781666915	0.00296495958077488
SLI15	ALG9	5.15571198522958e-06	0.00336491152805053	0.00305565424774503
YNG1	VPS5	5.1718195396007005e-06	0.00337231845748774	0.00306238043213618
KTR4	RNT1	5.25645439283944e-06	0.00341327865999029	0.00309957612531327
YJR079W	OPI3	5.35664763721093e-06	0.0034625660657002103	0.00314433369749974
FTH1	RNT1	5.4138169165177105e-06	0.00349469126808847	0.00317350638460283
SKM1	SWA2	5.50997510279445e-06	0.00354356884243619	0.00321789179159794
AIM34	OST6	5.55511426151324e-06	0.00356437331224649	0.00323678419516279
RPB5	OPI3	5.97791732847332e-06	0.00377410449129928	0.00342723971318008
WHI2	VPS5	6.33014324201757e-06	0.0039500620373580896	0.0035870256149951297
MCM5	ALG6	6.40990106752834e-06	0.00398656134569377	0.00362017039922674
SLX1	OPI3	6.63252695318337e-06	0.0040892714227064204	0.0037134407513574295
gCR02	PMI40	6.6774208605523905e-06	0.004107445333820321	0.00372994436169916
EXO1	VPS5	6.68041756407815e-06	0.00410844444982628	0.00373085165243835
PCS60	OPI3	6.85154462779435e-06	0.00419515705128013	0.00380959480118289
YML018C	OST6	6.9349922546957306e-06	0.00423628682520244	0.0038469444810620796
MAK5	RNT1	6.982445198753121e-06	0.00425875593745429	0.00386734853558865
NBR031C	OPI3	7.00003839789111e-06	0.00426653424337361	0.00387441196454495
gBL04	MNN2	7.0208025618847e-06	0.00427431300423242	0.00388147580662884
YOL118C	SWA2	7.371599809797659e-06	0.00443659673787838	0.00402884460842985
NOR005W	VPS5	7.56638965805229e-06	0.00452366964724253	0.00410791495044155
YML084W	SPC2	7.67024755378381e-06	0.00457161033312459	0.00415144957512163
GSY2	GDI1	7.673700827382131e-06	0.004572758093902921	0.00415249184921069
YMR010W	OST6	7.86590284369595e-06	0.00465992631966431	0.004231648747422079
RRI2	SWA2	7.887617697009489e-06	0.00467068800729087	0.0042414213658802
NBR034W	ALG9	8.48764161256538e-06	0.00495955199569785	0.00450373687279273
NBR035W	ALG9	8.48764161256538e-06	0.00495955199569785	0.00450373687279273
YLR269C	ALG6	8.667982927340449e-06	0.00504376270404002	0.00458020806869381
RPB5	ALG9	8.9556103016086e-06	0.0051724195991706395	0.00469704055740275
IRC23	VPS5	9.23381116685116e-06	0.00528921661812247	0.004803103169780229
NDC1	OST6	9.39585678338212e-06	0.0053615192845126	0.00486876075032479
NBR034W	CNE1	9.50421082199684e-06	0.00541457576560766	0.00491694099532589
NBR035W	CNE1	9.50421082199684e-06	0.00541457576560766	0.00491694099532589
NSE5	OST6	9.50716884987497e-06	0.0054157456188756795	0.004918003331460999
YLR271W	ALG6	1.01878389064462e-05	0.00571646324721328	0.00519108305160864
CEN13	OST6	1.04488519268822e-05	0.00583067850015915	0.00529480117908744
RAT1	VPS5	1.04962127977896e-05	0.0058527428046806105	0.005314837630350021
NBR031C	CNE1	1.0767734224269301e-05	0.0059716485963984605	0.00542281520554488
OPI3	OPI3	1.07877170045364e-05	0.00597798382267478	0.005428568183274089
HST3	VPS5	1.0947662870581401e-05	0.00603700232475002	0.00548216250070513
NBR056W	PEP8	1.1219385130107302e-05	0.00614833293452156	0.00558326110250095
RFT1	MNN2	1.20245924784763e-05	0.0064933092216816896	0.00589653182253168
TRM9	OST6	1.22807760716657e-05	0.00659773241726755	0.0059913578464835795
RPB5	CNE1	1.2337604579010699e-05	0.0066205364325328895	0.00601206602425595
