SNP	gene	p.value	FDR	q.value
MAK5	ISR1	2.0028986696265897e-25	7.58947364262346e-21	6.891951595430811e-21
YBR144C	ISR1	3.21905720359945e-25	1.1403856811449899e-20	1.03557681133956e-20
gBR08	ISR1	3.0089017829689902e-24	9.63332408392932e-20	8.74795887249286e-20
NBR034W	ISR1	8.18059507466137e-24	2.3811340917202396e-19	2.1622923637551898e-19
NBR035W	ISR1	8.18059507466137e-24	2.3811340917202396e-19	2.1622923637551898e-19
NBR031C	ISR1	7.597235034072059e-23	1.9111218205728797e-18	1.7354772808469698e-18
IRA1	ISR1	2.2102482075892997e-22	4.9192459072768e-18	4.46713517635373e-18
RPB5	ISR1	2.3093554328339396e-21	4.29382830492697e-17	3.89919752411419e-17
YBR139W	ISR1	3.0038188564793893e-21	5.32067589363139e-17	4.83167113302041e-17
gBR07	ISR1	3.32019889517719e-21	5.84648647847592e-17	5.30915630126206e-17
RTC2	ISR1	6.90398871393503e-20	9.50212155362069e-16	8.62881470905486e-16
YBR138C	ISR1	7.20046747404613e-20	9.840476615464858e-16	8.9360727374908e-16
SLI15	ISR1	2.20672086216999e-19	2.76394419432171e-15	2.5099197252304503e-15
YBR137W	ISR1	2.40839137504971e-19	2.96688395497166e-15	2.69420800041896e-15
AGP2	ISR1	1.30178221341496e-18	1.37699279579343e-14	1.25043819146657e-14
CSH1	ISR1	6.3501010231609794e-18	5.83099682152944e-14	5.29509024465105e-14
CCZ1	ISR1	1.0906154337157499e-16	8.09479046623198e-13	7.350826512540721e-13
YBR162W	ISR1	1.42976775012623e-16	1.0429189476234e-12	9.470679052906691e-13
EXO5	ISR1	1.30003359136437e-15	8.09075905585614e-12	7.347165615029269e-12
UBS1	ISR1	1.30003359136437e-15	8.09075905585614e-12	7.347165615029269e-12
NHR001C	FUS3	2.318464717327e-15	1.38806644918898e-11	1.26049410400812e-11
TYR1	ISR1	8.416772795176121e-15	4.6272982224177205e-11	4.20201938477279e-11
YBR174C	ISR1	2.75930861867068e-13	1.18422939176643e-09	1.0753909994632301e-09
NBR038W	ISR1	3.6180242544461404e-13	1.52435865851786e-09	1.38426017182258e-09
ECM31	ISR1	6.74984223577268e-13	2.72313697536837e-09	2.47286295541824e-09
