SNP	gene	p.value	FDR	q.value
YLR257W	ERG28	1.4534861067641103e-17	1.24670938332371e-13	1.1321286729531698e-13
RED1	ERG28	1.0914900000578398e-16	8.09479046623198e-13	7.350826512540721e-13
GSY2	ERG28	4.96072600332736e-16	3.3184247270394298e-12	3.0134398864492004e-12
VPS63	ERG28	5.52048567114661e-16	3.65610468545956e-12	3.3200848578617597e-12
NEJ1	ERG28	6.572780787830791e-16	4.29130693415578e-12	3.896907883734971e-12
NLR116W	ERG28	1.49994998880471e-15	9.21992924294014e-12	8.37255770924259e-12
YLR271W	ERG28	1.87840549205757e-15	1.13711090291073e-11	1.0326030065489998e-11
BOP2	ERG28	5.22867027387566e-15	2.9672118986147395e-11	2.69450580390581e-11
PIG1	ERG28	1.63342312676484e-14	8.63897146104504e-11	7.844993730454471e-11
YLR269C	ERG28	1.79665566253804e-14	9.43560528789902e-11	8.56841172127874e-11
MCM5	ERG28	7.75804786715313e-14	3.70394632272575e-10	3.3635295371387096e-10
MCP2	ERG28	1.6026430627786201e-13	7.23607483812748e-10	6.57103244225122e-10
NNT1	ERG28	1.7755942345279002e-13	7.95100606677499e-10	7.2202568356569e-10
CTS1	ERG28	1.7755942345279002e-13	7.95100606677499e-10	7.2202568356569e-10
MEC3	ERG28	1.9361360888307299e-13	8.59278007174366e-10	7.80304763060864e-10
YSH1	ERG28	2.11410666423369e-13	9.33419719580659e-10	8.47632369317613e-10
NLR118C	ERG28	2.1424067969888302e-13	9.45217722212211e-10	8.58346058683732e-10
YLR281C	ERG28	7.609036480698391e-13	3.01691090550971e-09	2.7396371484482697e-09
YLR282C	ERG28	7.609036480698391e-13	3.01691090550971e-09	2.7396371484482697e-09
YLR252W	ERG28	1.3055020138559199e-12	4.94616451362168e-09	4.49157978749298e-09
NLR121W	ERG28	1.3843234574783702e-12	5.22240342166807e-09	4.74243054113919e-09
YLR294C	ERG28	7.73014168521277e-12	2.5512628818668397e-08	2.31678521028075e-08
SEC72	ERG28	3.5446827599302294e-11	1.02869803666901e-07	9.34153988653523e-08
ATP14	ERG28	3.9193972829589105e-11	1.1276049480469e-07	1.0239707108359e-07
CYC7	RAD23	3.12620619147406e-10	7.418398078398141e-07	6.73659898952936e-07
gLR07	ERG28	4.2440249550380206e-10	9.821804064162078e-07	8.919116315240489e-07
YEL043W	RAD23	9.77235433912441e-10	2.0710496932679e-06	1.8807067406587898e-06
YEL028W	RAD23	9.45735187747221e-09	1.5833677822116698e-05	1.4378459728065302e-05
REX4	UFO1	2.0126730688055198e-08	3.08023715532979e-05	2.79714330355618e-05
IME1	FIP1	2.67163986186508e-08	3.958209986257179e-05	3.5944247143344e-05
JJJ3	FIP1	2.67163986186508e-08	3.958209986257179e-05	3.5944247143344e-05
gOL02	UFO1	2.76347798445755e-08	4.0741103268390206e-05	3.6996730589228705e-05
FIP1	FIP1	2.76511304964046e-08	4.07551727818533e-05	3.700950702278979e-05
UBC12	ERG28	2.96997736761168e-08	4.33161395608591e-05	3.93351042788749e-05
gJR12	FIP1	3.3206346206285296e-08	4.76069509534132e-05	4.32315621645081e-05
TRM10	UFO1	3.88832301009866e-08	5.4646518966483e-05	4.9624148038493605e-05
CDC3	ERG28	3.90081617114123e-08	5.47963719435376e-05	4.97602285511778e-05
IRA2	UFO1	5.57772630322276e-08	7.50087296079936e-05	6.811493893196429e-05
gLR08	ERG28	6.44879083552601e-08	8.513551460601999e-05	7.73110064473403e-05
MET17	ERG28	6.90886478763208e-08	9.053057965770792e-05	8.22102298904012e-05
ATG39	ERG28	1.0354487705423e-07	0.000128616863728599	0.00011679613645343798
YLR312W	ERG28	1.0714643496819401e-07	0.00013231981356840402	0.000120158761090925
YLR317W	ERG28	1.1637304917215399e-07	0.00014245067675424798	0.000129358531982104
CDA2	ERG28	1.25675203182538e-07	0.000151942310416049	0.00013797782270488998
YPQ1	UFO1	1.97653823341454e-07	0.000226262872642839	0.000205467841319037
SCC2	ARG82	2.4436177428236e-07	0.000270975301567125	0.000246070906876795
SPH1	ERG28	2.47192650701114e-07	0.00027371419722877003	0.000248558080192608
SEC1	ARG82	2.55588346334229e-07	0.000281650877714237	0.000255765328061161
gDR10	ARG82	2.7959543040479104e-07	0.000304629626751864	0.000276632180434356
YOL106W	UFO1	3.3395254795446e-07	0.0003546662141302	0.000322070079615573
HAL9	UFO1	3.40965188751194e-07	0.00036060077226810096	0.000327459213217274
MDY2	UFO1	3.67794365368681e-07	0.000384022922919925	0.00034872871570907797
YLR311C	ERG28	5.67091710882336e-07	0.000554044067019341	0.0005031238095601299
MPD2	UFO1	6.048403669667889e-07	0.000585152852851162	0.000531373495406779
YOL099C	UFO1	6.21489353911849e-07	0.000599076012283966	0.000544017025825996
YJR107W	FIP1	6.48813918798049e-07	0.000621103246087435	0.000564019813410915
ABM1	FIP1	6.48813918798049e-07	0.000621103246087435	0.000564019813410915
RPR1	RAD23	6.81093523404422e-07	0.000645105472595623	0.000585816079010676
NDJ1	UFO1	7.444600814936641e-07	0.000695984965509547	0.000632019415220117
RFC4	UFO1	9.56094795759646e-07	0.000858707806012087	0.0007797869670983059
EMC2	FIP1	1.0766199770461099e-06	0.0009477622906800359	0.000860656764740209
SKM1	UFO1	1.12365180831403e-06	0.000982950210686555	0.000892610685769308
NOL019C	UFO1	1.26721820706989e-06	0.00108616238743806	0.000986336991403409
NOL020W	UFO1	1.26721820706989e-06	0.00108616238743806	0.000986336991403409
SDH4	ARG82	1.49984831545333e-06	0.00125265293127767	0.0011375259701483
SPC72	PEX5	1.50365923374064e-06	0.0012553923243647802	0.00114001359517294
NDR055C	ARG82	1.7158214369810801e-06	0.00140240750224652	0.00127351712090682
OAF1	PEX5	1.84494402285977e-06	0.00148603427680205	0.00134945805033858
GEM1	PEX5	1.84494402285977e-06	0.00148603427680205	0.00134945805033858
EAF6	FIP1	2.45145567016673e-06	0.00186420452908395	0.00169287199395138
NEL011C	RAD23	2.5336310988437597e-06	0.00191194379130715	0.00173622370711843
CSN12	FIP1	2.58351077809575e-06	0.00194270089313224	0.00176415403100858
REX4	IRC6	2.7611479173475103e-06	0.00205099403339888	0.0018624943265256899
HRP1	UFO1	2.88182943612747e-06	0.00212132779518818	0.0019263639576229102
URA3	RAD23	3.09688352657425e-06	0.0022449525792208103	0.00203862681901075
YOL118C	UFO1	3.4076442737962997e-06	0.00241896966098273	0.00219665059783327
gOL02	IRC6	3.99958798810966e-06	0.00275552847057423	0.00250227746129499
GPB2	PEX5	4.99865404847605e-06	0.00328579016016737	0.00298380464877515
PEX22	PEX5	4.99865404847605e-06	0.00328579016016737	0.00298380464877515
URA8	FIP1	5.29225223674842e-06	0.00343214682279146	0.00311671018109153
RPB5	CIC1	5.49864399317807e-06	0.00353754782695735	0.0032124241466479
YCF1	ARG82	6.09534945956943e-06	0.0038328851887289603	0.00348061808176098
NJR015C	FIP1	6.81667333444041e-06	0.00417807851863309	0.0037940858968942798
YLR236C	ERG28	6.93213869835269e-06	0.00423540799183676	0.0038461464182053
