SNP	gene	p.value	FDR	q.value
NML013W	CDC7	5.49226720168594e-09	2.0821889380631302e-05	1.9831342301693104e-05
gCL01	CDC7	1.12421207997285e-08	3.76416647640084e-05	3.58509607411044e-05
NML011W	CDC7	1.16354603105571e-08	3.8684797290129206e-05	3.6844468958027896e-05
URA5	CDC7	2.62496689058635e-08	7.378664917541171e-05	7.027644179368721e-05
LEU2	CDC7	3.62138067275873e-08	9.59500025132606e-05	9.138543140368409e-05
NBR031C	RAD54	5.9174767894251395e-08	0.000137187779636779	0.000130661428838295
YML108W	CDC7	6.45083602204369e-08	0.000145470259763125	0.00013854989157527099
RPB5	RAD54	7.10751778846987e-08	0.000157077222537932	0.00014960468336973302
NBR034W	RAD54	8.16942696534122e-08	0.000175024930447389	0.00016669857588720702
NBR035W	RAD54	8.16942696534122e-08	0.000175024930447389	0.00016669857588720702
gML01	CDC7	8.324718931522348e-08	0.000177547672009502	0.000169101304599401
gCL01	POL2	9.19922253445378e-08	0.00019272248960876202	0.000183554219830841
YCL022C	CDC7	1.02243429255599e-07	0.000209784554114048	0.000199804601119133
ILV6	CDC7	1.26295430010613e-07	0.00024784469348285	0.000236054128627187
LEU2	POL2	2.2673503094874202e-07	0.00038229163075133196	0.0003641051035241
SLI15	RAD54	3.5303041762281794e-07	0.000528783382610904	0.000503627892373618
YCL023C	CDC7	3.6867922320274e-07	0.000546029404625744	0.0005200534798727509
ILV6	POL2	4.87148679849156e-07	0.0006751463146698	0.000643027989688487
BUD3	CDC7	5.110885775858611e-07	0.000702662479422483	0.000669235144671638
YCL022C	POL2	5.83918338785501e-07	0.000772476187076408	0.000735727647274365
NGL3	CDC7	7.272589426188041e-07	0.0009233616319830891	0.0008794351106840519
NDI1	CDC7	1.32804164048732e-06	0.00145728150716335	0.00138795514039021
AGP1	CDC7	1.6517792227174801e-06	0.00173696016425676	0.00165432881483959
RTC2	RAD54	1.90927250639947e-06	0.00193359332258178	0.0018416076635224602
BUD3	POL2	3.38806123140192e-06	0.00302047255415312	0.00287678145048638
NML013W	RAD54	4.056817695363289e-06	0.00346325730235131	0.00329850186917498
gCL01	CDC45	5.58844551195505e-06	0.00440502930478656	0.004195471524955471
YCL023C	POL2	5.627841635639579e-06	0.00442406446025703	0.00421360113255256
GTR1	CDC7	8.259613833356379e-06	0.00597754951812169	0.005693183190640771
LEU2	CDC45	8.35573409264497e-06	0.0060282582371994605	0.0057414795746685895
ILV6	NSE3	8.421261800673379e-06	0.00604825956736723	0.00576052939372176
EXO5	RAD54	1.07908189736651e-05	0.00729099548360203	0.0069441453900868704
UBS1	RAD54	1.07908189736651e-05	0.00729099548360203	0.0069441453900868704
ARO4	RRM3	1.2162903206943901e-05	0.007972783052151721	0.00759349869332388
TAF13	CDC7	1.4529799229085998e-05	0.00916236062566855	0.0087264852164765
CSH1	RAD54	1.4830304715465698e-05	0.00930841739963192	0.008865593720368721
PHM8	HTA1	1.56016623345262e-05	0.009642209591497409	0.00918350661931411
ILV6	CDC45	1.68903370460845e-05	0.0102445282413217	0.00975717153036056
TYR1	RAD54	1.81754679280797e-05	0.0108192449593103	0.0103045475994861
PAC2	POL2	1.89641505204349e-05	0.011148498422155	0.0106181376876058
YCL022C	CDC45	2.38219675248877e-05	0.0132312844892717	0.0126018406399714
YCL026C	CDC7	2.47817069676389e-05	0.0135966833339011	0.0129498565876131
gCR02	POL2	2.9396529326474895e-05	0.0153242106568017	0.0145952013039209
YML096W	CDC7	3.21311005328005e-05	0.0163627978111621	0.0155843803832902
YBR162W	RAD54	3.50850930012961e-05	0.0173689012686946	0.0165426210929832
NCR015C	POL2	3.52943459110515e-05	0.0174376836372911	0.0166081313197942
PAC2	CDC45	3.86022710484304e-05	0.0185818661852678	0.0176978823673459
NER009C	HTA1	4.18400225457026e-05	0.0196699366230993	0.0187341906920391
BUD3	CDC45	4.5748925567692e-05	0.0209151253253701	0.0199201427895421
NML009C	CDC7	5.12303168503084e-05	0.0226810508305309	0.0216020589947405
BUD3	NSE3	5.52022234228044e-05	0.0238479277942975	0.0227134248304433
LEU2	NSE3	5.5933001665007495e-05	0.0241085765228563	0.0229616738755736
gCL01	NSE3	5.85321476474661e-05	0.0249350767012477	0.0237488554636833
IRA2	STN1	5.96500779717679e-05	0.025326747056801	0.0241218931236388
AGP1	TAH18	6.258442396438629e-05	0.0261705401141421	0.0249255449270861
gOL02	STN1	6.40940849286975e-05	0.0266135775521986	0.025347506014572
REX4	STN1	6.40940849286975e-05	0.0266135775521986	0.025347506014572
LEU2	TAH18	6.485455946780639e-05	0.0268233722186468	0.0255473202469574
VPS9	CDC7	7.00833062173396e-05	0.0282389151123952	0.0268955223796018
YML108W	STN1	7.079743824172209e-05	0.0284056589893653	0.027054333851532
RFC4	STN1	7.30986072879634e-05	0.029118966436086004	0.0277337075569472
NBR041W	RAD54	7.37330271328823e-05	0.0293038130122382	0.027909760539362
ECM31	RAD54	7.78597542949774e-05	0.0305840907312858	0.0291291323851888
gCL01	TAH18	8.063807451474492e-05	0.0313177852882329	0.0298279233372358
NML013W	STN1	9.827526741464059e-05	0.036064887965625	0.0343491949863022
URA5	STN1	9.90824803017956e-05	0.0362416011229638	0.0345175014760898
NML013W	POL2	0.000101403033268984	0.036855239280762	0.0351019473990421
