SNP	gene	p.value	FDR	q.value
YCL023C	SER33	2.20654557891983e-07	0.00024836630620064104	0.00022553982540468598
gCL01	SER33	3.27143953438623e-07	0.00034856969910032203	0.000316533874014863
YCL022C	SER33	3.4131513936779196e-07	0.00036090712267766603	0.000327737408029376
YCL022C	SER3	1.22318700221479e-06	0.00105430883163965	0.000957410984799717
gCL01	SER3	1.32028662592057e-06	0.00112504487210259	0.00102164592254101
YCL026C	SER33	1.68132946988207e-06	0.0013779782759055698	0.00125133309953938
YCL023C	SER3	2.12253394104797e-06	0.00166221393888709	0.00150944565427072
LEU2	SER33	2.42671596040889e-06	0.00184938460310333	0.0016794141156694599
AGP1	SER33	3.5355284227591e-06	0.00249348962371984	0.00226432169075242
LEU2	SER3	5.44299982771002e-06	0.00351184793942325	0.00318908624612496
YCL026C	SER3	9.75175054067704e-06	0.0055240608145791705	0.00501636365537669
BUD3	SER33	1.2202033577578802e-05	0.006566621163433629	0.00596310591946034
ILV6	SER33	1.52411556982837e-05	0.00775596309848825	0.00704313958619285
STE50	SER3	2.0115779479953e-05	0.00952343132665941	0.00864816597519112
AGP1	SER3	2.3536474251132502e-05	0.0106903716825392	0.00970785691374456
STE50	SER33	7.47279875148223e-05	0.0246025286965715	0.0223413961081175
BUD3	SER3	0.000125735362292054	0.0352804280915809	0.0320379270187705
ILV6	SER3	0.00022342401050784701	0.0518547017763621	0.047088917027275
