SNP	gene	p.value	FDR	q.value
PET123	PUP1	4.6830887236281995e-17	3.73338015579003e-13	3.3902582092837396e-13
LSC1	PUP1	3.4745850763699595e-16	2.3965858495763196e-12	2.1763240044490003e-12
ELG1	PUP1	3.4745850763699595e-16	2.3965858495763196e-12	2.1763240044490003e-12
gOR05	PUP1	1.6487348303120503e-15	1.0062168165364e-11	9.13738939039277e-12
SFL1	PUP1	2.39439211731351e-15	1.4292365271286899e-11	1.29788038370308e-11
YOR139C	PUP1	7.575071549318378e-15	4.1953752443358e-11	3.8097929408759503e-11
IRC14	PUP1	1.47683070535149e-10	3.71660183722334e-07	3.37502192744662e-07
IDH2	PUP1	2.0551634712673702e-10	5.04894464038655e-07	4.584913751347529e-07
CYC7	RAD23	3.12620619147406e-10	7.418398078398141e-07	6.73659898952936e-07
YEL043W	RAD23	9.77235433912441e-10	2.0710496932679e-06	1.8807067406587898e-06
YOR131C	PUP1	2.8289853081727003e-09	5.4095033033941594e-06	4.91233472541954e-06
NOR011W	PUP1	3.2809628728269704e-09	6.1732079466860995e-06	5.60584993907201e-06
YEL028W	RAD23	9.45735187747221e-09	1.5833677822116698e-05	1.4378459728065302e-05
MLF3	CDC48	2.3527166544201602e-08	3.53468784919199e-05	3.20982701946215e-05
RGA1	PUP1	3.1096646113935e-08	4.51335364753094e-05	4.09854705827688e-05
NOR038W	PUP1	3.48722467338883e-08	4.97688641958322e-05	4.5194781502486105e-05
LIP5	PUP1	5.59847146289145e-08	7.5270801342087e-05	6.83529245671944e-05
gEL02	VID24	1.0082551711315e-07	0.000125863860870528	0.00011429615248441101
URA3	VID24	1.05077410494817e-07	0.00013003290454203001	0.00011808203389545801
YOR121C	PUP1	2.1612620297442499e-07	0.00024414133775307596	0.000221703159068656
NEL011C	VID24	2.53153909370273e-07	0.000279379581101786	0.000253702778397115
NNL035W	CDC48	5.9707380884217e-07	0.0005790839256528	0.000525862342136228
RPR1	VID24	6.231921583960379e-07	0.000600524032619055	0.000545331963663395
RPR1	RAD23	6.81093523404422e-07	0.000645105472595623	0.000585816079010676
YOR186W	PUP1	1.46292426774867e-06	0.00122582754814292	0.0011131660143991599
NOR041W	PUP1	2.40750786369967e-06	0.00183774689676837	0.0016688459903265
NOR043C	PUP1	2.40750786369967e-06	0.00183774689676837	0.0016688459903265
