SNP	gene	p.value	FDR	q.value
NDR132C	FCF1	1.81359028660634e-08	2.80975212143528e-05	2.55151760556048e-05
RPB5	NOP12	1.21010593155475e-07	0.00014716458831931398	0.000133639204379345
MSN5	FCF1	1.7765495541771603e-07	0.00020620811587253898	0.000187256247284003
NBR034W	NOP12	2.34043124504145e-07	0.00026142123595302	0.000237394922104652
NBR035W	NOP12	2.34043124504145e-07	0.00026142123595302	0.000237394922104652
RPB5	NOP8	3.5906259395463797e-07	0.000376299643965429	0.000341715256381219
NBR031C	NOP12	3.79481431318676e-07	0.00039389008073421097	0.000357689017469482
PYC2	NOP12	4.1024729935323895e-07	0.000421151140767994	0.000382444608573691
SLI15	NOP12	4.56777882634055e-07	0.00046208811562727694	0.000419619208879177
SLI15	UTP7	5.061379806859371e-07	0.000504201602883955	0.000457862192431787
RPB5	UTP7	6.41547644158331e-07	0.00061583297040395	0.0005592339103805441
RPB5	DBP3	7.4890369506313e-07	0.000698718964627329	0.000634502142016331
NBR031C	NOP8	8.46375765222736e-07	0.0007749285259242809	0.000703707548385732
NBR034W	UTP7	1.10681572413024e-06	0.0009700499597892519	0.0008808960519304369
NBR035W	UTP7	1.10681572413024e-06	0.0009700499597892519	0.0008808960519304369
NBR034W	NOP8	1.10848550408542e-06	0.000970675804059957	0.0008814643770374331
NBR035W	NOP8	1.10848550408542e-06	0.000970675804059957	0.0008814643770374331
RPB5	NOP14	1.11351599900745e-06	0.0009749382978458009	0.0008853351198888039
NBR034W	DBP3	1.34654730976678e-06	0.0011448151334003	0.00103959916808989
NBR035W	DBP3	1.34654730976678e-06	0.0011448151334003	0.00103959916808989
SLX1	NOP8	1.39631347574541e-06	0.0011803404460128599	0.00107185947314759
RTC2	NOP12	1.40438517180312e-06	0.00118531188722379	0.00107637400653931
SLI15	NOP8	1.45848933505589e-06	0.0012226247351449099	0.00111025756077103
NBR031C	UTP7	1.49661524771995e-06	0.0012503831934700099	0.00113546483602473
YBR162W	NOP8	1.58658807391245e-06	0.00131345601557389	0.00119274085507378
SLI15	NOP14	1.6495389259215e-06	0.00135675245174674	0.0012320580668343099
RPB5	LRP1	1.71110383592877e-06	0.0013991246440088	0.0012705359787177199
TYR1	NOP8	1.7436813701145302e-06	0.0014211043518439	0.00129049560828024
NBR034W	NOP14	1.8198868539128502e-06	0.00147119569721634	0.00133598323283934
NBR035W	NOP14	1.8198868539128502e-06	0.00147119569721634	0.00133598323283934
RTC2	LRP1	1.83520054552803e-06	0.00148097567225774	0.00134486436449138
EXO5	NOP8	2.0475420093284304e-06	0.00161595680762501	0.00146743985457847
UBS1	NOP8	2.0475420093284304e-06	0.00161595680762501	0.00146743985457847
YBR225W	NOP8	2.0580401460754103e-06	0.00162189031997295	0.00147282803850511
SLI15	DBP9	2.08747349671158e-06	0.00163883011239532	0.00148821095369911
YBR226C	NOP8	2.15959590923013e-06	0.00168660524729091	0.00153159524260638
NBR031C	DBP3	2.19620249567753e-06	0.0017085082789811401	0.00155148524306101
SLI15	DBP3	2.30495429419266e-06	0.0017724768871913398	0.0016095747196402301
NBR031C	NOP14	2.37035021871518e-06	0.0018138168905801801	0.00164711530752905
ROT2	NOP8	2.49475293649313e-06	0.0018899282923010101	0.00171623157582656
CSH1	NOP8	2.63911088834131e-06	0.0019770239442286897	0.0017953225702121
RTC2	NOP8	2.70805361391562e-06	0.00201907047856639	0.0018335047542549603
RTR2	RPS13	2.7834884934218798e-06	0.00206349245846164	0.0018738440649407398
NBR034W	DBP9	3.42248683148474e-06	0.0024274911287178	0.0022043888871953
NBR035W	DBP9	3.42248683148474e-06	0.0024274911287178	0.0022043888871953
PCS60	NOP8	3.54544668580085e-06	0.0024990127296934898	0.00226933718732297
MAK5	UTP7	4.0656055767935e-06	0.00279169733312326	0.00253512216985946
YBR174C	NOP8	4.08002207380968e-06	0.00279999091197307	0.0025426535148087
NBR016C	SNU13	4.331974438690461e-06	0.00293435667636323	0.0026646701905185
RTC2	UTP7	4.91713769805186e-06	0.00324396009015982	0.00294581903458098
PYC2	LCP5	4.94503372577877e-06	0.00325805563238402	0.00295861910469057
RPB5	TSR1	4.9868690612607396e-06	0.00328092527229137	0.0029793868757730397
PYC2	NOP4	5.00963782143354e-06	0.0032915646075929996	0.0029890483868816
PYC2	UTP7	5.04449117724572e-06	0.00330829269247545	0.00300423905183716
SLI15	LRP1	5.05781999646961e-06	0.00331521827497302	0.0030105281282067397
NBR031C	DBP9	5.27853395423836e-06	0.00342501568589604	0.00311023444211174
RPB5	DBP9	5.593872025949401e-06	0.0035845607381422705	0.00325511626516678
MUD1	RRP4	5.69584890693464e-06	0.0036370613563097296	0.0033027917346628802
YBR225W	DBP3	5.77020924511851e-06	0.00367474557408672	0.00333701252744251
YBR162W	NOP12	6.11079512062728e-06	0.00384219419898775	0.00348907153336066
NBR034W	LRP1	6.16102925908311e-06	0.00386647015737268	0.00351111637309527
NBR035W	LRP1	6.16102925908311e-06	0.00386647015737268	0.00351111637309527
YBR225W	NOP12	6.21907472625507e-06	0.0038963629049405795	0.00353826178251278
RPS13	RPS13	6.22130282908296e-06	0.0038965355776587	0.00353841858548373
NBR034W	TSR1	6.49982027904542e-06	0.00402815033346398	0.0036579370882109897
NBR035W	TSR1	6.49982027904542e-06	0.00402815033346398	0.0036579370882109897
YBR162W	UTP7	7.20829652975815e-06	0.004360525591769	0.0039597648959909795
PYC2	NOP8	7.462470139114301e-06	0.00447718819121838	0.00406570544289357
NBR031C	LRP1	7.688612335999209e-06	0.00457799859531712	0.004157250714420999
RTC2	DBP3	7.724939770585201e-06	0.00459368975775447	0.00417149975685616
SLI15	RRP4	7.94787014338385e-06	0.00470057830519906	0.004268564550777679
PYC2	DBP3	8.07563890080481e-06	0.0047634390767084395	0.00432564800806265
RTC2	RRP4	8.10274128131303e-06	0.004778013273949579	0.004338882741676329
EXO5	NOP12	8.17639689365734e-06	0.00481386030456336	0.00437143519675603
UBS1	NOP12	8.17639689365734e-06	0.00481386030456336	0.00437143519675603
RPB5	RRP4	8.28220123549079e-06	0.00486371719198549	0.00441670991157715
MAK5	RRP4	8.64767038147555e-06	0.0050339001563040105	0.00457125195331547
NBR024W	RRP4	8.76212437444767e-06	0.00508618382438325	0.00461873041184914
YBR139W	UTP7	8.83843942391809e-06	0.00512154458963159	0.00465084129251684
YFT2	FCF1	9.43042466359984e-06	0.00537797884102483	0.00488370756641589
YBR225W	UTP7	9.49581202935137e-06	0.00541082069957275	0.00491353104431099
SMY2	RRP4	9.95502241489991e-06	0.00561900526851727	0.005102582095759829
RTC2	NOP14	1.0210235402179902e-05	0.00572576060449507	0.00519952592121579
YBR174C	UTP7	1.0232225854498e-05	0.00573500426914841	0.005207920032896629
NBR031C	TSR1	1.02395400601268e-05	0.0057384815142525105	0.00521107769653334
YBR162W	DBP3	1.0612700776052698e-05	0.005902763912493629	0.00536026147263877
SLX1	NOP12	1.08280922652381e-05	0.0059960233585226895	0.00544494976831174
CSH1	NOP12	1.08662636249638e-05	0.00600428208458733	0.00545244946367372
NBR034W	RRP4	1.0937510536506698e-05	0.00603360595818278	0.00547907828234115
NBR035W	RRP4	1.0937510536506698e-05	0.00603360595818278	0.00547907828234115
SMY2	NOP8	1.11699092865407e-05	0.00612682776801503	0.00556373240082889
EXO5	UTP7	1.1401304185489698e-05	0.00622580152933748	0.005653609829010611
UBS1	UTP7	1.1401304185489698e-05	0.00622580152933748	0.005653609829010611
YGL235W	LRP1	1.15711481793764e-05	0.00629844032620819	0.005719572647455829
YGL235W	MAK11	1.19824573305422e-05	0.0064810783191939295	0.005885425019624979
MAK5	NOP8	1.2056865880030499e-05	0.00650791105670581	0.0059097916538361
SLX1	DBP3	1.2522316768846301e-05	0.00669445469696401	0.00607919071886149
CSH1	UTP7	1.2663521910403901e-05	0.00674825049597166	0.006128042333644871
PCH2	NOP8	1.3059938603376599e-05	0.00690723885494577	0.00627241862716444
YBR174C	RRP4	1.39151637668897e-05	0.0072374409589536295	0.00657227300767783
MAK5	NOP12	1.3996973540770902e-05	0.00726717709375957	0.0065992761980660005
YBR226C	UTP6	1.41337855570436e-05	0.007314926786524791	0.00664263738314037
PCS60	DBP3	1.4371972190631601e-05	0.007408739289574371	0.00672782790629242
GRS1	RRP4	1.5053463877757198e-05	0.00768789504481615	0.006981327429883511
gBR08	UTP7	1.5186589157961802e-05	0.00773411156812195	0.0070232963537550895
YBR139W	RRP4	1.5217512187037e-05	0.00774788264192327	0.0070358017762027
YBR144C	NOP8	1.56321470107627e-05	0.00789649528742594	0.0071707559518811295
YBR226C	NOP12	1.6113458078165802e-05	0.00808577540090397	0.00734263999041863
ROT2	NOP12	1.6355233385370998e-05	0.008174948731259459	0.007423617711055509
EXO5	RRP4	1.64837693474703e-05	0.0082267791321849	0.0074706845606383205
UBS1	RRP4	1.64837693474703e-05	0.0082267791321849	0.0074706845606383205
RTC2	DBP9	1.64862577526727e-05	0.00822733521455829	0.007471189535420609
NBR016C	NIP7	1.67698511327608e-05	0.00832703975855602	0.0075617305825912
PCS60	UTP7	1.69746408311866e-05	0.00839756184752933	0.007625771232377941
YBR162W	RRP4	1.70706566565196e-05	0.00843676369582495	0.0076613701755494
RPB5	NOP4	1.7450449133156197e-05	0.008569925446095479	0.00778229349387717
YBR174C	DBP3	1.7558449741858098e-05	0.008613073454621291	0.007821475919457891
NBR056W	NOP8	1.76702127119395e-05	0.00864815322987365	0.00785333163493993
SLI15	TSR1	1.8188198757109803e-05	0.008826908914660571	0.00801565850831368
SMY2	UTP7	1.82313297856719e-05	0.008842441594793091	0.00802976363399982
PCS60	NOP12	1.97379443797393e-05	0.00938588318647911	0.00852325940474857
ROT2	DBP3	1.98211329870135e-05	0.00941526874535948	0.008549944239421509
SMY2	DBP3	2.00555907249064e-05	0.00950696453358274	0.008633212587622941
NBR034W	NOG2	2.0072531956426998e-05	0.009512735639266379	0.00863845329111528
NBR035W	NOG2	2.0072531956426998e-05	0.009512735639266379	0.00863845329111528
MAK5	LRP1	2.01482863398258e-05	0.00953505109118186	0.00865871780769095
