SNP	gene	p.value	FDR	q.value
NHR001C	PCL2	9.638884737956421e-11	2.5321663184878604e-07	2.29944374542501e-07
GYL1	CLN1	1.7897645757016e-07	0.0002076212564053	0.00018853951100003102
CSH1	SIC1	7.60603118208028e-07	0.000707541359995851	0.0006425137018027861
SHU1	PCL2	1.06987985474229e-06	0.0009427992610393071	0.0008561498698406151
YBR174C	CLB6	1.16050662875529e-06	0.00100943793547934	0.0009166640161768061
SMY2	CLB6	2.03747753264712e-06	0.0016097113024942	0.00146176835203725
YAP3	PCL2	2.63346931498563e-06	0.00197403270603533	0.00179260624628639
STE20	PCL2	2.63346931498563e-06	0.00197403270603533	0.00179260624628639
YHL008C	PCL2	3.05565184917399e-06	0.00222097960550778	0.0020168571176837897
ECM31	CLB6	3.16067505753532e-06	0.00228152685003489	0.0020718396761808602
NBR041W	CLB6	4.08828168006497e-06	0.00280469474464544	0.00254692503462911
NBR038W	CLB6	4.9821214317695096e-06	0.00327816198338873	0.00297687755111392
NBR034W	SIC1	5.04739066679579e-06	0.0033094691987559997	0.00300530742952962
NBR035W	SIC1	5.04739066679579e-06	0.0033094691987559997	0.00300530742952962
NBR041W	CLN2	5.30266673970307e-06	0.00343657749396725	0.00312073364473561
ECM31	CLN2	5.39217573953881e-06	0.00348361981049345	0.00316345246605342
NBR034W	CLN2	6.34338200575153e-06	0.0039560283825113	0.0035924436141784397
NBR035W	CLN2	6.34338200575153e-06	0.0039560283825113	0.0035924436141784397
YHL012W	PCL2	6.36917437672995e-06	0.003967567534877	0.0036029222433036703
NBR031C	CLN2	6.45524899898625e-06	0.00400742647694667	0.0036391178890526
NHR001C	PCL10	6.479000127718061e-06	0.00401842112479529	0.00364910205717144
EXO5	CLB6	6.54652146233826e-06	0.0040510666481312	0.0036787472443389796
UBS1	CLB6	6.54652146233826e-06	0.0040510666481312	0.0036787472443389796
YBR162W	SIC1	6.54900695041806e-06	0.00405202738476645	0.00367961968302153
NBR038W	CLN2	7.254160087426739e-06	0.00437986155935302	0.0039773237622464
NTC20	CLN2	9.00785909380291e-06	0.00519010544867909	0.00471310096217862
NBR031C	SIC1	9.93373056329196e-06	0.00560910255762925	0.00509358950848468
CSH1	CLN2	1.0181963188619901e-05	0.0057142374281973895	0.00518906179985389
YBR162W	CLB6	1.0275674211725698e-05	0.00575549943262431	0.0052265315573933
YBR162W	CLN2	1.04184553683971e-05	0.00581805477285526	0.00528333765452314
YBR174C	CLN2	1.12607022263363e-05	0.006163930884522471	0.0055974254993295
CSH1	CLB6	1.21271277382559e-05	0.0065392415256085796	0.005938242648636001
NTC20	CLB6	1.24521884451255e-05	0.00666708454536623	0.00605433606241838
YBR144C	SIC1	1.50486093095029e-05	0.007686727179955559	0.00698026689940826
EXO5	SIC1	1.51708942193949e-05	0.0077297683686631405	0.00701935232260765
UBS1	SIC1	1.51708942193949e-05	0.0077297683686631405	0.00701935232260765
NBR043C	CLN2	1.6446249562508e-05	0.00821695829545876	0.00746176632275643
YSC84	PCL2	1.64477771562479e-05	0.00821703579513486	0.007461836699707659
PCH2	CLB6	1.70659272281061e-05	0.00843644833425495	0.007661083797761159
OM14	CLN2	1.72850816796009e-05	0.00850965422344727	0.00772756158905098
ARG4	PCL2	1.98657169049368e-05	0.00943048738976962	0.008563764191313009
TYR1	SIC1	2.0202416664717103e-05	0.009553871247123041	0.008675808268752291
RTC2	SIC1	2.0408127113951602e-05	0.00962682003530712	0.00874205258829065
RPB5	SIC1	2.0419971440799803e-05	0.00963088955064347	0.00874574808866865
PGI1	CLN2	2.2011326912878102e-05	0.0101848650055406	0.00924880959200733
RPB5	CLN2	2.2423305722055702e-05	0.0103260124852771	0.0093769846992635
NBR031C	CLB6	2.2597550706787197e-05	0.0103846863881171	0.00943026608837295
PCH2	CLN2	2.36627257320464e-05	0.0107287344702453	0.00974269391145826
RIM2	CLN2	2.48300283665849e-05	0.0111404041997109	0.0101165285121672
NBR034W	CLB6	2.7998357780070397e-05	0.0121433181699352	0.0110272681579772
NBR035W	CLB6	2.7998357780070397e-05	0.0121433181699352	0.0110272681579772
RTC2	CLB6	2.81128928725687e-05	0.0121820476275455	0.0110624381262432
TAF5	CLN2	2.98332601039377e-05	0.0127479792359643	0.0115763569347416
DIG1	SWE1	3.0600400276216305e-05	0.0129919280988962	0.0117978853086785
DIA4	PCL2	3.09967476960328e-05	0.0131011468714001	0.0118970661648029
SMY2	CLN2	3.1342255665601095e-05	0.0132070878424651	0.0119932704707843
PGI1	CLB6	3.20383765167542e-05	0.0134032551515927	0.0121714087268447
PCS60	CLN2	3.23566349511115e-05	0.0134798830943392	0.0122409940626842
MED8	CLN2	3.3734689174200393e-05	0.0139142271432389	0.0126354190652256
TAF5	CLB6	3.4873252811304805e-05	0.0142477418243518	0.012938281575438
EXO5	CLN2	3.62262480282433e-05	0.0146604569777497	0.0133130655188125
UBS1	CLN2	3.62262480282433e-05	0.0146604569777497	0.0133130655188125
RIM2	CLB6	3.892533042627029e-05	0.0154014895345305	0.0139859923583352
NBR038W	SIC1	3.90668246480473e-05	0.0154425823739358	0.014023308498219998
