SNP	gene	p.value	FDR	q.value
NNL035W	POL2	2.16103084502855e-11	6.53439737192013e-08	5.93384370421458e-08
SUV3	RMI1	1.5006298313346399e-09	3.06004131628383e-06	2.77880359362529e-06
ECM23	RMI1	2.58238376041104e-09	5.006719446330059e-06	4.54656932757739e-06
SMA1	RMI1	7.4193658322688105e-09	1.27313829674274e-05	1.15612859713511e-05
PHO85	RMI1	8.74586246926943e-09	1.47663676888193e-05	1.34092423458892e-05
YPL035C	RMI1	1.00401911924227e-08	1.66603921702807e-05	1.51291936444197e-05
SVL3	RMI1	1.2202388377058601e-08	1.97448066568023e-05	1.7930130355229997e-05
TRM44	RMI1	1.6091290625265903e-08	2.5292378475321898e-05	2.2967844200191396e-05
gPL09	RMI1	1.43825180816309e-07	0.000171427904503983	0.000155672563814213
YJL132W	RPB4	2.7022468298663603e-07	0.000295531693962133	0.00026837040690988196
YAK1	RPB4	1.65950022499606e-06	0.00136382147749526	0.00123847740308604
IRC9	RPB4	1.8317282371259701e-06	0.00147897097474994	0.0013430439117383
RPB4	RPB4	1.8317282371259701e-06	0.00147897097474994	0.0013430439117383
NJL020C	RPB4	1.93706885974442e-06	0.00154733086361199	0.0014051210816833
GCD14	RPB4	2.19728473927004e-06	0.0017091281167991301	0.00155204811374741
MLF3	POL2	2.3016440586831e-06	0.0017707477628943898	0.0016080045131254901
YJL119C	RPB4	3.75171461250403e-06	0.00261086708144598	0.00237091139580127
YJL118W	RPB4	5.05849239951686e-06	0.00331529604875252	0.00301059875406948
SUN4	POL2	5.50977250078136e-06	0.00354356884243619	0.00321789179159794
RGA1	LSC1	6.2211345673846e-06	0.0038965355776587	0.00353841858548373
RTC2	POL1	6.3319446011821e-06	0.0039501299000614205	0.0035870872406741296
RPB5	VTS1	9.312982871498511e-06	0.0053228538083572	0.00483364888320126
YJL218W	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
REE1	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
IMA5	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
YJL215C	VTH1	9.69979933863813e-06	0.00550192008896465	0.00499625780661716
RRP12	RMI1	1.19456377468173e-05	0.006465836435192079	0.00587158396401159
RQC2	RMI1	1.19456377468173e-05	0.006465836435192079	0.00587158396401159
HXT8	VTH1	1.2057067820528802e-05	0.00650791105670581	0.0059097916538361
YGL235W	POL5	1.2116911196798301e-05	0.0065343210370753	0.00593377438503904
RAD51	VTH1	1.27737944857532e-05	0.00679371031382835	0.006169324098225479
NBR034W	VTS1	1.3997826667855099e-05	0.00726717709375957	0.0065992761980660005
NBR035W	VTS1	1.3997826667855099e-05	0.00726717709375957	0.0065992761980660005
SPI1	RMI1	1.50677367936573e-05	0.0076925595342188	0.0069855632223368895
IRC14	LSC1	1.59557644676563e-05	0.00802547874974455	0.0072878849941270096
NOR011W	LSC1	1.69293323033036e-05	0.008382073354714241	0.007611706232907071
YOR131C	LSC1	1.7919379335714898e-05	0.00873999588746073	0.00793673335425431
RPB5	POL1	1.8164550738723002e-05	0.00881862572369364	0.00800813659653324
SLI15	VTS1	1.8812184165848498e-05	0.00904648018363244	0.00821504974791203
gNL07	POL2	2.35377175138148e-05	0.0106903716825392	0.00970785691374456
NBR031C	POL1	2.4219879042860603e-05	0.0109214871860179	0.00991773139752737
NBR031C	VTS1	2.4816704667505104e-05	0.0111360953800994	0.0101126157011351
RTC2	VTS1	2.65658170115535e-05	0.0117086080984165	0.0106325107726788
IDH2	LSC1	2.8288394694664197e-05	0.0122433902302984	0.0111181429443661
