SNP	gene	p.value	FDR	q.value
gCL01	GOS1	8.66018169350592e-08	0.00018325612866743602	0.00017453819632082
LEU2	GOS1	3.68873844331059e-07	0.000546029404625744	0.0005200534798727509
ILV6	GOS1	8.21434852598819e-07	0.0010150021393895699	0.00096671605997049
YCL022C	GOS1	1.88988150989786e-06	0.00191804013606438	0.00182679437928728
NML013W	GOS1	1.96026858426614e-06	0.00197780436291356	0.0018837154789231399
BUD3	GOS1	3.29796087098322e-06	0.00295728259090422	0.00281659758492489
NML011W	GOS1	5.64424854039872e-06	0.004428717127339571	0.00421803246113389
URA5	GOS1	6.6187109684708e-06	0.00501646582730646	0.0047778205496855795
YML108W	GOS1	9.32942024698381e-06	0.00655127888971689	0.00623961888380238
gCR02	GOS1	1.03061071704873e-05	0.0070639472683319705	0.00672789840146358
YCL023C	GOS1	1.19389094527934e-05	0.00786684310422825	0.0074925985621067705
NCR015C	GOS1	2.8079711125539195e-05	0.0148215511593456	0.0141164545210031
NGL3	GOS1	4.095865486724871e-05	0.0194148026545176	0.0184911940565638
NDI1	GOS1	4.1331424143811294e-05	0.0195230142938353	0.0185942578093821
GTR1	GOS1	5.5486433955791396e-05	0.0239488335897443	0.0228095302958576
gML01	GOS1	6.40430248120364e-05	0.0266040547162364	0.0253384362026929
NML013W	YKT6	8.86131012205186e-05	0.0335070702249139	0.03191305875322
FAR8	YKT6	0.000101814431959102	0.0369550639659568	0.0351970231852048
